"Data Source","WDI Database Archives",

"Last Updated Date","2019-05-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Central Europe and the Baltics","CEB","Electricity production from natural gas sources (kWh)","EG.ELC.NGAS.KH","476000000","3024000000","4137000000","4291000000","5068000000","7007000000","7077000000","8743000000","17360000000","27636000000","29029000000","187579000000","188419000000","195223000000","193704000000","216678000000","238735000000","215978000000","210231000000","206346000000","268282000000","331002000000","343574000000","330757000000","324961000000","283206000000","290171000000","268359000000","282499000000","287826000000","303744000000","285614000000","223006000000","206997000000","205611000000","205989000000","227913000000","172963000000","185647000000","190806000000","200774000000","212667000000","240261000000","257124000000","267477000000","278285000000","299292000000","313754000000","295435000000","243369000000","269374000000","282541000000","","","","","","","","",
"Europe and Central Asia (IFC classification)","CEU","Electricity production from natural gas sources (kWh)","EG.ELC.NGAS.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","Electricity production from natural gas sources (kWh)","EG.ELC.NGAS.KH","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7359000000","13233000000","9702000000","6996000000","7821000000","8052000000","7392000000","7029000000","7392000000","8811000000","8679000000","8712000000","10867000000","13423000000","15931000000","17967000000","20944000000","24004000000","28340000000","28110000000","26946000000","28974000000","28575000000","27933000000","29356000000","30508000000","31163000000","26935000000","21964000000","19287000000","16873000000","16355000000","19351000000","14088000000","11374000000","","","","","","","",
"Channel Islands","CHI","Electricity production from natural gas sources (kWh)","EG.ELC.NGAS.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Electricity production from natural gas sources (kWh)","EG.ELC.NGAS.KH","","","","","","","","","","","","3135000000","3003000000","3234000000","3333000000","3135000000","3003000000","3432000000","3762000000","4092000000","5049000000","6039000000","6435000000","6204000000","6897000000","7128000000","7854000000","7953000000","8481000000","8052000000","7753000000","8281000000","8430000000","10781000000","10870000000","10960000000","11191000000","27749000000","162636000000","238122000000","333987000000","431230000000","415291000000","538573000000","557281000000","428370000000","320252000000","120380000000","50324000000","78600000000","215132000000","192360000000","137720000000","","","","","","","",
"China","CHN","Electricity production from natural gas sources (kWh)","EG.ELC.NGAS.KH","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","22704000000","18645000000","23034000000","21120000000","29997000000","32028000000","55719000000","90108000000","67582000000","122136000000","91801000000","80503000000","81734000000","103497000000","104524000000","99344000000","93694000000","266069000000","201843000000","159480000000","191277000000","163499000000","138979000000","166522000000","239321000000","369861000000","398076000000","794014000000","713644000000","1016260000000","966378000000","924242000000","","","","","","","","",
"Cote d'Ivoire","CIV","Electricity production from natural gas sources (kWh)","EG.ELC.NGAS.KH","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4356000000","39072000000","58344000000","71709000000","93192000000","99759000000","101376000000","117216000000","107217000000","120358000000","127942000000","112478000000","96226000000","86825000000","73078000000","58888000000","46508000000","","","","","","","","",
"Latin America and the Caribbean (IFC classification)","CLA","Electricity production from natural gas sources (kWh)","EG.ELC.NGAS.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Middle East and North Africa (IFC classification)","CME","Electricity production from natural gas sources (kWh)","EG.ELC.NGAS.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cameroon","CMR","Electricity production from natural gas sources (kWh)","EG.ELC.NGAS.KH","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12280000000","11284000000","8260000000","5838000000","4829000000","","","","","","","","",
"China and India","CNI","Electricity production from natural gas sources (kWh)","EG.ELC.NGAS.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
