Terawatt-hours,Wind,Solar,Other renewables*,Total,Wind_2,Solar_2,Other renewables*_2,Total_2,Wind_3,Solar_3,Other renewables*_3,Total_3,n,o
Total Middle East,1.552081404944226,11.879503608245816,0.333284,13.764869013190042,1.9041792796486179,16.366234255264292,0.333284,18.60369753491291,0.2235032247483193,0.3739225397346517,-0.002732240437158473,0.3478419404099862,,
Algeria,0.01,0.615,0,0.625,0.008,0.6,0,0.608,-0.20218579234972678,-0.027055844328935152,0,-0.02985792349726779,,
Egypt,4.551864250986229,1.9168226177006389,0,6.468686868686868,6.776345265586818,2.9085032192616658,0,9.684848484848484,0.48462921748420995,0.513210696894745,0,0.4930985756852786,,
Morocco,4.699190000000002,1.581462,0,6.280652000000003,5.389683203339878,1.581462,0,6.971145203339878,0.14380505852034853,-0.002732240437158473,0,0.10690711068245884,,
South Africa,6.680313131313132,4.9030000000000005,0.42924866992726923,12.012561801240402,6.990339389271313,5.177519196587274,0.42924866992726923,12.597107255785856,0.043549900175437584,0.05310482750850354,-0.002732240437158473,0.04579598738490298,,
Other Africa,2.916361750682516,1.8906169400772979,7.798833760208369,12.605812450968187,2.6254752103040944,2.14029771773785,7.638886449003982,12.404659377045924,-0.10220267422071916,0.12897005444086496,-0.023185336579143456,-0.018645810160641596,,
Total Africa,18.85772913298188,10.906901557777939,8.228082430135638,37.992713120895466,21.789843068502105,12.407782133586789,8.06813511893125,42.26576032102015,0.1523289906707288,0.13450011664237294,-0.022118324381661503,0.10943064180330242,,
Australia,19.47168807923922,18.296986696525774,3.4677261879623043,41.236400963727306,22.60689179633457,23.842661269770716,3.410424135812901,49.859977201918184,0.15784128426173005,0.29953187270092085,-0.019211479589246294,0.2058217156184341,,
Bangladesh,0.005081,0.3492317853360176,0.002877,0.35718978533601764,0.005081,0.41278489159217785,0.0030353669764101505,0.420901258568588,-0.002732240437158473,0.17875027790909903,0.052163233929644504,0.1751491010164392,,
China,405.3,224,112.72380000000001,742.0237999999999,466.5,261.1,135.52420000000006,863.1242000000001,0.14785445308676426,0.16244023224043724,0.19898295923794707,0.16002470157759108,,
China Hong Kong SAR,0.0006760918253079508,0.0010624300111982084,0.07411939363217515,0.07585791546868131,0.000825,0.0011250000000000001,0.12014322104680555,0.12209322104680556,0.21691443505413566,0.056000129592431724,0.6165129665604745,0.6051012245574849,,
India,63.31423,46.2677,29.667094324410325,139.24902432441033,60.42740262291599,58.68346744078202,32.09817681733274,151.20904688103076,-0.04820290114943826,0.2648809017532241,0.0789892845803537,0.08292254211682626,,
Indonesia,0.482,0.054,14.346,14.882,0.47268919460000003,0.47268919460000003,15.882261644440002,16.82764003364,-0.02199648533546461,7.729586927190853,0.10406158420058076,0.1276483587607944,,
Japan,6.748665018999999,72.25703030303032,32.156211984598485,111.1619073066288,7.789507774666666,82.92248282828284,34.8705680510083,125.5825586539578,0.15107579716413877,0.14446882636528335,0.08144868840796904,0.1266398710085228,,
Malaysia,0,0.7234739372329115,1.906419795171693,2.6298937324046046,0,1.2244440593311081,1.9244013759242076,3.148845435255316,0,0.6878266388275587,0.006674108991165273,0.194056624316723,,
New Zealand,2.254671077351859,0.12861480549619195,8.590020159954713,10.973306042802763,2.302228224622748,0.16014192227551413,8.615823788868907,11.078193935767167,0.01830284986334929,0.2417262182503339,0.0002634600055264613,0.00680010228743777,,
Pakistan,3.148244731083195,1.6232483093143033,0.6180532309327664,5.389546271330264,2.732134281584603,1.6777485360789308,0.6342793359226504,5.044162153586184,-0.1345433196728475,0.03075081864219209,0.023449600478504307,-0.06664122793829219,,
