Trillion cubic metres,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2020_2,2009-19,2020_3,tt,uu
Venezuela,1.4012751000000003,1.515261,1.6330542000000003,1.7341863000000002,1.849593,1.9256280000000001,2.9104200000000007,3.15018,3.170160000000001,3.321897,3.80619,3.975798000000001,4.09923,4.09923,4.4012055000000005,4.511817000000001,4.497165000000001,4.574088000000001,4.60368504,4.609183980000001,4.609183980000001,4.639800000000001,4.640910000000001,4.683090000000001,4.761243014476501,4.785916901724001,5.225489275171499,5.37230676222,5.5313826136335,5.6224088269695,6.132199626036001,6.136537201119,6.1733437259175,6.194843011111502,6.235044159888002,6.3287420680215005,6.371143436043001,6.336411403675502,6.296571216581995,6.260173406416526,6.260173406416526,0,0.010802701987317365,0.03328565288635317,,
Other S. & Cent. America,0.15863956310955002,0.15278956310955,0.14883407766555,0.15760907766555002,0.1524764563137,0.1476014563137,0.1463688349527,0.1453938349527,0.1441612135917,0.1604785922307,0.15729597086970004,0.15508834951785,0.15580572815685,0.15359810679585,0.15139048543485,0.14625786407385,0.141125242722,0.14061,0.13742737863899998,0.13671,0.11835000000000001,0.11737500000000001,0.1164,0.06966,0.0643845,0.0643845,0.06291540000000001,0.0655974,0.06519075,0.0647322,0.0607329402,0.05944440000000001,0.05854690000000001,0.05716500000000001,0.06073935000000001,0.05976435000000001,0.05878935000000001,0.05359991201994126,0.0533048239666865,0.0533048239666865,0.05282357396668651,-0.009028263563927275,-0.019235777783108365,0.00028086556603520725,,
Total S. & Cent. America,2.79643216310955,2.9957515572196574,3.1297052806104966,3.2067153776655504,3.2984544563137006,3.3988444563136997,4.405753834952701,4.907353337897646,5.030019715064175,5.0797130922307,5.503241972342173,5.655774346572904,5.744218228156849,5.7482766082683225,6.141334983962379,6.265338864073851,6.374278131672001,6.606891193050001,6.754038947964,6.840720509325001,6.79958760830246,6.8727990231677065,6.816070151208878,6.691497314016887,6.853174235925074,6.7501279663039195,7.192483255268796,7.353793353058679,7.501178990648145,7.558739788272514,8.107171881866357,8.1247456993646,8.254268809975693,8.227819247427687,8.220196955390021,8.262543464678947,8.27896865287883,8.13022643390788,7.98592547210231,7.938560470604824,7.897476737487405,-0.005175211963119208,0.004914785759140505,0.04199127600724551,,
Denmark,0.085485,0.085485,0.085485,0.102165,0.10737750000000001,0.09486750000000001,0.07401750000000001,0.072975,0.0823575,0.11259000000000001,0.10320750000000001,0.10529250000000002,0.1344825,0.13135500000000003,0.12927000000000002,0.1251,0.11884499999999999,0.11571750000000001,0.10842,0.13845000000000002,0.1404,0.137475,0.125775,0.13260000000000002,0.12869999999999998,0.11895,0.117,0.07193177868166666,0.05717761556527778,0.06650024752,0.054031451109999996,0.04473646791305556,0.03957257665222222,0.037985591056111115,0.03643367986805556,0.017744148442222222,0.013568027640555553,0.028196103525000002,0.029189525135555557,0.029640900853888895,0.028027956853326593,-0.05441615990394855,-0.07762650721273234,0.00014902603847639155,,
Germany,0.258375,0.24180000000000001,0.234975,0.312,0.29834999999999995,0.2886,0.37245,0.36660000000000004,0.353925,0.342225,0.21157499999999999,0.190125,0.19305,0.19305,0.21644999999999998,0.21116682644399998,0.215426686104,0.201296612916,0.200602902024,0.23741617838400003,0.23205288758399997,0.22376352600000002,0.2113664112,0.19070455320000002,0.17690067359999997,0.1643277132,0.1432262412,0.1303895124,0.1109585736,0.0864281124,0.0766686816,0.069898626,0.062425188000000006,0.05495175000000001,0.045016473599999995,0.0407961792,0.037015498800000005,0.0326193588,0.0266406084,0.0218048544,0.019659538079999997,-0.09838709677419366,-0.12865565636997378,0.00010453074027728972,,
Italy,0.15351599999999999,0.17174602499999997,0.17270549999999998,0.22643609999999997,0.23986875000000002,0.24946349999999998,0.254260875,0.28784249999999995,0.31374832499999994,0.31566727499999997,0.30895095,0.3530868,0.288801975,0.2801667,0.28592354999999997,0.284964075,0.26673404999999994,0.26289615,0.254260875,0.2028,0.194025,0.178425,0.1677,0.13162499999999996,0.11958224767499999,0.11191028557499999,0.090331692825,0.080404964475,0.06653022,0.060554235000000005,0.0628811925,0.0593798025,0.0566023125,0.0535333575,0.051161632500000005,0.04678870500000001,0.036303585000000006,0.04256151,0.0461762475,0.0436006875,0.04239768,-0.02759148006553791,-0.0323130561414281,0.000225430570057404,,
Netherlands,1.98961388,1.9215551200000003,1.8711739600000001,1.8384704,1.7986958000000002,1.76245672,1.7279854000000003,1.6882108,1.6590427600000002,1.6484362000000001,1.8676384400000001,1.8437736800000002,1.82167668,1.7765988000000001,1.7651083600000002,1.7253337600000003,1.7058884000000003,1.7209143600000003,1.6731848400000005,1.6228036800000003,1.57065476,1.5361834400000003,1.4928733200000002,1.4274662000000002,1.3894593600000003,1.3346588000000001,1.27190332,1.2285932,1.1888186,1.2285932,1.15257952,1.0871724000000003,0.8441054,0.79284036,0.7062201200000001,0.7292010000000001,0.6540712000000001,0.6142966,0.17324048000000003,0.12993036,0.12993036,0,-0.20121435150658207,0.0006908461765493707,,
Norway,0.38509000000000004,0.36921000000000004,0.3424125,0.40394750000000007,0.37715000000000004,0.5413095000000001,0.44940400000000014,1.2375482500000003,1.7190100000000001,1.717025,1.66749925,1.2641472500000002,1.370444,1.3446390000000001,1.3357065,1.3420585,1.4689,1.1642025,1.16321,1.2376475,1.2495575,2.1725825,2.1011225000000002,2.4425425000000005,2.3681050000000003,2.340315,2.284735,2.2956525,2.1983875,2.0306550000000003,2.026685,2.054475,2.074325,2.0336325,1.9075850000000003,1.8429732500000002,1.750174500000001,1.7161714499999998,1.6093089750000003,1.5326780499999997,1.4291801499999999,-0.06752748889435711,-0.027742103047977973,0.007599021831600836,,
Poland,0.0767,0.07375,0.07153749999999999,0.069325,0.06711249999999999,0.0708,0.1216875,0.1202125,0.1261125,0.12095,0.1172625,0.11283750000000001,0.116525,0.1143125,0.1143125,0.11283750000000001,0.1098875,0.1143125,0.1039875,0.10767499999999999,0.08776250000000001,0.0848125,0.08555,0.081125,0.0803875,0.078175,0.08333750000000001,0.07704106371606335,0.07766316632352939,0.08145048811651584,0.08050363055429863,0.07880850048642533,0.07590361746606333,0.07247484180995474,0.06970493597285068,0.06687786687782804,0.06539168524321266,0.06369784496606334,0.07225153214932126,0.07226008581447964,0.07226008581447964,0,-0.011900958136006445,0.00038421046476021985,,
Romania,0.2925,0.273,0.248625,0.22425,0.20474999999999996,0.26325,0.229125,0.19305,0.160875,0.129675,0.379275,0.3549,0.332475,0.312,0.2925,0.273,0.25545,0.23985,0.22522499999999998,0.21059999999999998,0.19695,0.184275,0.17355,0.160875,0.1482,0.13942500000000002,0.12675,0.117,0.110175,0.1092,0.10725,0.1087125,0.11612249999999999,0.110175,0.10627500000000001,0.100425,0.09692474999999999,0.08959275,0.084825,0.07886774999999999,0.07886774999999999,0,-0.03201710897869381,0.00041934374337569463,,
