Terawatt-hours,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2020_2,2009-19,2020_3,oo,pp
Ukraine,111.90635022041303,118.01613250218227,119.16994288121153,114.75064239982257,117.64949778756213,114.033,106.667,105.831,87.602,77.08800000000001,70.228,56.354,55.193,50.22,53.871,51.514,53.168,54.629,54.643,45.128,50.013,64.94200000000001,70.037,70.629,65.19500000000001,69.76,74.494,80.418,81.013,70.489,56.062000000000005,61.213,49.2689,49.02289999999999,47.393306664079276,41.17622468141932,-0.13355441462752848,-0.03138704775874268,0.004370497936147984,,
United Kingdom,177.163,201.361,209.924,203.374,199.93800000000002,206.43800000000002,211.458,193.638,171.246,161.341,155.20600000000002,147.269,121.973,122.97085129707412,106.17967779235832,119.94981852968101,131.4605141648434,124.278613890802,138.45872557649628,131.7875673999738,134.6369879450628,148.85002096132501,135.9439242275643,124.38136295716069,103.03803071742502,107.5942353762891,108.44227186995468,142.79200183473648,130.25789114914775,100.23886944869388,75.87822484677024,30.668596979785313,22.529168818102583,16.83510687379909,6.8911999999999995,5.4475,-0.2116589098823748,-0.2369908773688828,0.000578204721082882,,
Other Europe,291.36160166938294,285.7943570935549,292.4313231272927,294.8649295966701,305.6363946508835,311.31513500000005,315.155324886675,296.1596199319944,281.46458275799085,291.3905501156773,292.914126295447,317.4648390911229,303.14760929178425,300.07054141779497,282.47211408289604,299.4616272852231,301.55121089969845,303.748192107859,332.7781527249878,314.5532741436403,302.30871325333067,318.6579381733423,323.1072604646098,306.2917639641383,288.3623683030777,291.851783619152,293.3344507310246,273.83719438755884,267.619663942307,239.62135477551186,238.80377856179973,230.31711672451684,230.00899388694415,214.70415205820115,177.03218917536776,145.19649542179528,-0.18207087445418335,-0.04761759000168986,0.015411344495194327,,
Total Europe,1139.320701889796,1175.151779595737,1191.9518960085043,1173.2937419964926,1209.9099024384457,1218.468435,1209.1398248866751,1158.9684199319943,1092.038482757991,1090.6282501156775,1093.770026295447,1093.6864390911232,1051.3566092917845,1054.519342714869,1018.2003498752545,1073.284896814904,1088.293701064542,1090.231090998661,1151.5618673014842,1123.565782543614,1115.0565531983934,1158.472066134667,1174.032552692174,1095.967686921299,1004.3440141611845,1016.0730389475101,1062.3911146009793,1112.9582952222952,1085.302151059388,1013.1869732242059,989.70271594857,921.691102164302,887.7804027050468,852.4356601895521,689.4988699885853,574.8319256966973,-0.1685826161336138,-0.0369139188758133,0.06101340674933361,,
Kazakhstan,59.0680047335508,62.37638794351918,64.27599922388612,63.2410588744929,63.891783049094514,62.144,62.11143719461312,59.80286623643436,55.31980681778987,47.10350438882869,48.018717476756386,42.321201816597366,37.20602718724863,35.86540312444888,34.0554400495286,35.898169440686864,39.083826596975975,40.14207474090431,45.82768208322442,50.55602869474597,50.16777212097313,49.32179203807228,56.246522034197035,61.598716485314334,58.1053875299801,66.65742187635479,70.21913883404699,67.62547995643543,69.00380527920062,67.16067947583511,63.31488849027361,61.22379576562462,68.94265684110839,74.83336087393603,74.12270648499563,72.95967067793062,-0.018380051595239588,0.024645145106113597,0.007744034150460174,,
Russian Federation,138.3526324037375,144.03875623287848,149.59335496424285,151.5010172880194,153.60161945212087,156.85474350101632,154.73594460181414,154.1113929222031,148.39155109892516,162.4847328403281,160.29595861539937,160.6306059459876,157.0224043800118,162.97269257034327,161.34128661392984,175.615,168.77294163960843,170.35866054260563,172.23623455167325,160.85453194180548,165.73524560659138,177.77253465513502,170.72220522220871,196.6395547684868,164.39030530012562,166.09552145796388,165.0109613543818,169.16300707789912,161.8718578536458,158.701542165864,158.5516843351303,171.45001851900645,174.01381216664652,176.60786159941142,176.80722108255966,152.32331389552664,-0.14083186734298214,0.007308223856633322,0.016167794258904685,,
Other CIS,10.219966232436214,10.964558590494182,10.959927945196595,10.321797948047356,10.968963000627939,11.203,10.544,7.452,8.118,8.255,4.23,4.014,3.268,3.252,2.603,2.721,2.697,2.708,2.3196901111106576,2.8664953888882345,2.156177055555042,2.8115293333326377,2.7296026111104403,2.6749843888883382,2.8680957638882325,2.254046236110606,2.473173361110554,3.104708673819735,4.765235916665557,4.580388749999999,5.240251249999999,3.430835034246575,3.408230373698714,4.128533250000001,3.9592805622633573,4.153352448727295,0.046150790801573915,0.032766787173809986,0.00044084222013313827,,
Total CIS,207.6406033697245,217.37970276689185,224.82928213332556,225.06387411055965,228.46236550184332,230.20174350101632,227.39138179642725,221.36625915863746,211.82935791671503,217.84323722915678,212.54467609215575,206.96580776258497,197.49643156726043,202.09009569479215,197.99972666345843,214.23416944068686,210.5537682365844,213.20873528350995,220.38360674600833,214.27705602543966,218.05919478311955,229.90585602653994,229.69832986751618,260.9132556426895,225.36378859399395,235.00698957042928,237.70327354953935,239.89319570815428,235.64089904951197,230.4426103916991,227.1068240754039,236.10464931887765,246.36469938145362,255.56975572334744,254.88920812981866,229.43633702218455,-0.102317969979007,0.012387399870579685,0.024352670629497995,,
Iran,0.088,0.08700000000000001,0.085,0.088,0.064,0.065,0.094,0.083,0.096,0.095,0.091,0.092,0.096,0.112,0.417,0.484,0.47200000000000003,0.516,0.47200000000000003,0.47600000000000003,0.5710000000000001,0.5640000000000001,0.5750000000000001,0.39,0.376,0.353,0.425,0.4,0.459,0.53,0.462,0.488,0.626462,0.649885,0.6785100000000001,0.6785100000000001,-0.002732240437158473,0.06080813315033673,0.00007201793213436371,,
Saudi Arabia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
United Arab Emirates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Other Middle East,8.396399999999998,8.899000000000001,9.077,9.039,9.743,10.467599999999997,11.345,14.032,15.989,16.964,18.71,22.373,24.783,26.431,26.203,29.185000000000002,32.898,35.074,36.055,36.896,36.13,35.737,37.249,35.35,34.353,34.289,35.191,38.76,32.1557,30.155400000000004,29.216,24.2052,22.0759,20.6429,21.9324,18.983966565538374,-0.1367977145943743,-0.04388055909843336,0.00201498285324899,,
Total Middle East,8.484399999999997,8.986,9.162,9.126999999999999,9.807,10.532599999999997,11.439,14.115,16.085,17.058999999999997,18.801000000000002,22.465,24.879,26.543,26.62,29.669000000000004,33.370000000000005,35.589999999999996,36.527,37.372,36.701,36.301,37.824000000000005,35.74,34.729,34.642,35.616,39.16,32.614700000000006,30.685400000000005,29.678,24.6932,22.702362,21.292785000000002,22.61091,19.662476565538373,-0.1327746670978157,-0.042006469306215544,0.0020870007853833537,,
Egypt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
