Terawatt-hours,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2020_2,2009-19,2020_3,oo,pp
Netherlands,38.213,41.502,41.292,36.428,39.93,36.529,41.015,43.462,44.121,43.541000000000004,42.011,47.075,50.661,52.126126,52.58151600000001,52.492703999999996,54.408072000000004,55.132205000000006,56.172989,60.498005,58.207785,57.075274,60.888076999999996,64.563171,68.494439,73.57777800000001,67.946072,54.057456,54.028718999999995,50.99198200000001,45.881465,52.56742500000001,57.883554,57.348843,70.438236,72.1449162107211,0.021431015866364866,0.002802287210311505,0.011509895201395216,,
Poland,0.081,0.063,0.165,0.097,0.115,0.125,0.107,0.1,0.097,0.147,0.258,0.323,0.215,0.313,0.62,0.928,1.358,2.198,2.4250000000000003,3.225,5.165,4.58,4.483,4.679,4.787,4.798,5.821,6.26,5.2700000000000005,5.328,5.973,7.831,10.035,12.634,14.797395000000002,16.656,0.12252810736475483,0.11946928926587863,0.002657274060926136,,
Spain,2.5140000000000002,2.118,1.496,1.365,1.3980000000000001,1.5090000000000001,1.361,1.711,1.196,3.229,3.75,6.767,18.174,16.212,19.058,20.178,23.358,32.386,39.368,55.46,79.011,90.57000000000001,94.799,120.798,109.58854166666666,97.20825416666666,84.517,73.308,57.09432729595094,47.27300000000001,52.498,52.830660254567086,64.037,58.002001469999996,83.16327629,68.6792000390958,-0.17642071107541157,-0.027215495108628196,0.010956979874462449,,
Turkey,0.0582,1.3407,2.5281,3.2395,9.524000000000001,10.1923,12.588600000000001,10.8137,10.788200000000002,13.8223,16.5793,17.174200000000003,22.0856,24.837500000000002,36.3459,46.2169,49.5492,52.496500000000005,63.536,62.241800000000005,73.44489999999999,80.6912,95.0248,98.6853,96.0947,98.1437,104.0476,104.4992,105.11634699999999,120.576031,99.21870095300001,89.22710000000001,110.49000000000001,92.48280000000001,57.288199999999996,70.0470486498557,0.21937263295113074,-0.05040903424944787,0.0111752044561535,,
Ukraine,48.95859888055376,51.63160518798393,52.13639280209029,50.2029657966093,51.471203906971546,49.889,46.431000000000004,42.235,38.888,34.26,32.726,33.275,31.017,29.197,30.254,29.947,30.357,30.494,34.24,37.524,34.157000000000004,24.45,22.448,19.313,11.688,15.703000000000001,18.451,16.039,13.983,12.714,10.102,9.831,7.3805000000000005,10.570500000000001,10.230013297801316,13.913470923370497,0.3563477946284406,-0.013235312137763966,0.0022197349532974567,,
United Kingdom,2.896,1.743,4.532,4.7780000000000005,4.949,4.998,5.824,12.583,34.039,53.258,63.739000000000004,84.086,110.96300000000001,117.79828819105188,142.9008686105889,148.076532816805,141.9060541128414,152.27748439721154,148.8826731245491,157.06486700778686,152.64174212305596,140.82823702306354,165.79308325185224,176.21901877964078,166.49866362675408,175.6534073618575,146.49898670332828,100.16957002060948,95.84293549002045,100.89202072566279,99.8754151474872,143.129117686903,136.8294339498734,131.48241535666014,131.93130000000002,114.128,-0.13730725867638716,-0.02300192284856961,0.018207815443406467,,
Other Europe,77.47533289527169,74.16226123168246,73.087680002869,77.09851913847194,83.59630334950064,76.92121535483871,74.34963918650682,65.9349766372329,65.92625140762205,70.3902169700389,73.05920344094291,81.28831826638314,73.95358597397234,85.72803704538948,103.04802250590123,108.83105911865839,116.89427571695967,132.23473864193684,145.98917295585122,151.50505823900798,154.42816942630353,160.39852787248014,165.98621479924617,165.99386813609237,162.19939348060768,179.0046209981207,174.03741723949187,150.56034906213512,127.62996574278151,104.89503487916708,126.41628456725932,154.47069016067414,175.25952043688235,160.27473449769028,174.66796546461916,175.41947668543668,0.0015585172268326453,0.007433535479041131,0.027986168658588377,,
Total Europe,222.89313177582545,229.2425664196664,239.92517280495935,238.76998493508117,263.9655072564723,255.14551535483872,253.8462391865068,245.00767663723295,267.4514514076221,295.15151697003887,319.66450344094295,365.2735182663831,415.81818597397245,447.16795123644135,522.8253071164901,557.2271959354633,577.5346018298011,612.9399280391484,670.7788350804003,720.2987302467949,779.0545965493594,791.9622388955437,860.1201750510985,912.0143579157332,847.5087377740284,886.1177605266448,831.9870759428203,710.3995750827446,635.3592945287529,597.43706860483,612.2972377161442,716.6518598001685,788.3056043816077,732.8961930211955,774.2019610524205,759.0527998931789,-0.02224623131880954,-0.009006038302424746,0.12109818179812087,,
Kazakhstan,8.685688517880845,9.172171617982078,9.451501044475274,9.299317649251998,9.395003757444414,9.138,8.641211238576359,8.735418671826993,7.759972901410871,5.35039805690517,5.454308670406309,4.764125812621116,4.225722591230962,4.073196049390753,4.098077266121936,5.518921827324,5.887643266178039,6.228615118822292,6.820101508010355,7.148721253584772,7.261796778761813,8.004426858651724,5.049662858871499,8.208360817110625,12.86040570619649,7.347046499626124,7.939902625211237,14.632493545549856,15.34080599079487,18.187943314649857,17.64369026031947,19.51261619885069,21.758576093723565,21.46710352225335,21.263326815004344,21.322357012952306,0.00003632507313477973,0.051568708852962164,0.0034017378847457165,,
Russian Federation,451.2671824940134,469.8137112814137,487.93124237451843,494.1534976872217,501.005068225964,511.6158394006289,501.3111227131217,460.18742992922483,429.16816716360734,363.74231404167955,353.5442161089271,364.11108149137914,356.867557724436,346.50375199621567,358.63363709294913,370.372,376.7438697248532,384.77259514050377,406.81996570332444,422.5592377860584,440.06674010989883,455.2484207791563,489.1374689203707,494.4408051723094,469.82939977661067,520.5337681613573,521.296402494206,526.1110016135101,529.9604388181575,534.8496316129177,529.754627719022,521.8093609129293,516.2742027123048,523.722463741208,519.208660994687,485.5392502046491,-0.06740261361632549,0.010043722687804735,0.0774622271331856,,
