Billion cubic metres,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2020_2,2009-19,2020_3,z,aa
LNG imports,0.3437136608952702,0.659421,0.659421,1.088568,0.900162,0.962964,1.015299,1.15137,1.768923,3.066831,6.366847536382496,9.250114933066538,11.08665625028075,12.903379818433118,12.528558452756569,12.139748228809149,12.557590345832201,11.743453635771576,11.5994688255996,9.899743222586178,10.527602589169954,0.06051625901937352,0.12432898944278303,0.011198064693334016,,
Total imports,0.3437136608952702,0.659421,0.659421,1.088568,0.900162,0.962964,1.015299,1.15137,1.768923,3.066831,6.366847536382496,9.250114933066538,11.086656250280749,12.903379818433118,12.52855845275657,12.13974822880915,12.557590345832203,11.743453635771576,11.5994688255996,9.899743222586178,10.527602589169955,0.06051625901937374,0.12432898944278303,0.011198064693334018,,
Pipeline exports,2.092108764491156,4.356343847307851,4.986898494230204,5.628172762725579,7.652768969784247,8.515382646733924,9.264181323274544,9.78021140609639,10.706913102608167,7.673881484705792,9.294199231669907,9.270622419965097,9.5415041248738,11.023571085732764,11.403018251312716,11.221096777782689,9.813053224431695,8.410087949585261,7.6387448522984505,6.43065753558671,6.199938544739447,-0.03851219137025663,-0.01751929630344673,0.006594788540945622,,
LNG exports*,4.0176306608952705,3.820455,5.531697589054054,11.665314230351054,13.708129960859912,13.635036932366964,16.284116305694205,18.058316401096874,18.241412522495573,19.469738567066685,21.44407227887782,23.39580526118971,23.396715334886466,24.08808701908042,23.252709508299702,21.364671170566137,19.862357102773235,19.07915580118189,21.372611515019024,22.4654508096258,19.899977147868686,-0.11661663085329776,0.014414624780453522,0.021167329371546112,,
Total exports,6.109739425386426,8.176798847307852,10.518596083284258,17.293486993076634,21.36089893064416,22.150419579100888,25.548297628968747,27.838527807193262,28.94832562510374,27.143620051772473,30.73827151054773,32.6664276811548,32.93821945976026,35.11165810481318,34.65572775961242,32.585767948348824,29.675410327204922,27.48924375076715,29.011356367317475,28.8961083452125,26.099915692608132,-0.09923495106707769,0.006276102395995853,0.027762117912491734,,
Europe,,,,,,,,,,,,,,,,,,,,,,,,,,
Pipeline imports,223.3080805262053,213.60006882717911,219.05989859923946,226.22754346513784,245.84001135575969,262.92644993020576,260.7777095724157,261.61427816177076,276.0994194881175,218.34789111375193,224.76523379729164,234.3566786176542,228.4827713895238,234.08197804780465,209.35769122360418,214.8738221132704,230.60548430541434,247.17788156072206,247.31238286650492,236.95947382399612,211.34611163415866,-0.11052864930707096,0.008213498045889889,0.22480592430403482,,
of which: Russia,190.16374373269068,184.5754276576859,189.07140817723194,193.02212303948465,208.69612985463937,216.45736572672786,212.48622627081406,213.92923682930137,226.21736881137377,167.41547737237482,168.08978393852232,185.97727897595414,177.04953123077752,187.3313853984934,163.9568852731151,169.36923330512798,176.3425394168914,192.9842595439209,193.23100528831657,191.52268382136157,167.66045361320025,-0.12698401251477798,0.013543659954058374,0.17833809646326818,,
Africa,33.144336793514604,29.0246411694932,29.3411904220075,29.7917954256532,33.7037065011203,42.2888592034779,42.770930577454806,40.9292230951647,44.893082851426406,39.31899574137711,43.441893834758716,34.425777579348704,38.4818776252823,33.27681700659541,29.085102021367007,29.828811985142394,38.67124558821291,37.19864291255118,37.31482132818836,26.531932877634556,25.20457883170704,-0.052624097228514244,-0.03857226294816962,0.02680976052572914,,
Other CIS,0,0,0,0,0,0,0.017902724146842956,0.8001932373046875,1.047767825317383,6.583743,5.631246,5.683581,4.7361990950225,5.228383010497749,7.641887999999999,8.142914948,8.17608917531,8.09123810425,9.198524625,11.458658750000001,13.359587814251356,0.16270904814243514,0.05697834963189008,0.014210408053792117,,
