Exajoules (input-equivalent),1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2020_2,2009-19,2020_3,iii,jjj
Trinidad & Tobago,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Venezuela,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Central America,0,0,0,0,0.00051,0.00045,0.00042,0.0007300000000000001,0.00046,0.0002600000000000001,0.00025,0.00018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Other Caribbean,0,0.00012,0.00037999999999999997,0.00018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Other South America,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Total S. & Cent. America,0,0.00012,0.00037999999999999997,0.00018,0.00051,0.00045,0.00042,0.0007300000000000001,0.00046,0.01062,0.025419999999999995,0.025900000000000003,0.016370000000000003,0.028960000000000003,0.026920000000000006,0.023399999999999997,0.028159999999999998,0.018699999999999998,0.03405,0.06284000000000001,0.09147,0.058550000000000005,0.07438,0.06405999999999999,0.06868999999999999,0.09518000000000001,0.09198000000000002,0.08840000000000002,0.08191999999999999,0.08289999999999999,0.09585,0.09886,0.11130000000000001,0.10718,0.11083,0.12223000000000002,0.2119944155844156,0.19403361290322577,0.20521615384615383,0.18983694267515921,0.16198632911392397,0.2066471886792452,0.18746095499999993,0.203010853416149,0.19965555555555548,0.20399833358282196,0.20579783707317062,0.20808370909090892,0.19960684156626488,0.19140998559520944,0.19829121154285695,0.218630152725611,0.19644476794148696,0.20172635756546353,0.2190425632184545,0.2305513545785326,0.049665551144082,0.009310314221135707,0.009613789763034886,,
Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Belgium,0,0.00006,0.00094,0.00061,0.00021999999999999998,0.0005700000000000001,0,0.00010999999999999999,0.0007599999999999999,0.00148,0.06784,0.10036,0.11939000000000001,0.12513000000000002,0.11406999999999999,0.12549000000000002,0.12859,0.15663999999999997,0.24106000000000002,0.27743,0.34601,0.39394,0.41966999999999993,0.43102,0.41217,0.4272200000000001,0.42861000000000005,0.43456000000000006,0.41927000000000003,0.40624,0.41356000000000004,0.4333600000000001,0.47408000000000006,0.46165,0.49017000000000005,0.48157000000000005,0.46048032467532474,0.4674890322580645,0.46467865384615376,0.46106598726114634,0.4608882911392404,0.448848113207547,0.4611706874999998,0.43303751552795006,0.4459855555555553,0.4500265030674845,0.449987926829268,0.3736445454545452,0.39304409638554183,0.30877598802395184,0.2377237499999998,0.394024792899408,0.3800412000000014,0.2558678947368421,0.3879858811962324,0.30513513760557465,-0.21568941089919813,-0.013835163580264487,0.012723868257540323,,
Bulgaria,0,0,0,0,0,0,0,0,0,0.00928,0.025540000000000004,0.04989,0.05884000000000001,0.0591,0.061799999999999994,0.061649999999999996,0.09119000000000001,0.10746,0.12317999999999998,0.12735,0.13131,0.1207,0.12436,0.16030000000000005,0.14566,0.14665,0.13184,0.11552,0.13973,0.15335,0.17261,0.18082,0.17751000000000003,0.16899,0.15813999999999998,0.18178000000000002,0.19426032467532464,0.19961070967741934,0.16947692307692308,0.16386592356687896,0.1806271518987341,0.1875741509433962,0.14002368749999994,0.14981645962732912,0.14408444444444435,0.14313478527607354,0.15219768292682917,0.1463699999999999,0.13061427506024087,0.14536512592814357,0.1400596607142856,0.14282272065088747,0.13990949099999997,0.14427883,0.14758022449815647,0.1477382822551422,-0.0016641711499167933,0.0024001132086544086,0.006160557105159147,,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
