Petajoules,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2020_2,2009-19,2020_3,jj,kk
Germany,0,0,0.186019524,0.186019524,1.041592104,1.302011064,2.046005424,3.348016488,3.720013668,4.836005208,9.300013236000002,13.019985036,20.460012372,24.886464804000003,38.085112359393946,58.23491295600001,95.76781650000001,118.883725452,105.80650686000001,105.87554719200001,131.21372584800002,128.92915656000002,120.81685474800001,128.67836724,143.8085482,132.58042619999998,134.0882924,136.86352,140.6150604,146.86441759999997,146.34771031923088,-0.00624088821354396,0.03326588805407504,0.03897604560159661,,
Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.582011396,7.400001528000001,8.251010496000001,7.473982284000001,26.205432408,31.268906460000004,32.56723314,24.553488600000005,13.038239484,19.124716248000002,21.467691396,21.71358216,21.938371452,26.321909184000003,28.395840564000004,32.67357786,35.27200127456757,0.07657722203263151,0.004403922370007862,0.009393813727172936,,
Netherlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24769696969696972,0.12351010101010101,0.9607999999999999,3.4129999999999994,3.2586000000000004,10.138000000000002,16.24108659918975,27.70209895390917,52.91382932973222,61.9702,74.62932977099237,80.04994231366658,63.47410229007634,82.6375923664122,79.96398778625954,84.79533587786261,83.5677448088962,-0.017169791539861312,0.23663623518269006,0.02225617486866906,,
Poland,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2351010101010103,0.24769696969696972,4.762422670838513,6.290569771262841,4.189367508179389,12.005263399999997,16.9116032,18.1476872,17.1245024,27.020422,28.877252199999997,31.1664356,33.7822,38.452,38.304110200000004,37.8002362,40.9386426,42.466377599999994,0.03448347468906143,0.09243313861491753,0.0113098555916028,,
Portugal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0382036775106082,2.9438054449565803,6.788979936,6.238457604,9.451449792,11.89009332,13.827869964,11.539113876,11.48878854,12.611311488,13.426146504,12.467578644,13.235772708,13.693724892,14.801468436,12.520664371513929,-0.15640431488212725,0.04587705946370302,0.003334565224436492,,
Spain,0,0,0,0,0,0,0,0,0,0,3.064667609618105,3.056294200848656,5.335477833497636,7.52567078136385,9.167857357164287,12.288093452202364,10.937927721343565,15.331350635063508,15.667203291757746,37.705182743988686,42.232605657708625,35.0798,25.4938,30.839999999999996,42.578,46.379,49.8672398,77.55713539999999,90.44058059999999,87.1768078,70.77759999999999,-0.1903326084023581,0.08742669755553134,0.01884984028212066,,
Sweden,0,0,0,0,0,0,0,0,0,0,0,0.61064478,1.367283276,3.786248844,7.131627648,1.506033828,1.712317464,2.053248588,5.546379564,7.655438196000001,8.681287932,8.038614132,9.538116552,9.527021532000001,9.533929752,9.159922908,8.663996447999999,7.7699471760000005,15.259295016,18.00365868,16.26136802812198,-0.09924208467431206,0.08927885096636734,0.004330807912374574,,
United Kingdom,0,0,0,0,0,0,0,0,0,0,0,0,0.1146110325318246,0.382036775106082,0.3830834512022631,0.330254784,9.544815432,16.275180168000002,11.963655396,9.000070884000001,11.767043268,7.281012672,12.53779128,21.095359272000003,16.30612062,12.61566576,22.698610596,31.103109180000004,28.7015607,24.547250268000003,23.20757665153504,-0.05715843039535118,0.10554313481287747,0.006180756527722162,,
Other Europe,0,0,0.1258,0.2072,0.3404,0.4366,0.7252,1.0821293166073627,0.6356738426983531,1.1847592284480322,2.5464734753152007,5.126561387275953,5.530838744617372,6.037724227196913,6.651435603794518,10.215244975199147,14.731884901592853,19.091392402665967,36.98723350838175,43.86580812666409,44.117463528488656,48.46723416305512,57.72831491042718,61.56305431806433,62.334610870511135,70.122330278429,74.09410256937412,78.18922687799171,86.09139679252559,86.78997203564379,81.46898521414624,-0.06387350459102814,0.07061750843863956,0.021697222839332026,,
Total Europe ,0.2637684,0.2888892,0.7286992000000001,1.810032644,5.042762551999999,8.908506064000001,12.924781576,16.526564628607364,15.741815714698355,18.018416648448035,29.27043731133783,36.13839481433676,48.288496700412054,60.94767345908611,91.3213731365614,124.9610882136094,184.04339698442882,251.54220512642883,325.43702587854654,400.031459882922,455.8787521348254,447.8977751587772,486.7073176592845,523.5970731523146,571.4716542886288,580.2508089903461,564.385927659829,638.0396812449084,679.8837798214771,690.0668380482974,659.8894156977635,-0.04634391501351631,0.056038377117887395,0.17574501098885478,,
Total CIS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2705049612,0.8451348876000001,1.3830130836,1.0980008604,1.1952016092000002,0.9511531335626543,0.9967913710533178,0.7867232368288708,0.7359586558044239,0.724469386834645,0.508468188034645,0.580468587634645,0.582046667114097,-0.000021038107850368526,-0.03686920474038913,0.0001550135454132576,,
