Terawatt-hours,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2020_2,2009-19,2020_3,iii,jjj
Czech Republic,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002,0.0016,0.0039,0.0099,0.02128,0.049375,0.12509800000000001,0.24466100000000002,0.288067,0.335493,0.39680000000000004,0.4173,0.4783,0.47650000000000003,0.5726,0.497,0.5910380000000001,0.60933,0.7000000000000001,0.6991,-0.004014441842310701,0.0928497393481158,0.00043935021581418757,,
Denmark,False,False,False,False,False,False,False,False,False,False,False,False,False,0.003,0.006,0.010499999999999999,0.010499999999999999,0.018499999999999996,0.027100000000000003,0.03319999999999999,0.0514,0.12560000000000002,0.17379999999999998,0.2917,0.4284,0.6103,0.7401000000000001,0.9154,1.0342,1.137,1.1773,1.2269,1.9342,2.8198999999999996,3.029,4.2412,4.306019444444444,4.876938888888889,5.560783333333333,6.583111111111111,6.614,6.107958333333334,7.1712,6.9278,6.7205,7.809422222222222,9.774183333333333,10.269938888888888,11.123275,13.078502777777778,14.133091666666665,12.781730555555557,14.780000000000001,13.901955555555556,16.149833333333333,16.35334960876875,0.009835085543794087,0.09163297496666689,0.010277281762119023,,
Estonia,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0014,0.006100000000000001,0.0076,0.0539,0.0763,0.091,0.133,0.195,0.277,0.368,0.434,0.529,0.604,0.7151,0.594,0.723,0.636,0.687,0.8232817904374367,0.19509808826554176,0.1342067108181979,0.0005173924078165906,,
Finland,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0006,0.0024,0.0044,0.007200000000000001,0.0108,0.011,0.0166,0.023,0.049,0.0766,0.0696,0.063,0.09190000000000001,0.1203,0.1683,0.1527,0.1884,0.2605,0.2766,0.2943,0.4814,0.4943,0.7737,1.1072,2.3505050505050504,3.0989898989898994,4.843434343434343,5.897979797979799,6.0858585858585865,8.05050505050505,0.31920731016030635,0.3622191086303064,0.0050593493510979835,,
France,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0.00027152600000000007,0.000489604,0.000489604,0.00240218,0.004704,0.0047142,0.0074302,0.0111284,0.0194972,0.03694443,0.048,0.131,0.265,0.388,0.595,0.962,2.182,4.07,5.694,7.912,9.945,12.052,15.107985,16.054344,17.250189,21.350168,21.307965,24.54369,28.530870000000004,34.615359000000005,40.60381526640806,0.1697950577497771,0.15903955124918934,0.025517515377164617,,
Germany,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0.001,0.002,0.008,0.026000000000000002,0.071,0.1,0.275,0.6,0.909,1.5,2.032,2.966,4.489,5.528,9.513,10.509,15.786000000000001,18.713,25.509,27.229,30.71,39.71300000000001,40.574,38.648,38.547000000000004,49.857,51.68,52.737,58.497,80.624,79.924,105.693,109.95100000000001,125.894,130.965,0.0374376231682807,0.12535048074594934,0.08230510801617089,,
Greece,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.002,0.002,0.008,0.04700000000000001,0.037,0.03400000000000001,0.036000000000000004,0.037,0.073,0.162,0.451,0.756,0.651,1.021,1.121,1.266,1.6990000000000003,1.818,2.242,2.543,2.714,3.315,3.85,4.139,3.689,4.621,5.146,5.536987,6.3002590000000005,7.266347,9.305463790496946,0.277125772556972,0.11070052547054665,0.005848029644694522,,
Hungary,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.004,0.006,0.01,0.043,0.11,0.205,0.331,0.527,0.626,0.771181,0.717905,0.65654,0.6930000000000001,0.684,0.758,0.607,0.729,0.643,-0.12037974019354303,0.0821562036425929,0.00040409410494710707,,
Iceland,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000007936,0,0.005484748,0.008385545000000001,0.010894204000000001,0.009209778,0.008126884000000001,0.0043630000000000006,0.006569191,0.006662207864037759,0.011388633746663546,0,0.000004186872354261145,,
Ireland,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0050009,0.0150027,0.01900342,0.01600288,0.014002520000000001,0.050009000000000005,0.16903042000000001,0.18703366,0.24404392,0.33406011999999996,0.38806983999999994,0.45408171999999997,0.6551179,1.1121101437999998,1.622333167416,1.9587230566990002,2.4104468178427907,2.95574921510968,2.8151656836281003,4.381103159346487,4.01120012208248,4.542331952606399,5.14098632800106,6.57418074656926,6.149,7.444742000000001,8.639767,10.019485000000001,11.554371997893261,0.1500394157478795,0.12984217371588813,0.007261358648078685,,
Italy,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0.002,0.0019191919191919194,0.002878787878787879,0.0019191919191919194,0.003838383838383839,0.006717171717171718,0.008636363636363636,0.03166666666666667,0.11800000000000001,0.232,0.403,0.5630000000000001,1.179,1.4040000000000001,1.458,1.847,2.343,2.971,4.034,4.861,6.543,9.1259,9.8564,13.4071,14.897,15.1783,14.8439,17.6887,17.7419,17.7164,20.202,18.702530398322853,-0.07675326262293991,0.11933928077535438,0.011753627187490413,,
Latvia,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0.001,0.002,0.002,0.002,0.005,0.003,0.011,0.048,0.049,0.04700000000000001,0.046,0.053,0.058,0.048,0.049,0.07100000000000001,0.108,0.11900000000000001,0.101,0.147,0.13,0.15,0.122038,0.153999,0.178,0.15269359672586047,0.1236412296290541,0.00011186430899002341,,
Lithuania,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0012,0.0018,0.0137,0.1061,0.1311,0.1577,0.224,0.47500000000000003,0.5401,0.6027,0.6391,0.8103,1.1359000000000001,1.3638,1.145,1.4994,1.562093022914976,0.03896559236438879,0.2525889648941575,0.0009816991943062956,,
Luxembourg,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0.011,0.018000000000000002,0.024742999999999998,0.023739999999999997,0.024479,0.026168,0.039399,0.052251,0.057985999999999996,0.064286,0.060589,0.063472,0.055083,0.06405,0.077466,0.083027,0.079876,0.10184800000000001,0.101486,0.234823,0.254575,0.281283,0.34890691249363126,0.237023264536115,0.16052935508802624,0.00021927095880866647,,
Netherlands,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0.001,0.002,0.016,0.023,0.056,0.088,0.147,0.17400000000000002,0.23800000000000002,0.317,0.437,0.47500000000000003,0.64,0.645,0.8290000000000001,0.8250000000000001,0.9460000000000001,1.318,1.867,2.067,2.734,3.4370000000000003,4.258333,4.583333,3.993056,5.1001710000000005,4.981828999999999,5.627148,5.797334,7.549873,8.170458,10.568801,10.548511000000001,11.507927,15.268444,0.32315115831814967,0.09643166285267424,0.009595471558499265,,
North Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.070633,0.120767,0.10948300000000001,0.11048000000000001,0.097338,0.101806,0.116885,0.14497811599024346,0,0.00007345651548482522,,
