Thousand barrels daily*,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2020_2,2009-19,2020_3,iii,jjj
Russian Federation,,,,,,,,,,,,,,,,6801.999999999999,6802,6972,7012,7012,7071.999999999999,7138.000000000001,7138.000000000001,7138,7138.000000000001,7138.000000000001,7138.000000000001,6606,6531,6619,6612,6560,6277.000000000001,6028.000000000001,5536,5521,5480.999999999999,5389.000000000001,5257.999999999999,5246.000000000001,5312.999999999999,5428.999999999999,5391.000000000001,5333.000000000001,5389.000000000001,5527,5673,5767,6228.999999999999,6366,6472,6543.000000000001,6544.999999999999,6551,6676.000000000001,6736,0.008987417615338389,0.02164688326887143,0.06607373126254758,,
Turkmenistan,,,,,,,,,,,,,,,,130,129.99999999999997,170.6986301369863,170.6986301369863,170.6986301369863,170.6986301369863,170.6986301369863,170.6986301369863,170.6986301369863,170.6986301369863,170.6986301369863,251.02739726027397,251.02739726027397,251.02739726027397,251.02739726027397,251.02739726027397,251.02739726027397,251.02739726027397,251.02739726027397,251.02739726027397,251.02739726027397,251.02739726027397,251.02739726027397,251.02739726027397,251.02739726027397,251.02739726027397,251.02739726027397,251.02739726027397,251.02739726027397,251.02739726027397,251.02739726027397,251.02739726027397,251.02739726027397,251.02739726027397,251.02739726027397,271.1095890410959,271.1095890410959,271.1095890410959,271.1095890410959,271.1095890410959,271.1095890410959,0,0.0077257952426748044,0.002659326325564294,,
USSR,4518.493150684932,4779.561643835616,5060.712328767123,5341.86301369863,5623.013698630137,6104.986301369863,6526.712328767123,6827.945205479452,7229.58904109589,8032.876712328767,8434.520547945205,9036.986301369863,9840.27397260274,9761.999999999998,9942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uzbekistan,,,,,,,,,,,,,,,,175,174.99999999999997,174.99999999999997,174.99999999999997,175,174.99999999999997,174.99999999999997,174.99999999999997,175,174.99999999999997,174.99999999999997,174.99999999999997,175,174.99999999999997,174.99999999999997,174.99999999999997,175,232,232,232,231.99999999999997,232,232,232,231.99999999999997,232,232,232,231.99999999999997,232,232,232,231.99999999999997,232,232,232,231.99999999999997,232,232,232,231.99999999999997,0,0,0.0022756985826768166,,
Other CIS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.240986301369863,10.240986301369862,10.240986301369864,10.240986301369864,10.240986301369864,10.240986301369862,10.240986301369864,10.240986301369864,10.240986301369864,10.240986301369862,16.240986301369862,16.240986301369862,16.240986301369862,16.240986301369865,16.240986301369862,14.240986301369862,13.240986301369864,16.240986301369865,17.947972602739725,34.947972602739725,43.947972602739725,45.35359509269956,48.353595092699564,48.353595092699564,51.37367728448038,61.3,0.19321806886730863,0.12205158956342932,0.0006012944961986588,,
Total CIS,4518.493150684932,4779.561643835616,5060.712328767123,5341.86301369863,5623.013698630137,6104.986301369863,6526.712328767123,6827.945205479452,7229.58904109589,8032.876712328767,8434.520547945205,9036.986301369863,9840.27397260274,9761.999999999998,9942,8707,8827,9037.698630136987,9077.698630136987,9077.698630136987,9277.698630136987,9343.698630136987,9343.698630136987,9343.698630136987,9343.698630136987,9343.698630136987,9324.027397260274,8632.027397260274,8517.027397260274,8585.027397260274,8113.2683835616435,8011.2683835616435,7885.268383561644,7756.268383561644,7264.2683835616435,7249.2683835616435,7129.268383561643,7037.268383561644,6886.268383561643,6854.268383561644,6927.268383561643,7043.268383561643,7005.268383561644,6947.268383561644,7003.268383561644,7139.2683835616435,7284.2683835616435,7381.2683835616435,7864.975369863012,8018.975369863013,8154.0575616438355,8226.463184133796,8151.463184133795,8132.463184133796,8270.483266325577,8340.409589041095,0.008454925844567418,0.01677067412613842,0.08181145810657307,,
Bahrain,205,205,205,205,205,205,205,250,250,250,250,250,250,259.99999999999994,259.99999999999994,260,259.99999999999994,259.99999999999994,259.99999999999994,260,259.99999999999994,259.99999999999994,259.99999999999994,260,259.99999999999994,259.99999999999994,259.99999999999994,260,259.99999999999994,259.99999999999994,259.99999999999994,260,259.99999999999994,259.99999999999994,259.99999999999994,260,259.99999999999994,259.99999999999994,259.99999999999994,260,259.99999999999994,259.99999999999994,259.99999999999994,260,259.99999999999994,259.99999999999994,259.99999999999994,260,259.99999999999994,259.99999999999994,259.99999999999994,260,259.99999999999994,259.99999999999994,259.99999999999994,260,0,0,0.0025503518598964325,,
Iran,467,524.0000000000001,524.0000000000001,594,594,594,605,605,659.9999999999999,689.9999999999999,810.0000000000001,810.0000000000001,1050,1100.9999999999998,1086,975,1070.9999999999998,1005,1032,1080,1085,1085,1180,1190.0000000000002,1170,1190,1175,1224.9999999999998,1399.9999999999998,1344.9999999999998,1405.0000000000002,1405,1526,1597,1647.0000000000002,1647,1647.0000000000002,1647.0000000000002,1691.9999999999998,1692,1691.9999999999998,1772,1862,1894.9999999999998,1950,1950,1950,2042,2075,2075,2075,2075,2220,2329.9999999999995,2495,2475,-0.008016032064128265,0.02495215726580602,0.02427738789709104,,
Iraq,78.99999999999999,81.99999999999999,81.99999999999999,103,103.00000000000001,103.00000000000001,109.00000000000001,115,115,186,186,186,186,209.99999999999997,302,319,261,418,569.9999999999999,659.9999999999999,659.9999999999999,669.9999999999999,669.9999999999999,669.9999999999999,650,669.9999999999999,440,578,628,628,648,658,708.0000000000001,708.0000000000001,718,717.9999999999999,718,718,718,717.9999999999999,727.9999999999999,743,738.0000000000001,738,852.9999999999999,914,935.0000000000001,971,917.0000000000001,791,763,779.0000000000001,779.0000000000001,849,919,919,0,0.007480497656314977,0.00901451292017239,,
Israel,87.00000000000001,95,109.00000000000001,109,102,125,133,147.00000000000003,212.00000000000003,201,181.00000000000003,200.99999999999997,201,194,194,193.99999999999997,194,194,200,210,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,272,275,275,280,292,292,294,301.00000000000006,301.00000000000006,301,301.00000000000006,301.00000000000006,301.00000000000006,301,0,0.009074845690607125,0.0029525227301108697,,
Kuwait,341.99999999999994,360,360,440.00000000000006,469,469,541,523,522.9999999999999,522.9999999999999,562.9999999999999,577.0000000000001,577,579,579,579,553.9999999999999,534,534,703.9999999999999,584,683.9999999999999,844,844,844,569.9999999999999,574.0000000000001,790,584,764,824.0000000000001,854,906,925.9999999999999,925.9999999999999,745,886,936,914,935.9999999999999,936,936,936,935.9999999999999,936,936,936,935.9999999999999,936,936,936,935.9999999999999,736,736,736,800,0.08695652173913038,-0.023751911443526508,0.007847236491989023,,
Oman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,50,50,70,80,79.99999999999999,80,80,80,79.99999999999999,80,80,80,79.99999999999999,80,80,80,79.99999999999999,81.99999999999999,85,85,85.00000000000001,85,201,216,222,222,222,222,222,222,222,222,222,304,304,304,304,0,0.03193433066009188,0.0029819498669558285,,
Qatar,0.95,0.95,0.95,0.95,0.95,0.95,0.95,1.0000000000000002,1,6.999999999999999,6.999999999999999,9,10,10.999999999999998,10.999999999999998,13,13,12.000000000000002,62.99999999999999,56,55.99999999999999,62.00000000000001,62.00000000000001,62,62.00000000000001,62.00000000000001,60,59.99999999999999,58,58,62.00000000000001,62,62.00000000000001,62.00000000000001,62.00000000000001,62,62.00000000000001,136.99999999999997,136.99999999999997,137,136.99999999999997,136.99999999999997,136.99999999999997,137,283.00000000000006,283.00000000000006,283.00000000000006,283,283.00000000000006,283.00000000000006,283.00000000000006,429,429,429,429,429,0,0.04247844907651621,0.0042080805688291135,,
Saudi Arabia,303,334.99999999999994,334.99999999999994,347,347,675.9999999999999,675.9999999999999,675.9999999999999,675.9999999999999,675.9999999999999,703.0000000000001,703.0000000000001,703.0000000000001,645,689.9999999999999,700,820,820,1010,1259.9999999999998,1510,1539.9999999999998,1565,1565,1915,1860,1645.0000000000002,1660,1670,1683,1691.9999999999998,1699,1704.0000000000002,1761.9999999999998,1808,1798.0000000000002,1805,1809,2049,2074,2101.9999999999995,2101.9999999999995,2101.9999999999995,2102,2109,2109,2107,2107,2507,2899,2899,2900.9999999999995,2826,2835.0000000000005,2904.9999999999995,2905,0,0.032540168157398686,0.02849527751153514,,
United Arab Emirates,0,0,0,0,0,0,0,0,0,0,0,14.999999999999998,15,15,15,14.999999999999998,135,135,184,195,180,180,180,180.00000000000003,180,185,192.00000000000003,202,215,220,220,273,279,234.99999999999997,431.00000000000006,668.0000000000001,674,711,645,711,711,711,663,682,702.0000000000001,702.0000000000001,707,712.0000000000001,712,727.9999999999999,1149,1149,1229,1229,1307.0000000000002,1330.9999999999998,0.018362662586074663,0.06412794309476055,0.013055839713546735,,
Other Middle East,217.89999999999998,231.20000000000005,229.30000000000004,232.15,267.9,292.59999999999997,283.65,279.99999999999994,281,294,361,363.99999999999994,328,342,345,465,513,513,520,520,520,530,530,529.9999999999999,503,500,515,509.99999999999994,530,530,478,477.99999999999994,478,483,496,495.99999999999994,496,496,496,495.99999999999994,496,496,496,495.99999999999994,496,496,496,495.99999999999994,496,496,496,495.99999999999994,496,496,496,495.99999999999994,0,0,0.0048652866250331935,,
Total Middle East,1701.85,1833.15,1845.2500000000002,2031.1000000000001,2088.85,2465.55,2553.6,2597,2717.9999999999995,2827,3061,3115,3320,3357,3482,3520,3821,3941,4423,4995,5175,5351,5641,5651,5934,5647,5211,5635,5695,5838,5939,6039,6273,6383,6698,6744,6900,7069,7266,7379,7417,7628,7682,7743,8086,8152,8188,8321,8702,8991,9384,9548,9580,9769,10152,10220,0.006698187549251333,0.0230144949383968,0.10024844618515977,,
Algeria,54.221917808219175,54.221917808219175,54.221917808219175,54.221917808219175,54.221917808219175,57.736301369863014,57.736301369863014,116.2758904109589,116.2758904109589,116.2758904109589,116.2758904109589,116.2758904109589,116.2758904109589,110,134.00000000000003,440.00000000000006,440,440,440,440.00000000000006,440,434,434,434.00000000000006,434,434,434,434.00000000000006,434,434,434,434.00000000000006,434,434,434,434.00000000000006,434,434,434,442.9729863013698,442.9729863013698,442.9729863013698,442.9729863013698,444.4992328767123,554.268493150685,554.268493150685,652.3499999999999,652.3500000000001,646.551,650.858,650.858,650.858,656.9999999999999,656.9999999999999,656.9999999999999,657.0000000000001,0,0.017148862451105584,0.006444542969045986,,
Egypt,180.73972602739727,180.73972602739727,136.1572602739726,130.53424657534248,80.32876712328768,175.3978630136986,175.3978630136986,175.3978630136986,175.3978630136986,175.3978630136986,200.82191780821918,222.91232876712328,293.2,314,314,324,361.00000000000006,386.00000000000006,386.00000000000006,433,433,443,522.9999999999999,576,583,583,583,592,633,633,633,645.0000000000001,645,645,645,654,769.9999999999999,810.0000000000001,810.0000000000001,810.0000000000001,810.0000000000001,810.0000000000001,810.0000000000001,810.0000000000001,810.0000000000001,810.0000000000001,810.0000000000001,810.0000000000001,810.0000000000001,810.0000000000001,810.0000000000001,810.0000000000001,810.0000000000001,795,795,794.9999999999999,0,-0.0018674674100163102,0.0077981912639140906,,
Morocco,34.13972602739726,34.13972602739726,34.13972602739726,34.13972602739726,34.13972602739726,34.13972602739726,34.13972602739726,40.16438356164384,48.1972602739726,78.32054794520548,78.32054794520548,78.32054794520548,78.32054794520548,73.99999999999999,154.00000000000003,154,154.00000000000003,154.00000000000003,154.00000000000003,154,154.00000000000003,154.00000000000003,154.00000000000003,154,154.00000000000003,154.00000000000003,154.00000000000003,154,154.00000000000003,154.00000000000003,154.00000000000003,154,154.00000000000003,154.00000000000003,154.00000000000003,154,154.00000000000003,154.00000000000003,154.00000000000003,154,154.00000000000003,154.00000000000003,155.63698630136986,130.53424657534248,130.53424657534248,130.53424657534248,130.53424657534248,200.82191780821918,200.82191780821918,200.82191780821918,200.82191780821918,200.82191780821918,200.82191780821918,200.82191780821918,200.82191780821918,200,-0.004092769440654842,0.04401962962788453,0.0019618091229972557,,
Nigeria,32.13150684931507,32.13150684931507,33.336438356164386,42.172602739726024,42.172602739726024,55.226027397260275,60.24657534246576,60.24657534246576,60.24657534246576,60.24657534246576,60.24657534246576,60.24657534246576,60.24657534246576,160,160,210,209.99999999999997,259.99999999999994,259.99999999999994,260,261,270,270,275,390,445,445,445,445,300,370,445,384.99999999999994,445,360,319.99999999999994,445,400,400,360.00000000000006,405.00000000000006,230,445,319.99999999999994,220,321,446.00000000000006,446,446.00000000000006,449,449,449,449,454,460,460,0,0.07654828909537481,0.004512160982893689,,
South Africa,304.99999999999994,394.99999999999994,394.99999999999994,395,394.99999999999994,394.99999999999994,472.99999999999994,473,472.99999999999994,472.99999999999994,472.99999999999994,473,472.99999999999994,472.99999999999994,491,491,491,491,388,324,324,324,324,324,324,324,324,324,380,451,461.00000000000006,463.99999999999994,466,466,476,481.00000000000006,486.00000000000006,505,514,517,519.9999999999999,519.9999999999999,519.9999999999999,520,519.9999999999999,519.9999999999999,519.9999999999999,520,519.9999999999999,519.9999999999999,519.9999999999999,520,519.9999999999999,519.9999999999999,519.9999999999999,520,0,0,0.005100703719792865,,
Other Africa,216.7350684931507,244.41972602739722,251.1208219178082,287.0268493150685,287.0679452054795,298.08260273972604,309.73027397260273,320.4742465753425,375.80246575342466,446.29095890410963,477.4183561643837,553.1282191780822,571.202191780822,665,665,668,692,691,694,880.9999999999999,916,928,928,928,928,928,928,928,932,889,889,891,856,898,879,897.0000000000001,944,944,927,927.0000000000001,932,982,972,972.0000000000001,972,973,1014,1014.0000000000001,724,726,726,726,706,711,711,711,0,-0.03078453864191011,0.006974231432255245,,
Total Africa,822.9679452054794,940.6526027397259,903.9761643835616,943.0953424657534,892.9309589041094,1015.582520547945,1110.2507397260274,1185.5589589041097,1248.9200547945206,1349.5318356164385,1406.083287671233,1503.8835616438355,1592.2452054794517,1796,1918,2287,2348,2422,2322,2492,2528,2553,2633,2691,2813,2868,2868,2877,2978,2861,2941,3033,2940,3042,2948,2940,3233,3247,3239,3210.97298630137,3263.97298630137,3138.97298630137,3345.6099726027396,3197.033479452055,3206.8027397260275,3308.8027397260275,3572.8842465753423,3643.1719178082194,3347.372917808219,3356.6799178082188,3356.6799178082188,3356.679917808219,3342.821917808219,3337.821917808219,3343.821917808219,3343,-0.0002458019082420826,0.004192768163311156,0.03279163949089913,,
Australia,462,455,496.00000000000006,543,553.9999999999999,603,624,639.9999999999999,686.0000000000001,689,702.0000000000001,691.0000000000001,714.9999999999999,714.9999999999999,730,723,725,725,725,723,669.9999999999999,658.9999999999999,647,659.9999999999999,661.9999999999999,661.9999999999999,677,694,703.0000000000001,708.0000000000001,730,751,793.0000000000001,810.0000000000001,827.9999999999999,828,814.9999999999999,829,755.9999999999999,763,718,693.8,732.9,733.8999999999997,733.9,739.5999999999998,742.4000000000002,663.4000000000001,662.3999999999999,536.15,443.0999999999999,451.75,453.9500000000001,453.9500000000001,455.4,455.95000000000005,0.0012077294685992612,-0.04659897641083477,0.004472434348152994,,
Bangladesh,0,0,0,0,0,0,0,31,31.000000000000004,30,30,31,31.000000000000004,31.000000000000004,31.000000000000004,31,31.000000000000004,31.000000000000004,31.000000000000004,31,31.000000000000004,31.000000000000004,31.000000000000004,31,31.000000000000004,31.000000000000004,31.000000000000004,31,31.000000000000004,31.000000000000004,31.000000000000004,31,34,35,36,36,36,36,36,36,36,36,36,36,39,39,39,39.99999999999999,43,43,43,43,43,43,43,48,0.11627906976744184,0.009811668825167263,0.0004708341895193414,,
China,241.49572628519337,317.9875852895533,317.9875852895533,462.2293765549177,539.813976402197,605.3784269773627,768.1968125723573,875.2854151784613,1020.6199472867452,1229.3334482843557,1327.680124147104,1575.732295489814,1756.0345345715198,1724.3450501268567,1748.3853486710834,1972.3972214695661,1977.8609256841632,2185.481685838854,2237.933246298987,2243.3969505135838,2348.300071433849,2370.1548882922375,2435.719338867403,2560.291794960218,2699.069882010985,3160.206517722984,3160.206517722984,3326.303125846737,3643.197970293371,3897.8065866935967,4386.261743478581,4617.9228021775,4981.805502869669,5017.86595068601,5901.893292607826,5908.449737665343,6166.336576594329,6877.710865334876,7322.456388403082,7843.693770475647,8463.418821917807,9226.54210958904,9455.47909589041,10388.77887671233,11333.90706849315,12322.533287671231,13014.68610958904,13680.511178082192,14502.776520547945,15252.54515068493,15024.180506849314,14895.212671232877,15230.98691780822,15655.47424657534,16199.199589041094,16691.41410958904,0.03038511364974683,0.03636178630652043,0.1637268423795845,,
India,231,329,320.15,366.69999999999993,423.7,411.635,415.1499999999999,489.00000000000006,499,555,564,568,564,626,557,557,557,753,779.0000000000001,704.9999999999999,867,991,1059,1051,1080,1122,1122,1041,1069,1072.0000000000002,1133,1210,1236,1356,2189.9999999999995,2219,2261,2303.0387064383563,2292.8712935616436,2558.4064477260276,2558.4064477260276,2871.7048458356167,2983.31,2992.058706438356,3574.4423684931508,3703.3083873972605,3794.5787158082194,4278.828378027398,4319.025154164384,4319.025154164384,4307.202580645162,4620.264516129033,4699.23935483871,4971.631612903226,4994.094516129032,5017.739677419355,0.004734624307561219,0.03401025460258089,0.04921923737993299,,
Indonesia,225.15,228.94999999999996,238.45,238.45,243.2,269.8,342.95000000000005,342.95,342.95000000000005,342.95000000000005,342.95000000000005,449.35,449.35,427.5,427.5,426.54999999999995,424.65,424.65,424.65,814.1500000000001,823.65,823.65,823.65,822.7,822.7,822.7,822.7,822.7,822.7,941.45,941.45,941.45,1007.95,1041.2,1070.65,1070.6499999999999,1070.65,1004.15,1004.15,1004.1499999999999,1004.15,1004.15,1094.4,1094.3999999999999,1099.245,1099.245,1099.245,1099.2450000000001,1099.245,1099.245,1110.6449999999998,1110.6449999999998,1110.6449999999998,1093.545,1110.6449999999998,1126.5365818759935,0.014308426073132097,0.0010322671343971912,0.011050248718572346,,
Japan,1917,2101.9999999999995,2214,2613.0000000000005,3029,3504,3904,4635,5140,5377,5567,5642.999999999999,5642.999999999999,5642.999999999999,5642.999999999999,5642.999999999999,5642.999999999999,5642.999999999999,4724,4724,4724,4619,4460.999999999999,4323.999999999999,4323.999999999999,4323.999999999999,4505,4636,4802,4861.999999999999,5006,5006,5055.999999999999,5144,5087,5009.999999999999,4704.979499999999,4727.7795,4645.1295,4531.129499999999,4531.1295,4588.4277999999995,4650.1777999999995,4650.1777999999995,4629.7528,4290.6028,4274.2628,4253.570849999999,4122.714999999999,3749.365,3720.865,3600.2149999999997,3342.8600000000006,3342.8600000000006,3342.8600000000006,3284.9100000000003,-0.017335455268841726,-0.03204305865209145,0.03222183203112458,,
Malaysia,118,122.99999999999999,124.00000000000001,119.99999999999999,124.00000000000001,125,125,123,122.99999999999999,181.99999999999997,143,167.99999999999997,140,143,157.99999999999997,172,174.99999999999997,174.99999999999997,205,205,209,213.00000000000003,213.00000000000003,213,220,230,234.99999999999997,235,240,349.99999999999994,365,376,376,476,491,572,559.0000000000001,524.0000000000001,527,527,522,528,534,568,572,581.9999999999999,601,606.0000000000001,612,612,612,618,624.9999999999999,624.9999999999999,624.9999999999999,955.0000000000001,0.5280000000000005,0.008900643076559467,0.009367638562311898,,
New Zealand,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,87.99999999999999,87.99999999999999,87.99999999999999,87.99999999999999,87.99999999999999,87.99999999999999,87.99999999999999,87.99999999999999,87.99999999999999,96.99999999999999,97,96.00000000000001,96.00000000000001,96,101,104,104,104,102,102.41917808219178,102.62,102.62,135.60500000000002,135.60500000000002,135.60500000000002,135.60500000000002,135.60500000000002,135.60500000000002,135.60500000000002,135.60500000000002,135.60500000000002,135.60500000000002,135.60500000000002,135.60500000000002,0,0,0.0013301556306202144,,
Pakistan,52,62.00000000000001,62.00000000000001,62,62.00000000000001,62.00000000000001,62.00000000000001,62,62.00000000000001,62.00000000000001,62.00000000000001,62,96.00000000000001,96.00000000000001,96.00000000000001,113,113,113,113,113,113,113,113,113,113,129,129,129,129,132,132,131,132,131.00000000000003,134.00000000000003,134,226.52712328767123,226.52712328767123,227.53123287671235,255.64630136986304,268.9532235342466,271.4645016164383,274.7748701917808,274.25293402739726,276.0842290958904,278.7053166027397,278.8951736438356,275.1357873424658,389.8051024109589,389.8051024109589,388.71492054794527,389.2770210958904,401.19132358904113,401.4530547945206,401.4530547945206,411.4530547945206,0.024909512782555376,0.038148107996395675,0.004035961782904902,,
Philippines,102,109.00000000000001,170.99999999999997,187,195,199,206.00000000000003,275,275,275,275,246,245.99999999999997,257,257,256.00000000000006,276.00000000000006,290.99999999999994,290.99999999999994,291,290.99999999999994,290.99999999999994,290.99999999999994,291,290.99999999999994,290.99999999999994,290.99999999999994,291,290.99999999999994,301.00000000000006,366,369,389,394,396.00000000000006,398,398,398,334.99999999999994,280,280,275.5,269.8,269.79999999999995,266.95,264.1,261.25,261.25,269.8,270.75,270.75,270.75000000000006,270.93999999999994,270.93999999999994,270.93999999999994,180.00000000000003,-0.33564626854654145,0.0014847030024240926,0.0017656282106975304,,
Singapore,50,78.99999999999999,162,170.00000000000003,180,288,303,490,699.9999999999999,955.9999999999999,923.0000000000001,918,918,958,960,1063,1063,1073.0000000000002,1083,1083.0000000000002,1043,973.0000000000001,903,880.9999999999999,891,933,1031,1056.0000000000002,1098,1133,1175,1175,1200,1219.9999999999998,689.9999999999999,1339.9999999999998,1365.0000000000002,1393.0000000000002,1393.0000000000002,1406.0000000000002,1420.0000000000002,1422,1427,1427.0000000000002,1427,1427,1427,1422,1414,1514,1514,1514,1514,1514,1514,1514,0,0.0059356280939573125,0.014850895061089227,,
South Korea,33,38,57,114.00000000000001,170.99999999999997,209,257,379.99999999999994,380,418,418,418.00000000000006,380,551,551,608,750.5,750.5,750.5,750.5,750.5,750.5,750.5,750.5,798,798,983.25,1591.2499999999998,1591.25,1615,1727.1,2316.1,2316.1,2316.1,2316.1,2316.1,2316.1,2316.1,2316.1,2598.2500000000005,2598.2500000000005,2633.4,2678.9999999999995,2712.2499999999995,2745.5000000000005,2774,2864.2499999999995,2877.5499999999993,2877.5499999999993,3122.65,3128.35,3258.4999999999995,3298.4,3345.9,3393.4000000000005,3571.9999999999995,0.05263157894736814,0.02141295231006013,0.03503791093673098,,
Taiwan,46,50,50,103,103.00000000000001,103.00000000000001,122,192.99999999999997,193.00000000000003,288,273.99999999999994,369,464,447,447,542,541.9999999999999,541.9999999999999,541.9999999999999,542,569.9999999999999,569.9999999999999,569.9999999999999,570,569.9999999999999,569.9999999999999,569.9999999999999,570,569.9999999999999,569.9999999999999,732,732,732,732,732,732,874,1159,1159,1159,1159,1139.9999999999998,1197.0000000000002,1197.0000000000002,1197.0000000000002,1197.0000000000002,1197.0000000000002,1197.0000000000002,1197.0000000000002,1197.0000000000002,988,988,1083,1083,1083,1130.5,0.04385964912280693,-0.009958429029398475,0.011089126067741989,,
Thailand,45,45,45,45.00000000000001,62.99999999999999,122,122,153,153,153,153,153,153,166,170.99999999999997,177,177.00000000000003,177.00000000000003,177.00000000000003,177,166,178.99999999999997,178.99999999999997,178.99999999999997,222.27999999999994,222.27999999999994,222.27999999999994,409.69999999999993,449.9,476.7000000000001,476.7000000000001,817.5,866.5,883.4999999999999,898.5,898.4999999999999,1063.5,1067.5,1067.5,1067.5,1077.5,1099.5,1099.5,1164.5,1235.5,1229.5,1229.5,1229.4999999999998,1236.5,1251.5,1251.5,1234.5,1234.5,1234.5,1234.5,1244.5,0.008100445524503952,-0.00008096838622628777,0.012207357267850424,,
Vietnam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0000000000000002,1,1,1,1.0000000000000002,1,1,1,1.0000000000000002,1,3.0000000000000004,8,8.000000000000002,8,8,8,10.999999999999998,10.999999999999998,10.999999999999998,13.999999999999998,14,162,162,159.00000000000003,158.99999999999997,159.00000000000003,159.00000000000003,159.00000000000003,163,167.00000000000003,367,367,367.00000000000006,0,0.0852132932166565,0.003599919740699965,,
Other Asia Pacific,24.7,24.7,24.7,24.699999999999996,62.7,62.7,62.7,93,93,96,96,96,136,134,142,178,192.00000000000003,217.00000000000003,226.00000000000003,226,226.00000000000003,226.00000000000003,227,228,228,228,230,230,230,230,145,145,145,145,145,143,143,140,144,177,176.1931506849315,176.1931506849315,176.1931506849315,178.1931506849315,183,183,184.466,184.466,190.33,197.33,197.33,197.33,197.33,197.33,357.33,357.83153910124304,0.0014035740106990158,0.069207112223719,0.0035099858895248394,,
Total Asia Pacific,3608.3457262851935,4024.637585289553,4343.287585289554,5110.079376554918,5811.4139764021975,6625.5134269773625,7374.996812572356,8843.23541517846,9759.569947286745,10714.283448284355,10938.630124147105,11449.082295489814,11752.384534571518,11979.845050126856,11979.885348671083,12522.947221469565,12708.010925684162,13161.631685838853,12370.083246298986,12689.046950513584,12893.450071433848,12870.304888292238,12791.869338867402,12763.491794960217,13041.049882010984,13612.186517722983,14098.436517722985,15151.95312584674,15759.047970293372,16408.956586693595,17435.511743478583,18716.9728021775,19363.35550286967,19800.66595068601,21020.143292607827,21709.69973766534,22108.093199882,23113.8061950609,23337.73841484144,24321.77601957154,24926.00114386301,26080.101585808217,26726.154916767122,27802.931467863014,29610.886466082193,30427.199791671228,31302.1387990411,32363.062193452057,33230.75177712328,33848.970407260276,33294.243008042424,33490.0492084578,33807.64759623597,34735.18891427309,35527.42715996465,36492.439962780154,0.02716247361427171,0.0183832201547125,0.3579560081970587,,
Total World,34785.26170058067,37826.68531593978,40929.60771201174,44104.05211720022,47393.10488421951,51700.17103024476,55766.66752599638,59969.72689982372,64551.49478630786,68467.3617749237,70905.81458246638,74227.21671602003,76423.82448121984,77252.4743562596,77800.52843304939,79420.94896193406,78797.48480149581,76760.11324856218,74365.23910838425,74015.75146448247,73387.20394498942,73659.3716312768,74672.66493293538,74190.53618466844,74603.4746169699,75076.89072123589,75092.821633264,75102.98983611178,75428.17080175609,76412.67121972414,76799.65286080193,78375.17801623237,79671.02316890331,80859.17755034276,82178.93201499591,82868.96880989269,83953.06491596514,85140.75697442098,85992.51147579524,87088.02541847114,88045.1478785735,89614.39092149923,90506.4598378694,91265.6954039669,92977.08354677279,93870.89909155095,95054.16785597568,95352.8822407707,96136.25116714869,97469.80030413497,97898.02025531745,98419.7154408189,98695.69139975759,100125.34626708759,101747.83590816014,101946.71727004695,0.00195464955211766,0.009055203128466971,1,,
