Billion cubic metres,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2020_2,2009-19,2020_3,ddd,eee
Venezuela,8.558100000000001,8.293920000000002,8.243970000000001,10.155390000000002,10.732590000000002,10.438440000000002,12.940380000000001,14.125305000000003,14.253510000000002,15.964020000000001,16.434105000000002,16.522905,17.63013,17.360400000000006,19.203000000000003,19.231305000000003,21.172140000000006,20.631570000000004,21.12108,21.687180000000005,24.381705000000004,24.311220000000002,23.995980000000007,25.895190000000003,27.389805000000003,30.526110000000006,33.00141000000001,34.22130000000001,35.89240500000001,30.425100000000004,30.99564,32.84823000000001,31.54120500000001,27.998640000000005,31.529550000000008,30.435090000000002,34.94502000000001,37.24716,33.423210000000005,31.795950000000005,30.451740000000008,30.236400000000003,31.904730000000008,30.590490000000006,31.788180000000004,36.06501000000001,37.23873394612107,38.60538774256948,31.61909951728959,25.576218649678385,18.7514500965791,-0.26884357369203926,-0.021532391824322095,0.004865877195855255,,
Other S. & Cent. America,0.7405670000000002,0.7798090000000001,0.7490460000000001,0.577447,0.660133,0.7580250000000003,1.1787050000000003,1.273433,1.4514700000000003,0.93017,0.8328650000000001,0.8428840000000001,0.8900790000000002,0.9748270000000001,1.0319730000000003,1.06571,0.9886640000000001,0.9741220000000002,1.303762,1.8535100000000004,2.394839,2.5391972000000007,2.772883,2.2893996793742004,2.9918270000000002,2.8622482999999996,2.9174083,2.7932986000000004,2.6490121000000006,3.2672600000000007,3.6114555000000004,3.7952175397500008,3.5343456556657067,3.255250614074967,3.5293406239775997,3.788927939424851,4.0718628542604005,3.9842072690057106,3.8303267361971685,3.8005779715223094,3.7879407508235285,3.1553342020776953,2.9859205924706003,2.7326058130336444,2.62362668893551,2.895668002274954,3.127751968692949,3.0928195927381346,3.009536034474608,3.191618130948544,2.678451677764753,-0.16307860333280766,-0.017310925355008222,0.0006950404833711195,,
Total S. & Cent. America,18.699681238938055,19.209406466814166,20.26966742920354,23.146017566371686,24.49173465044248,24.46897367699116,27.42616690265487,29.656790214601777,31.343764376106197,32.58117078761062,35.25416053318585,36.398459688053094,39.98084416592921,43.59639318141594,46.43670534513275,47.416426570796474,51.3634962942478,51.37680540265487,55.629436977876125,57.960303528761074,60.224837329743366,62.444046414005534,62.53447444680208,66.55973745125488,71.11884461692362,77.96662950978383,86.11530182662243,87.40405574870049,92.46806629839782,94.63863591614614,101.71945842889373,106.19297463559208,109.21747232217697,119.63357394298734,135.03158391694663,139.3788747065886,151.80649508382828,157.25289752461794,157.8862991510176,152.31207595299637,160.42309629010768,164.0821492882163,170.57061673362844,173.7738692101215,176.04945662484874,178.03980193381824,177.86730166827118,181.43691307642038,175.88153302139003,172.3310961701178,152.87260522178738,-0.11533713940071644,0.01242516452112663,0.039669429286185366,,
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24186000000000002,1.169685,1.9838775000000002,2.52858375,2.49730875,3.2025600000000005,3.2703225000000002,4.10882336865,4.2798995649975,4.695290123265,5.087366014500001,5.508505084567501,6.69352222902,8.19391249425,7.8866997934650005,8.0850024118725,8.499486319357501,8.738350053427501,8.84230958944292,8.376553772847348,9.87583082444439,10.913009387605975,10.842959023925001,9.615170569419167,10.490115621486668,8.756751928967779,8.535938767234443,6.8571229416716335,5.991194953484593,4.973585405805148,4.800654328055467,4.793545261927697,4.700102649483556,5.050028627693195,4.292761380257613,3.2025567791827783,1.3796929768583337,-0.5703672350604809,-0.0956940691465834,0.00035802119616345693,,
Germany,12.012974999999999,14.799725,17.718575,19.83745,20.603699999999996,19.1252,19.720975000000003,19.6066,20.27125,20.300475,18.481550000000002,18.932575,16.620250000000002,18.371299999999998,18.052549999999997,17.1077,14.01515,15.73055,14.638425000000002,15.320250000000001,15.024625,15.39528228,15.615968508,15.5403549,16.29209484,16.811718587999998,18.206174196,17.89668594,17.486965692,18.678319632,17.665448976,17.833381524,17.78678244,18.515662452,17.133516035999996,16.542674820000002,16.342210836,14.969735928,13.635067823999998,12.746168315999999,11.123992655999999,10.465450884000001,9.461372508,8.604125208,8.082743004,7.524433223999999,6.923041271999999,6.376161456,5.541774084,5.330759364,4.497251220000001,-0.15866327063105146,-0.0834821177516697,0.0011670069270761328,,
Italy,12.581549999999998,12.8202,13.587325000000002,14.67525,14.64845,13.961825,15.002875,13.1612,13.145500000000002,12.825849999999999,11.935624999999998,13.375874999999997,13.734074999999999,12.31495,13.033925,13.419225,15.037625,15.411824999999997,15.664075,16.011275,16.3166,16.411075,17.135075,18.23775,19.242624999999997,19.011199999999995,19.030874999999998,18.485885000000003,18.238166,16.768134,15.958686,14.624725000000002,14.030432000000001,13.322165000000002,12.435959,11.582317,10.534454000000002,9.312674689313933,8.81517795,7.632394862769999,8.006565047407502,8.047827226159999,8.195804096661586,7.367495028011899,6.809556246788837,6.449687846238595,5.509763239067935,5.273058550490069,5.189196921924324,4.621247438186818,3.8756932484698012,-0.16362324797505035,-0.04893578909983198,0.0010057167471703877,,
Netherlands,27.916666666666668,38.58333333333334,51.44444444444444,62.55555555555556,74.16666666666667,80.33333333333334,85.83333333333334,86.11111111111111,78.83333333333334,82.66666666666669,79.94444444444444,74.22222222222224,63.47222222222223,67.58333333333334,68.41666666666667,71.63888888888889,65.5,65.61111111111111,57.91666666666667,63.30555555555556,63.41666666666667,71.70000000000002,72.00555555555556,73.40000000000002,69.62777777777778,70.78333333333333,80.10833333333335,70.95,67.67777777777778,62.93333333333334,61.36111111111112,64.64722222222223,63.519444444444446,60.71666666666668,71.61666666666666,65.33333333333334,64.5027777777778,62.002777777777794,70.90833333333333,65.5,75.26666666666667,69.49722222222223,68.4027777777778,72.40555555555557,60.386111111111134,45.872222222222234,44.28611111111111,37.930555555555564,32.325,27.844444444444445,19.97222222222222,-0.28468124588419497,-0.08198510935916015,0.005182659482926819,,
Norway,0,0,0,0,0,0,0,2.63498825,14.094239412499999,20.5147020625,24.900154622500004,24.763988585000003,23.780336722500003,23.43547771,25.767875537500004,25.989261595,25.894030227500004,27.939754355,28.117098225,28.5221980175,25.288355117500004,24.839309410000002,25.6399065575,24.61781914,26.640295940000005,27.604998000000002,37.117458427500004,42.62263757750001,43.86310477,48.107261060000006,49.4224773975,53.631215332500005,65.101939795,72.41274045000002,78.58502946750001,85.198778515,88.00328378,89.6324020625,99.3288193875,103.4642254675,106.19538399000001,100.50689009000001,113.86252390500002,107.93039904500002,107.49113938750001,116.13087769250001,115.89093089250002,123.72922247000001,121.28686655999999,114.25978691750001,111.454258385,-0.027219098232684313,0.009974293259017442,0.028921642404363648,,
Poland,5.119325,5.279025,5.584075,5.664775000000001,5.483525,5.643775,6.143250000000001,6.4661,6.933525,6.220799999999999,5.283525,4.6959,4.3278,4.2311250000000005,4.64745,4.8062,4.363425,4.3837,4.3505,4.028375,2.7655250000000002,3.0915000000000004,2.9770500000000006,3.8041000000000005,3.604525,3.6858000000000004,3.6520249999999996,3.7264000000000004,3.778125,3.60785,3.85345,4.061225,4.150925,4.199925,4.56545,4.5175,4.51285,4.53186111,4.291305555555556,4.279722222222222,4.2949166666666665,4.477361111111112,4.543583333333334,4.446305555555556,4.333722222222223,4.283250000000001,4.131805555555556,4.04,3.9813055555555557,3.9851944444444447,3.927710751931778,-0.017117142866053148,-0.007104840531681145,0.0010192149450472083,,
Romania,21.742856050000004,23.236145675,23.76869795,25.163677400000005,25.97159135,28.212224674999998,30.7734144,32.58959005,32.812302200000005,31.352559175,32.37340085,34.07495895,34.452358200000006,34.18864465,33.94449995,32.4451533,32.834200675000005,31.2057928,30.559088900000006,27.394526300000003,26.645274999999998,23.32685,20.482325,19.492025,17.23985,16.8003,16.007550000000002,13.848949999999999,12.9669,13.0167,12.755925000000001,12.537400000000002,12.326600000000001,12.128374999999998,12.068975,11.282625,11.116400000000002,10.737675000000001,10.45835,10.3954,10.02345,10.0795,10.097975,10.0019,10.194299999999998,10.217225,9.052775,10.01140102777778,9.957649555555555,9.622586638888887,8.705940920006391,-0.09773177192367066,-0.007695267717143572,0.0022591340495234816,,
