Thousand million barrels,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2020_2,2009-19,2020_3,tt,uu
Venezuela,19.53,19.888,24.9,25.887,28.028,54.454,55.521,58.101,58.50500000000001,59.04,60.054,62.648999999999994,63.32999999999999,64.448,64.877,66.32899999999998,72.66699999999999,74.931,76.108,76.848,76.848,77.685,77.30699999999999,77.22600000000001,79.729,80.012,87.32400000000001,99.37700000000001,172.323,211.17299999999994,296.501,297.571,297.735,298.35319999999996,299.9532,300.8783,302.2504,302.808,303.805745,303.805745,303.805745,0,0.037040599886654535,0.17537039762155443,,
Other S. & Cent. America,0.713696,0.7582439999999998,0.8251620000000001,0.47530999999999995,0.439926,0.4354,0.429,0.61612,0.6081999999999999,0.63999,0.6171829999999999,0.602537,0.634592,0.861201,0.957524,0.998921,1.045031,1.065113,1.078453,1.277356,1.3274080000000001,1.3706079999999998,1.6260000000000001,1.4728090000000003,1.4682090000000003,1.4702,0.844152,0.8205,0.8120700000000001,0.7692590000000001,0.7693823000000001,0.5096048,0.5135324,0.5306172,0.5402170999999999,0.5214782,0.5218384999999999,0.5754214905246129,0.5734152905246128,0.7217731198625964,0.8247813,0.14271545628772264,-0.006351430126689928,0.0004761010182076135,,
Total S. & Cent. America,26.337211937850604,26.805090161212604,31.94544728281286,33.053462740859786,35.83785298081582,62.40930034262539,64.0629525545114,67.45541552651483,68.6104773806041,68.89553401345502,70.96152874035477,73.92293633622661,77.41658500680813,79.16273918809478,80.03159336872369,82.33216145461114,89.30514480295368,91.91196888758817,93.84940248702478,95.93815357355383,96.01035668729823,97.62405865658353,98.9987948097648,99.06384075823324,101.95824360012668,101.40871686349017,108.78292865762221,121.45022233743552,194.26956752946867,233.30381409439326,320.07831440761424,321.6883096201877,322.31206115304764,323.638720544244,325.5150194686346,322.8241118745838,322.7415004137424,322.7199660378389,324.38795203633,324.03353139908705,323.36612025105217,-0.002059697788538095,0.033396084077871535,0.18666152967504418,,
Denmark,0.44999999999999996,0.37100000000000005,0.3270701586802,0.30820072644865004,0.4654459950449,0.44657656281335,0.40254788760640003,0.40254788760640003,0.5409237239711,0.6289810743850001,0.5912422099219001,0.6164014528973001,0.74848747851815,0.7044588033112,0.7547772892619999,0.91202255785825,0.86170407190745,0.9434716115774999,0.8805735041389999,0.9057327471144,1.11329650166145,1.3460194991838998,1.27683158100155,1.27683158100155,1.3271500669523502,1.27683158100155,1.1573251768684,1.11329650166145,0.8113855859566501,0.9183123686021001,0.8994429363705501,0.8050957752128001,0.7296180462866001,0.6730097495919499,0.61011164215345,0.4906052380203,0.44028675206949996,0.4277071305818,0.44028675206949996,0.4277071305818,0.4277071305818,0,-0.07356360982065846,0.0002468918734756131,,
Italy,0.37845,0.37845,0.416295,0.431433,0.620658,0.635796,0.643365,0.68121,0.802314,0.7644690000000001,0.7644690000000001,0.825021,0.643365,0.643365,0.7569,0.772038,0.7569,0.643365,0.635796,0.635796,0.597951,0.5676749999999999,0.5540962140000001,0.505109646,0.46270053899999997,0.459680508,0.450484173,0.456478821,0.469520208,0.527998302,0.5797551240000001,0.577681218,0.621149985,0.603438525,0.641904183,0.6169567589999999,0.5405704109999999,0.592228836,0.5739724079999999,0.551810376,0.6040743209999999,0.09471359596181261,0.004420883171162959,0.00034869898153749694,,
Norway,3.9520615562260497,3.95495966366455,3.8165838272998496,4.887010896729749,4.961909004168249,5.902660485743995,6.493355228640711,6.636084572939421,8.15646905014011,8.421635060472987,8.630572701466345,8.811083502457365,9.74275029659578,9.566066832628191,9.704442248411675,10.80439067131307,11.682216402559447,12.04082164057975,11.663025425702749,10.9379583256969,11.366245077766402,11.596971133963201,10.4481682281686,10.14906939428145,9.721941885187352,9.688088319896451,8.5457472760874,8.1683586314564,7.490797935583699,7.07769910169655,6.803992191107503,6.883336852537479,7.494603397384094,7.0474897080206755,6.539223922456557,8.005041225668228,7.601219652279521,7.9179968880012295,8.644514704892647,8.52298962364425,7.901704611202535,-0.07289519756285545,0.018755547017810237,0.004561220787824993,,
Romania,1.0901930000000002,1.005513,0.95926,1.59494,1.5106,1.442,1.362,1.286,1.231,1.199,1.52,1.491,1.2448000000000001,1.0075,1.0004,1.0058,0.9803999999999998,0.9312999999999998,1.1629,1.2253000000000003,1.1699000000000004,1.154,0.5081,0.4938,0.4682,0.4584,0.4777,0.48,0.48,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0,0,0.0003463470994366241,,
United Kingdom,8.4375,7.875,7.4625,6.9375,6,5.625,5.325,5.175,4.275,3.825,4.0125,4.1625,4.575,4.5375,4.3125,4.5375,4.9875,5.175,5.1375,4.9875,4.725,4.5375,4.4625,4.2825,3.9975,3.87,3.5925,3.39,3.06,2.835,2.805,3.0975,3.0375,3.03,2.805,2.5423575,2.313275817137809,2.5,2.7,2.5,2.5,0,-0.012496384088029555,0.001443112914319267,,
Other Europe,2.2702695909117496,2.18370383388715,2.3481535347149505,2.2515172380202997,2.20291880578875,2.2495432380203,2.28276680578875,2.1630639950449,2.2402275628133497,2.0408371305818,1.9915454340064,2.3780714340064004,2.202305001774851,2.1368464433433,2.0241824582556003,1.9805032883925,2.1039422531117498,1.9474619843224499,1.8964639176242333,2.040868594869867,2.0711899375155003,1.9745878962277998,1.9751915402277997,2.0875907135365606,1.989283077912967,1.9448398240508644,1.9098081161079066,1.886365789629628,1.867593568514055,2.0402667371925003,1.9394051509939452,1.9299523688493758,1.7654152816289879,1.7473852205304239,1.695681355244263,1.6663835535668496,1.6534435967684604,1.5787172161381382,1.565852537113627,1.5932264675192955,1.5954770019583344,0.0014125640547153484,-0.02442860821536108,0.0009209813864101836,,
Total Europe,16.578474147137797,15.768626497551699,15.329862520695,16.4106018611987,15.7615318050019,16.301576286577642,16.50903492203586,16.34390645559072,17.24593433692456,16.879922265439788,17.510329345394645,18.284077389361066,19.15670777688878,18.595737079282692,18.55320199592928,20.01225451756382,21.372662727578653,21.681420236479703,21.376258847465987,20.733155667681178,21.043582516943346,21.176753529374903,19.224887563397953,18.79490133481956,17.966775569052672,17.697840232948863,16.133564742063708,15.494499743747475,14.179297298054403,13.999276509491148,13.627595402471997,13.893566214599655,14.248286710299682,13.701323203143048,12.891921102854269,13.921344276255379,13.14879622925529,13.616650070721166,14.524626402075771,14.195733597745345,13.628963064742669,-0.03992541344201439,0.0013945533077146521,0.007867253043004178,,
