Exajoules (input-equivalent),1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2020_2,2009-19,2020_3,iii,jjj
Trinidad & Tobago,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000012700000000000001,0.000006308766233766233,0.000009525483870967743,0.000014691923076923074,0.000021195859872611458,0.000022649810126582273,0.000025846415094339617,0.000027549562499999985,0.0000297447204968944,0.00003338611111111109,0.000037583558282208565,0.00003735439024390241,0.000037127999999999974,0.00003690433734939755,0.000041117604790419134,0.00004691089285714282,0.000046633313609467414,0.000046359,0.00004178412933000608,0.000041630070680284636,0.00004148610612244899,-0.006180978565705542,0.022313583667941117,0.000005458531296304519,,
Venezuela,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000023090797546012255,0.000027801219512195103,0.000048403636363636323,0.00004928551278283864,0.00006182120636775225,0.00008000513937282223,0.00009085401039746617,0.00009007280024698978,0.0000845727752106956,0.00011206707025096556,0.00011165539529902324,-0.00639567302330768,0,0.000014691050248053323,,
Central America,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000026898734177215182,0.0000026729559748427663,0.0000026562499999999985,0.00000263975155279503,0.000002632901235016487,0.000002616748466703502,0.0000052015853667398875,0.00001212770148599275,0.000022631637932768606,0.00011833104295573322,0.005420015709382861,0.010659011696164712,0.013149013417119174,0.016103703837334768,0.019797080361919857,0.018745208424130213,-0.055719749280344955,1.4412747416768497,0.0024663993901200983,,
Other Caribbean,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000010101010101010103,0.0000012399999797344208,0.0000032189610188270547,0.0000033561290381416193,0.000003334615390461225,0.000004434076444738229,0.00004898070518990961,0.00004247692903043613,0.00005921206248803062,0.00009376608683020799,0.00018636712686587262,0.000432585811553744,0.0008063658265259404,0.0019021809731295581,0.002310983882747074,0.0030106076543485773,0.0038510697737956815,0.004764967761573597,0.006178780839842955,0.007192807424418791,0.011981281833143393,0.016088726658208933,0.33915290634987927,0.5163986789766588,0.0021168730013444333,,
Other South America,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6E-7,1.5896103896103892E-7,1.5793548387096774E-7,2.3538461538461537E-7,2.3388535031847132E-7,2.517721518987341E-7,3.5603773584905645E-7,3.538124999999998E-7,9.313043478260866E-7,0.0000012088888888888883,0.00008362753200090133,0.00033246506091777847,0.0005038271309648897,0.0004341314475991511,0.0005845407206204078,0.001118690643872608,0.002038858324933983,0.003117022959674816,0.005529261654845599,0.0061655551270038585,0.0070572574884340735,0.14149905712850663,1.34832704581062,0.0009285581238450243,,
Total S. & Cent. America,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7000000000000001E-7,0.0000012701010101010104,0.00002138013696603579,0.00003662810062921666,0.000059415822586528704,0.00008171769231353811,0.00010403733008752676,0.00016777278805636526,0.00007236151236376945,0.0000909867178630306,0.00012870106887989742,0.00022438800821200018,0.0005803106545980358,0.0012247877386641175,0.0031482983249986225,0.0049478970148939755,0.010289339584584707,0.025998962163733066,0.04412971837249872,0.06820098054722862,0.11380687241495908,0.17016576429757077,0.20228428056944506,0.18550045663416426,0.9408289181535723,0.026615539018767245,,
Austria,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0.00001,0.00001,0.00001,0.00001,0.00002,0.00002,0.00002,0.00003,0.00004967532467532467,0.00008883870967741936,0.00014711538461538462,0.00017541401273885352,0.00020353236550632906,0.00021542087264150934,0.00023177946093749997,0.00028623268509316767,0.00046196819999999974,0.0008336448110429444,0.0016239453585365847,0.00312938828181818,0.005769519397590358,0.007194169940119756,0.008534285357142849,0.009922511715976325,0.011420739,0.01301960210526316,0.01517310269561655,0.01412690044946312,-0.07149495766126712,0.41790205378112755,0.00185874586531624,,
Belgium,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000009745222929936305,0.000009683544303797465,0.00001924528301886792,0.00005737499999999998,0.0003991304347826085,0.0015677777777777769,0.0052564417177914085,0.010905914634146335,0.01991781818181817,0.024369397590361427,0.02644243113772453,0.02783416071428579,0.02802163313609475,0.029768400000000104,0.03492068421052644,0.037859369111020065,0.04562831305036057,0.20191240891861284,0.3749562732470011,0.006003541861649907,,
Bulgaria,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00002833333333333332,0.00014079754601226986,0.0009422560975609751,0.007547999999999995,0.012544156626506016,0.011470419161676636,0.012595178571428561,0.012547810650887562,0.012626685,0.012014302631578945,0.012858992216304791,0.013298637938605702,0.03136409441593213,0.8437028467109291,0.001749767287675652,,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5549333333333324E-7,1.545393865030674E-7,1.535970731707316E-7,0.000018545454545454532,0.00010409492331325292,0.00032065868263473035,0.0005191071428571424,0.0005975147928994078,0.0007083,0.000670157894736842,0.0007407849242113886,0.000746582183416793,0.005072210639560426,1.3323731657794835,0.00009823149469404474,,
