Thousand barrels daily,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2020_2,2009-19,2020_3,z,aa
Venezuela,2936.479762568306,2996.4060418504755,2796.298352191781,2722.9514871232873,3143.715817543589,3139.3406753424656,3162.890410958904,3061.83561643836,3063.58469945355,2879.2219178082205,2694.72602739726,2623.17808219178,2579.8551912568305,2564.356164383562,2578.4931506849316,2513.863,2242,1992.0428,1386.254320622814,838.6743000350173,488.0366828254148,-0.4180855633646604,-0.11604161551752656,0.006364154817525444,,
Other S. & Cent. America,115.9726775956284,122.28189041095892,137.57472602739728,139.164301369863,132.00160874997061,128.87908910361426,127.30030270057713,129.055055298107,128.79370348238496,120.54462943649085,125.12372187687203,125.50433011367329,131.03891699348372,135.0770376119364,140.2802864862942,132.57674850186186,122.41296031347285,118.38609068295645,113.63829974742899,109.02698848948081,171.45719827718014,0.5726124389258238,-0.009992202946267237,0.0022358568378465084,,
Total S. & Cent. America,6364.7592080873,6446.194195050233,6382.952346675552,6325.023175811403,6752.235402003285,6902.248295703269,7013.227792552711,6886.124595113016,6988.325459423734,6934.50096936774,6956.764921475712,7030.911538998317,6962.708969347991,6998.227569838637,7255.07688754946,7347.283815085416,6981.565504788404,6756.936386236511,6113.8921550503765,5815.175425976814,5474.556576665957,-0.05857413136485745,-0.017449772054895507,0.07138997300263983,,
Denmark,363,348.00000000000006,371.00000000000006,368,389.99999999999994,379.97549780821925,345.53852986301376,311.2730931780822,287.2285459836066,264.7752142191781,249.45960065753422,224.507517260274,204.23533494535522,178.17798887671236,166.84044769863016,157.79915583561643,141.70371928961748,138.24625432876712,115.87670241095891,102.95639084931508,72.03456338797814,-0.30033907760610523,-0.09013366138564138,0.0009393538021770801,,
Italy,94.90613387978142,85.66861095890413,114.76688219178082,115.56920547945207,113.16259562841532,126.78149589041097,119.68302739726028,121.5776202341096,108.33095053442622,94.86296126232875,105.94095080273974,110.09963248630139,111.64945790368851,114.13073137972602,119.58890892410959,113.4675572673507,77.77725481137159,86.042492460274,97.15947688575343,88.74614855205479,112.2130960997268,0.26442778566223946,-0.006643166587835925,0.0014632947507103508,,
Norway,3206.9841626066127,3214.6306663866962,3118.1957298695634,3030.1588031577603,2946.461499251027,2689.771185563657,2484.948685630001,2264.4650739149047,2175.007893844601,2057.698402096503,1871.2022393932918,1758.4489551866197,1611.5535006749465,1532.3472155856832,1562.3168368885465,1608.151049658504,1647.4865707846525,1619.594593466999,1516.156191557163,1437.3800858768877,1713.3173282603852,0.1919723565775988,-0.03524066313413998,0.022342207281371044,,
Romania,123.97655737704918,123.67838356164384,119.5427397260274,116.27126027397259,112.0754644808743,107.3004109589041,98.28841095890412,93.45320547945205,93.19786885245901,90.24345205479452,85.75802739726028,83.84452054794521,79.20382513661202,83.1861095890411,81.54008219178081,80.28498630136987,75.63349726775957,72.79556164383563,71.72564383561644,70.77917808219178,68.43128415300546,-0.033172099377303255,-0.024001879083177635,0.0008923658856758441,,
United Kingdom,2478.568514754098,2289.596138630137,2272.13937369863,2073.6659539726024,1853.7611606557377,1649.5886564383559,1490.4714723287673,1498.4800717808218,1390.4712295081968,1332.2865945205479,1233.6050712328765,1027.9261430136985,885.4762131147542,810.3657797260275,791.1491030136987,903.231029589041,933.2748247868853,913.4733843123288,1002.171611589041,1019.2444743941678,947.0532303319194,-0.07082819272104313,-0.026428009629207994,0.012349877766106415,,
Other Europe,390.7185739071038,386.08897991780816,399.8010064109589,406.42698202739734,397.4070882513662,379.128800060274,371.2990096438356,371.1577533482138,350.57646768304596,331.2723848289144,318.94696642103355,316.19893467016107,317.22897237831785,327.2716604848428,324.0232996546014,316.92120033491466,296.9767257500926,284.22610713315305,288.8381482413679,285.58286771929625,276.98418498533175,-0.030109238704109753,-0.01473128806270052,0.0036119625784018228,,
Total Europe,6658.153942524646,6447.662779455189,6395.445731896961,6110.092204911185,5812.8678082674205,5332.546046719821,4910.229135821782,4660.406817935584,4404.8129564063365,4171.139008982265,3864.9128559047363,3521.0257031650003,3209.347304153674,3045.4794856420326,3045.458678371367,3179.854978986797,3172.8525926903785,3114.3783933453574,3091.9277745199006,3004.689145473914,3190.0336872183466,0.06168509711682657,-0.03226936739084729,0.041599062064442555,,
