Billion cubic metres,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2020_2,2009-19,2020_3,z,aa
Australia,10.256303999085366,10.406762246189027,10.500674110640244,10.650922932410062,12.187866431199408,15.459759,19.135191410896343,20.896901064786586,20.887568174847562,25.133557207558475,25.836315151758864,26.016874482235796,28.293231647626072,30.51986068642768,32.03351274647316,39.914231985469215,60.38569400720025,76.55063484193502,91.81972117509069,104.65500580873463,106.23146755643211,0.012290017342235338,0.15332207498413486,0.21772663340147458,,
Brunei,8.908157401219514,9.108686425609758,9.604466215890245,9.710646814987806,9.574069178048783,9.577305,10.01410423465854,9.587552985853659,9.439614814634147,9.028939085951219,9.038660377817074,9.606895941725051,9.15152296386726,9.512595448744824,8.63404124044179,8.731954299508457,8.644472282414045,9.124740437758438,8.543785281156085,8.79654488148171,8.449965816471506,-0.042024045609633354,-0.0026041887551155884,0.017318621797261315,,
Indonesia,36.62561701872342,32.5850434625532,35.933211,36.47390120004256,34.02655959153193,32.03610246848937,30.57202559319149,28.7624829012766,27.815687944255323,26.889181213234046,32.447978375701574,28.74139187174748,24.44051781122831,23.051189631642508,21.71601082863306,21.649807568269498,22.38720173592708,21.706826653972513,20.808211186143005,16.470356501309375,16.784783723431836,0.016306092541651385,-0.047834279407561464,0.03440124227346616,,
Malaysia,21.4870988290625,21.343489668750003,20.828648967418747,23.75159034155169,28.131687885341357,29.95195571840681,28.73727213624737,30.821903591249995,30.410562700625,30.40213840775,30.99733473706739,33.16567191252449,31.367002524073403,33.613715349036966,33.98249415834181,34.25392571509554,33.587348786755,36.067601562342865,32.998358199080094,35.16640423279521,32.83012186157984,-0.06898578943877398,0.014664306558180407,0.06728695434132814,,
Papua New Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.009615340011202,10.107543236968084,10.866853455627579,11.139407828890755,9.508707020672087,11.615555495869478,11.537593645308343,-0.00942575071035412,,0.02364686735230114,,
Other Asia Pacific*,0,0.429147,0,0,0,0,0,0,0,0,0,0,0,0.09295804843503956,0.16057610683644902,0.8106238037227815,0.4924079479510373,0.8463574410992627,0.61743098863,0.5391738249599999,1.4266146450000001,1.6386978093460618,,0.002923917093135205,,
Total Asia Pacific,77.2771772480908,73.87312880310198,76.86700029394925,80.58706128899213,83.92018308612148,87.02512218689618,88.45859337499375,90.06884054316683,88.55343363436202,91.45381591449373,98.3202886423449,97.53083420823282,93.25227494679505,96.79031916428701,101.53625042073747,115.46808660903358,136.36397821587505,155.43556876599882,164.29621385077192,177.24304074515038,177.26054724822367,-0.002633739130566859,0.06840702784983743,0.36330423625896663,,
Total LNG exports,140.47727212591178,147.26488707906117,155.89005985074292,171.9541292931912,180.66915892321686,195.14414465009335,217.49475475170783,233.2307802572113,234.85258398148542,249.73884096815735,302.38995504466726,328.26413569281834,324.8838862180012,326.84039163636515,333.6329591990853,337.0960666197311,358.25589961195556,393.2924204473875,430.5684694940334,483.7513328899413,487.9121396257838,0.005845386391565288,0.06835013267597723,1,,
"Source: statistics are taken from national statistical agencies, international organizations, and other proprietary sources. Includes data from GIIGNL, IHS.",,,,,,,,,,,,,,,,,,,,,,,,,,
Gross LNG trade.,,,,,,,,,,,,,,,,,,,,,,,,,,
*Largely consists of re-exports.,,,,,,,,,,,,,,,,,,,,,,,,,,
† Less than 0.05.,,,,,,,,,,,,,,,,,,,,,,,,,,
w Less than 0.05%,,,,,,,,,,,,,,,,,,,,,,,,,,
n/a not available.,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Growth rates are adjusted for leap years.,,,,,,,,,,,,,,,,,,,,,,,,,,
