Crude (million tonnes),Canada,Mexico,US,S. & Cent. America,Europe,Russia,Other CIS,Middle East,Africa,Australasia,China,India,Japan,Singapore,Other Asia Pacific,Total
Saudi Arabia,3.6750917968732084,0,24.864256480218284,2.90045494158352,41.89378612499999,0,0.086983032,10.61834776413781,8.398018360797364,0.24221700000000002,84.930208661,37.593120000000006,49.600723113,4.788486762,79.4946844742519,349.08637851086206
UAE,0,0,0.26548431105047754,6.50000007681083E-8,0.4019149130000001,7E-9,0,0.02358702133862906,1.054064490776138,3.8942296495165567,31.156224244,22.167720000000003,38.279024986,10.864418224,34.56044957179318,142.66711748347498
Other Middle East,0,0,0,0.00020589449742900907,0.9861614157264854,0,1E-7,5.681190950455569,0.13706800593331464,0.18275172681267404,53.148507113619374,12.915648653478854,11.462586414999999,7.8749323467968635,15.263891858499539,107.6529444808201
North Africa,0,0,0.8975443383356071,1.0473430074275063,31.816127654142687,0,0.09137280273437501,0.8658655090000004,0.04411707700000302,1.9769826525393073,3.4244195080000006,4.496087999999999,0.47524442499999997,1.12016236,4.72228188440545,50.97754921858494
West Africa,1.5823026286640447,0,7.139972714870395,3.2504229690744157,65.38860621248243,0.011956300000000001,4.2E-8,4.349069309000002,8.148740708,1.2492367065028989,71.799045475,21.406681999510006,0.1913814258703003,3.120305573,16.037071022001857,203.67479308597638
East & S. Africa,3.199999916553497E-8,0,0.43534573057897985,3.9999999797903E-7,0.33476739800259336,3.01E-7,0,0.043143826837203095,0.00014658699990015723,0,2.0955706449999996,0.5624929999999999,0.06562344299999999,0.03923548700000385,0.2669799591861572,3.8433068096048344
Australasia,0.0000022524902049940314,0,0,0.040082789526654485,0.00010724170222839585,0,0,0.17899881760329406,0.0021847246390261856,0,1.388348662,0.08031999999999999,0.277905016,1.7907151104999997,5.593629131001789,9.352293745463196
China,8.580915066643929E-7,0,0,9.606200033453105E-7,2.1E-8,0,3.0000000000000004E-8,5.060000002122252E-7,0.00004597599930694187,0,0,0.0583968,0.08796255,0.24573151999999998,0.691880938129834,1.0840201598406511
India,0,0,0,0.0040199180005493175,0.017810293,0,0,1.8600000475998968E-7,0.04611415148111248,0.0017543043753018236,0,0,0,5E-8,0.00008463090225359946,0.06978353375922199
Japan,0,0,0,1.0095194196051678E-9,0,0,0,0,0.0029377190251922607,0.000009118938441322503,0,0,0,0,1.1299999645818026E-7,0.002946951973149461
Singapore,0,0,0,0.0009222299916839599,0,0,0,4E-8,5.26E-7,0.1524882322273258,0,4.18E-7,0,0,1.5080004722736846,1.6614119184926945
Other Asia Pacific,9.86805260181427E-8,0,0.8244201909959072,0.000017306872000004163,0.000023288506688667258,0,0,0.3557562256231824,0.45300344140120485,6.762795049328743,17.763953876,4.00764400489721,1.0427969528834582,3.4025777211999992,0,34.612988156388916
Total imports,27.8834524775454,4.000000189989805E-9,293.7355872648982,17.81883234335745,475.9454770971206,0.014787798149539167,15.187536551098047,34.04317934310923,25.49269279588271,18.683935872665806,557.1520241876194,203.9235841043361,123.54157313075376,46.13362295065426,269.00471714568573,2108.561003066876
Product (million tonnes),,,,,,,,,,,,,,,,
From,,,,,,,,,,,,,,,,
Canada,0,0.968,25.134207077326344,0.9100021303220837,0.7090746570384767,0.052757486,0.00037278599999999995,0.00158514900023526,0.0014056878006514556,0.001219033991852574,1.103414101,0.00017083000000000002,1.2057050609999997,0.15728620999999998,0.2578744081000015,30.503074617579642
Mexico,0.00067492,0,4.485058977719528,0.22655805208589092,0.07515182700044251,0,3.0999999974737876E-9,0.0007123410241627221,0.17001066035463108,0.0001243028391641109,0.00007345399999999999,0.00001811,0.15938244199999999,0.28668066,0.07297881210029421,5.477424562224114
US,24.432503276539975,49.92555701179554,0,71.79504836173003,24.61406229750181,0.00098823392,0.0032448883748361734,2.0726013024761905,6.209222471494863,1.4604200858243372,8.577723312,9.57038007863696,12.123419910999994,3.7331585845347313,25.63964552140361,240.15797533723284
S. & Cent. America,0.12225050441407105,0.6253259593323226,6.058685924675743,0,3.211376468648104,0.005024893844855743,0.0000195980542269122,0.43154732983172867,2.9554455832333932,0.0008630416006361561,1.2704598209986722,0.10777626000000001,0.684952776140011,6.0952204397684175,4.168162468941158,25.737111069483337
Europe,3.208837414,1.781020118999553,17.446797547252487,7.162408305742995,0,0.11190994589034808,0.9759062827583653,13.226948206641866,43.58995776397428,0.5453747969456358,2.11989792,1.0881399200000001,0.482106956,4.870238669156249,7.836099609847456,104.44564345720924
Russia,0.176,0,22.287155963302755,1.16697331686255,57.464370524353996,0,1.030605351725,2.926722388618,2.950258903082029,0.003059579101851123,2.966335377,1.30955051,1.069812046,3.89811615,9.534771373827153,106.78373148387334
Other CIS,0.015333500000000002,0.00089743,0.5399737876802098,0.10728999513197562,6.695551342217532,0.28794400294999933,0,0.05999405348867201,0.4481178549534164,0.0007505530000958591,0.39595415766079867,0.054073,0.000166448,0.007037661998013556,1.3157289378379535,9.928812724918664
Iraq,0,0,0.005504587155963302,0.0028329807831617747,0.000156981,0.00039999999999999996,0.001892834,0.46596247022790277,0.014248094616228692,0,0.250064823,3.9697342300000007,0.065038951,5.343912099999999,3.558228656890145,13.677976708673402
Kuwait,0,0,0.35583224115334205,0.037660274988770254,1.6906386439999976,0,1.1000000085914508E-8,4.074356312587084,2.107655534959287,0.02,1.413563002,2.43519578,1.7510161559999995,1.11948392,7.956364357212026,22.96176623390051
Saudi Arabia,0.000058385,0,1.1381389252948886,0.23468439104310684,12.424599650270997,1E-8,0.00013368500024497513,5.645753489180173,9.17914435825166,0.00008836985919198971,3.345327511,6.7602183,1.131394907,2.7259194599999996,7.082676289840994,49.668137731741254
UAE,0.02759622,0,0.6672346002621232,0.6930508221415815,4.11332190231166,0.0027475166699999997,0.014824132125513565,5.527678410186841,11.124088225258726,0.3789496714234362,5.27355634,7.58049533,3.533264372999999,5.09870446,23.35448040538635,67.38999240876623
Other Middle East,0.05532834,0.000540482,1.1184796854521626,0.5480576564102428,5.860798899254206,0.03229422977999999,0.13819377252250575,10.275227139428681,5.013536025370929,0.009997426173568302,7.155371134000001,6.885770359999999,5.194822717000011,2.7062226874999995,13.390213965935365,58.38485452082768
North Africa,1.43E-7,0.00342,1.725032765399738,0.8196618757902472,12.581160396047432,0.00033645269016433,0.0005567470000000001,0.7968776691195114,0.45464826513411205,0.00002,2.334936277,0.2786432999999999,0.8151812460000001,1.78917026,3.785508503624742,25.385153900805943
West Africa,0.00005481837500019203,0.00001112299991582404,0.823291414621265,0.8584378777335563,1.9500114480996484,0.012769557003325698,0.00004396700002322905,0.003431819002952815,0.641689053959666,0.00013424200039117317,1.3770227139995115,0.051955110000000006,0.04048421000000001,0.6280992499999726,1.5389036771153741,7.926340281910601
East & S. Africa,0.000051661999999890896,0.0005837104815082449,0.021021490230550142,0.1535579256426774,0.24762492051275423,0.0005892359962249671,0.0010963059999999948,1.4190490333116255,0.49524437983627606,0.003544146302178686,0.02485459795119583,0.034835750000000006,0.005111668896797039,0.07249361000000001,0.18932523631899215,2.66898367348078
Australasia,0.000017897977420062674,9.999999747378752E-9,0,0.06064808381982545,1.1795086725150519,4.5000000000000005E-10,0.000007877786560012753,0.000341342114188424,0.003930946546559816,0,1.1384049440000001,0.014043610000000026,1.491362869,1.3776822000000004,0.5913604492737268,5.857308903483333
China,0.175577574,0.865120662,0.15006553079947577,4.657225783718818,3.447822617270021,0.000052082999999999996,0.06975617600000002,1.575691712,3.930290257000001,4.0734555753449175,0,0.71338978,0.835744658,12.648082833999997,32.08378926519067,65.2260645083239
India,0.16489417,0,3.7964613368283096,2.798488431322319,6.120317001410002,0.005445760000000001,0.000606583,11.907146276,10.718603736999999,1.2556351072722263,0.734821233,0,1.3484031009999995,5.938578279999999,11.089941959418388,55.879342976251245
Japan,0.00015201199999999998,0.128928433,1.0609436435124509,0.2166583941612337,0.27073521525,0.012237910999999997,0.0020980000000000005,0.019010536,0.0991985632410401,4.136075251806028,1.8117693359999998,0.14974406,0,1.80936251,4.45022566209,14.167139528060751
Singapore,0.1157970653,0.0352470255,1.1967234600262122,0.8994985655001658,0.9253592573602312,0.00009022,0.0016152002006103515,2.217026175439999,3.398147388880738,8.091462870292014,8.576945616000001,1.59520808,0.374810194,0,44.032259680891435,71.4601907993914
Other Asia Pacific,0.2089452459999959,0.08124664516240307,6.991103662508097,1.10661619377354,4.132541463713902,0.22105955238526795,0.16654606010784143,1.5879409783662546,5.368312358576619,12.299855384196706,31.99044658752176,2.7926488699999994,7.781080934000029,36.81175026760808,0,111.54009420392049
Total imports,28.70407314860646,54.41589861127124,95.00171262120163,94.45535941870476,147.71418418577625,0.746647091580186,2.407520261755728,64.23560413404607,108.87315611352513,32.28102943797423,81.86094225813194,45.39199126863696,40.09326162503684,97.11720021456546,201.92853924124583,1095.2271196320587
"Source: statistics are taken from national statistical agencies, international organizations, and other proprietary sources.",,,,,,,,,,,,,,,,
†  Less than 0.05.,,,,,,,,,,,,,,,,
"Notes: Does not include biofuels trade. Bunker fuel use is not included as exports. Intra-area movements (for example, between countries within Europe) are excluded. ",,,,,,,,,,,,,,,,
Crude imports and exports include condensates.,,,,,,,,,,,,,,,,
