Thousand barrels of oil equivalent per day,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2020_2,2009-19,2020_3,jj,kk
Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4582518398813007,6.667962429025191,6.593307291625299,6.495582527793966,6.443262212951453,7.738935589910341,4.834737644747804,8.122225191776154,8.790234859520153,8.7076057448222,8.735777527304531,10.798903077186786,0.23616965329459827,0.13518728818273829,0.006430694119161253,,
Finland,0,0,0,0,0,0,0,0,0,0,0,0,0.011999316297273297,0.07199589778363981,0.08376571896047344,0,0.01200482751531919,0.023992333242282362,1.3783240518291353,2.331534652471158,2.3258049808783228,3.4597800397596243,3.4275476103399383,3.8138255385033304,8.13116826211181,8.127140464113342,2.9431956658559866,6.505502193053227,6.191935868263243,7.17502484965383,7.449831699937057,0.03830047366267819,0.11896925386255619,0.004436338446516244,,
France,0,0,0.11643982690677634,0.5832972771865624,1.7625692930080437,2.801165364011471,4.187342977423254,5.491063606665588,4.714984193970556,4.920002207457412,5.867523935049755,5.964396798855458,6.253599453207947,5.746239851776171,6.249770333863436,10.61101221255744,12.850286470374225,25.892810232201512,41.90332013780859,44.95587724068346,44.05777042300925,43.51988660385597,47.51323763244493,48.52565595521988,52.325804555540515,52.782421353538155,52.95675705794174,53.51681550898924,52.90816062615237,55.09320412769325,49.43833788200142,-0.10264181100422409,0.02054264103541903,0.02944028911144884,,
Germany,0,0,0.08257286519270096,0.08280273846072472,0.4635789456589107,0.5794041762094493,0.9076143771489175,1.488634452723791,1.653767425272732,2.153224373720364,4.12977716114853,5.797648759535505,9.110246475112428,13.053620227020264,17.35225360609925,32.13866380354948,51.25264678452738,58.26011790433955,50.978454354079965,50.79141046626806,50.839173191222386,52.94433903898488,56.24625761289502,50.46801570764197,52.91693875189788,49.60768251047896,49.578675824190086,50.59185426006457,52.73411151828306,51.83512356489848,63.112242578543785,0.21755748299753064,0.00203614268955854,0.037583032674337984,,
Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4263875818655105,3.115191557775554,3.510755850489963,3.187004117573903,12.831403659966686,20.767496190049798,25.568653949599337,25.25995726922718,28.119016407159897,23.672412327473946,20.221418026519807,24.959788104605057,24.7560235833076,25.160627742397995,25.754377432414934,15.085266917591893,21.292949587265465,0.411506319615359,-0.031461506515337856,0.012679847639311917,,
Netherlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7501092826915872,6.122792732239979,5.304070471695939,6.962182002308241,4.268267392770634,7.443699886923561,6.980082826253116,7.2200651908458555,7.153556814264589,7.989646129960905,7.82594307855082,8.58363241882235,10.620745265976621,13.941686923947348,18.299563634427656,0.3125788675540313,0.07190672434572387,0.01089730090232345,,
Poland,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5279500292067549,0.25129485742384494,0.9246496966947526,1.6863324106201911,1.8009630893281559,8.150768404390924,11.612036992380004,11.971418241206292,12.697973566121005,14.045178079351748,13.71124692780882,13.040566698130338,12.198679445869043,8.149852033672026,11.309960983978662,17.06446898935753,18.43039855188935,17.38178224208167,-0.05689601919651299,0.04727957018183515,0.01035076655895082,,
Portugal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3351488321830283,2.529043364110161,2.5800571342580962,4.218614260573701,6.1280920615177275,5.759333969590054,5.2219179015791655,5.164907317142105,5.1895733958428245,6.563718363849122,5.252952846994738,4.7803660294635835,5.289875774608875,5.287438592696492,4.666689336781316,-0.11740074991558547,0.0228396431085105,0.002778990741882835,,
Spain,0,0,0,0,0,0,0,0,0,0,1.3265338811338658,1.3245697642362095,2.5821955663786484,3.559091320432567,3.270827909437982,4.741050517831452,3.1395742714682506,2.848925247574023,3.717709265470626,5.758085191820982,26.712364185058778,31.86244313952026,39.242118189507956,17.02666034504685,17.959114389439016,18.39197050438951,20.798636863246323,24.458057247869586,31.465782311107517,31.40216861994686,22.582673004211404,-0.280856259402838,0.18486304816497823,0.013447871644474061,,
Sweden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7196076940303118,3.184089142857678,3.498388074093687,5.8290778121086015,5.315264696368499,8.78484044151621,10.255050738748636,12.018025671703995,11.955788563372963,15.930898810491128,19.123633133466363,24.733880219537216,28.081034208377698,26.577430450948214,27.45282662430288,24.82441697946895,-0.09574276925302494,0.17843658543801233,0.014782819249366294,,
United Kingdom,0,0,0,0,0,0,0,0,0,0,0,0,0.029154405214348776,0.3061212547506622,0.27621010951025793,1.3057413279719075,3.3254411381786326,6.48893743807302,14.851832106804205,18.459688750134582,21.462477039645783,19.86907376005778,16.660702392761166,19.095978209172245,21.815873079468425,17.43729824862394,17.62120438290402,17.450070722317044,24.042812608345606,30.738102307382807,29.394170853321498,-0.043722004716553964,0.052313804871383374,0.017504085395802848,,
