Terawatt-hours,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2020_2,2009-19,2020_3,iii,jjj
Cyprus,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004,0.000566,0.001002,0.001733,0.003,0.004,0.007,0.012,0.022,0.047,0.0836,0.12665900000000002,0.145937,0.17202,0.19183000000000003,0.218267,0.324875,0.4843625623111978,0.4917388788499564,0.00037964897342901535,,
Czech Republic,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0.00006800000000000001,0.00017,0.0017540000000000001,0.012936999999999999,0.08880700000000001,0.615702,2.118,2.1731,2.0702,2.1229,2.2638000000000003,2.1310000000000002,2.193368,2.339677,2.2859000000000003,2.2331,-0.02576725408820113,0.38376073416936296,0.0026096009928875227,,
Denmark,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00016111111111111108,0.0003194444444444444,0.00039999999999999996,0.0008805555555555555,0.0012,0.0012,0.0012805555555555556,0.0015194444444444444,0.0018388888888888888,0.002161111111111111,0.0022138888888888885,0.0024944444444444445,0.0026222222222222224,0.00375,0.00616111111111111,0.015130555555555555,0.1038611111111111,0.5175416666666667,0.5955166666666667,0.6042611111111111,0.7437805555555556,0.7514861111111111,0.9529729999999998,0.9632694444444444,1.1813139183862358,0.2230080498493252,0.7416931816157326,0.0013804836211242539,,
Estonia,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0.0001,0.0002,0.0003,0.0014,0.0031000000000000003,0.005900000000000001,0.009677,0.014492000000000001,0.030802,0.11644894182014466,0.12581506741229884,0.0774791804574877,1.0258792426592809,0.00014702750653322543,,
Finland,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0.0005,0.0005,0.0006,0.0007,0.0008,0.0008,0.001,0.0012,0.0013000000000000002,0.0014,0.0016,0.0017,0.0019,0.0021000000000000003,0.0024,0.0026000000000000003,0.0034,0.0038,0.0039,0.0043,0.0047,0.0053,0.0057,0.006500000000000001,0.008,0.011111111111111112,0.022222222222222223,0.0494949494949495,0.09090909090909091,0.1484848484848485,0.2585858585858586,0.736738411211479,0.4250213413483446,0.0003021834728907479,,
France,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0.001488,0.001683,0.0018785000000000002,0.0020400000000000006,0.0026503,0.0034068,0.0040885,0.0045475,0.00522325,0.0061605,0.00710345,0.007767300000000001,0.008447984,0.01050076,0.01190605,0.018000000000000002,0.042,0.17400000000000002,0.62,2.078,4.016,4.735,5.913,7.263162597840001,8.164943217,9.102625159,10.41155150811,11.747336493767708,13.074785996400962,0.10995905704344056,0.5238387602830834,0.01527919686444845,,
Germany,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0.001,0.001,0.004,0.003,0.007,0.007,0.012,0.018000000000000002,0.035,0.03,0.06,0.076,0.162,0.313,0.557,1.2820000000000003,2.22,3.075,4.42,6.583,11.729,19.599,26.38,31.01,36.056,38.726,38.098,39.401,45.784,46.392,50.6,0.08772522490687562,0.21563144086531483,0.05913116754292628,,
Greece,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.005,0.05,0.158,0.61,1.694,3.648,3.7920000000000003,3.9,3.93,3.991477,3.790652,4.42851,4.872224616961554,0.09718901568341787,0.5657728653913452,0.005693682413682281,,
Hungary,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.008,0.025,0.067,0.14100000000000001,0.244,0.34900000000000003,0.629,1.497,2.371,0.5795069191205724,1.0774098191251755,0.002770750953444233,,
Iceland,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Ireland,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00042423589431820805,0.0004761065413543681,0.0005420809170048,0.0006459287710544641,0.0006994631287046401,0.0009462147872098561,0.0016166214162858241,0.005342642270538241,0.010801,0.016656,0.02135,0.02135,-0.002732240437158473,0.4797183067167565,0.000024949613182637865,,
Italy,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0.00202020202020202,0.004,0.005,0.009000000000000001,0.011,0.011,0.013000000000000001,0.014,0.015,0.016,0.017,0.018000000000000002,0.019,0.021,0.024,0.029,0.031,0.035,0.039,0.193,0.677,1.9057000000000002,10.7957,18.861700000000003,21.5886,22.306400000000004,22.9422,22.1043,24.3777,22.6538,23.6889,25.95316063893654,0.09258979369944442,0.426906849211272,0.030328867391490835,,
Latvia,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002,0.0002,0.0002,0.0002,0.0002,0.000382,0.00044,0.001273,0.003137,0.003137,-0.002732240437158473,0,0.0000036658986676316154,,
Lithuania,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0.0023,0.0448,0.073,0.0733,0.0665,0.0665,0.08,0.0911,0.08977457318659872,-0.01724163043348348,0,0.000104910579608527,,
Luxembourg,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00004,0.000046,0.000059,0.001399,0.009199,0.017698000000000002,0.021114,0.020901,0.020031,0.020316,0.021148,0.025744,0.038277,0.073738,0.094741,0.10372100000000001,0.100288,0.10846299999999999,0.119725,0.130385,0.20646935289472343,0.5792094871320359,0.20431180297090257,0.00024128011657109609,,
Netherlands,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0.001,0.001,0.00001,0.001,0.002,0.002,0.0035,0.00527,0.00771,0.01306,0.01704,0.03074,0.03314,0.034199,0.035223,0.035712,0.03888900000000001,0.044444,0.059444,0.10034400000000002,0.253753,0.5159,0.784762,1.121509,1.559424,2.204346,3.7093640000000003,5.336055,8.05608303598201,0.5056201407492975,0.6141382009041392,0.00941433983676637,,
North Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000026,0.001173,0.002836,0.009051,0.014382,0.022600000000000002,0.0237,0.023751,0.022788,0.023227,0.023537,0.010577829975054742,0,0.000027505341708653274,,
Norway,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0053,0.0053,0.0053,0.006200000000000001,0.006200000000000001,0.006200000000000001,0.0070999999999999995,0.0070999999999999995,0.0074,0.0077,0.0081,0.0085,0.0089,0.009800000000000001,0.0116,0.0134,0.0238,0.039960999999999997,0.060876,0.10679999898147582,0.13501299726950647,0.26071264590721954,0.3007925841623711,0.00015777620873549082,,
Poland,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002,0.0011,0.0015,0.007,0.057,0.124,0.165,0.3,0.710673,1.99,1.7925119450577895,0,0.0023255142966486816,,
Portugal,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0.00101010101010101,0,0,0,0,0,0,0.001,0.001,0.0008,0.0011,0.0014,0.0016,0.0018000000000000002,0.0026000000000000003,0.0029,0.0038,0.005,0.024,0.041,0.16,0.215,0.28200000000000003,0.393,0.479139885,0.627316615,0.796154916,0.8220000000000001,0.992,1.0050000000000001,1.343,1.695,0.25865141657410007,0.23707378271724888,0.0019807772526731233,,
Romania,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00101010101010101,0.00202020202020202,0.001,0.008,0.42,1.2953,1.982,1.82,1.856,1.7710000000000001,1.778,1.703,-0.04479921567181144,1.1113328024886648,0.001990126053865681,,
Slovakia,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017,0.397,0.424,0.588,0.597,0.506,0.533,0.506,0.585,0.589,0.6559999982342124,0.11070908066597784,0,0.0007666016957262165,,
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.004,0.013000000000000001,0.066,0.163,0.215,0.257,0.274,0.267,0.28386700000000004,0.254961,0.303039,0.287871,-0.05264844718628714,0.5415011508130037,0.0003364060935128405,,
Spain,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0.0060606060606060615,0.006,0.007,0.008,0.009000000000000001,0.01,0.015,0.012,0.013000000000000001,0.015,0.017,0.018000000000000002,0.024,0.03,0.041,0.056,0.041,0.11900000000000001,0.508,2.578,6.066934673366836,7.064428643216081,8.679536283602364,11.965909453643496,13.110889131299995,13.673026814443604,13.858429692216527,13.6417006758,14.320671169999999,12.744,15.10828678,20.80536099732784,0.3733202215996896,0.09553079545984544,0.02431314796292601,,
Sweden,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.004,0.007,0.009000000000000001,0.013000000000000001,0.019,0.035,0.047,0.097,0.14300000000000002,0.23,0.391,0.663,1.0564285714285713,0.5890530234792526,0.5763097028857094,0.0012345425860529073,,
Switzerland,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0.001,0.002,0.003,0.004,0.005,0.006,0.007,0.007,0.008,0.01,0.011,0.013000000000000001,0.015,0.018000000000000002,0.018000000000000002,0.021,0.024,0.029,0.037,0.054,0.094,0.168,0.299,0.5,0.842,1.119,1.333,1.683,1.945,2.178,2.6233143884539603,0.2011693584951546,0.4473261587821016,0.0030656055854039587,,
Turkey,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0024000000000000002,0.0028615384615384614,0.004257787144362487,0.006784615384615385,0.0174,0.19412000000000001,1.0431,2.8893000000000004,7.7998,9.249799999999999,10.834644607318468,0.16813787900280142,0,0.012661367303229467,,
Ukraine,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030100000000000002,0.33330000000000004,0.5700000000000001,0.429,0.47650000000000003,0.4908,0.7217,1.1075,2.9328000000000003,6.185735954588071,1.103394379664266,0,0.007228651958637356,,
United Kingdom,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0.00101010101010101,0.00101010101010101,0.00101010101010101,0,0.00101010101010101,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.002,0.003,0.003,0.004,0.008,0.011,0.014,0.017,0.020000206391421436,0.04027709987908074,0.24366342967810065,1.353763586650086,2.0102620818731145,4.054062445353651,7.53286411700781,10.407928156291627,11.475454044697402,12.735510403692901,12.918070171284258,12.800964761521431,-0.011772712278414366,0.909925012002361,0.014959209328549784,,
Other Europe,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00013600000000000003,0.00027200000000000005,0.00037200000000000004,0.0004720000000000001,0.000572,0.000572,0.000972,0.001172,0.00311810101010101,0.0059232500000000006,0.015168000000000001,0.03255124657534247,0.052843,0.10399425,0.14263050000000002,0.188728980822,0.2244915,0.2478894512475914,0.3071800439362955,0.376008455535471,0.22072093363691603,0.5825239151971475,0.00043940353719021505,,
Total Europe,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0.00101010101010101,0.00101010101010101,0.00101010101010101,0,0.00101010101010101,0.009090909090909092,0.0125,0.0155,0.027088,0.032383,0.0376885,0.04684,0.05381141111111111,0.06392624444444445,0.0870885,0.09119805555555556,0.13447325000000002,0.1702025,0.2767550055555556,0.4686977444444444,0.751097872888889,1.4863832461111113,2.524087813888889,3.8157048194444445,7.501071132222221,14.192835061672778,23.26343601676783,46.713549312214546,71.86993816389548,86.93511680235311,98.83569400625112,109.78953766670287,113.83077044996195,124.26264493430347,138.54824445395957,152.75371272271914,178.85388570097226,0.16766532677270085,0.26821317877799,0.20900867749184934,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0008,0.0029,0.0046,0.0353,0.037200000000000004,0.039259999999999996,0.0442,0.047200000000000006,0.06495561654674487,0,0.00005515792703608934,,
Belarus,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004,0.002,0.009000000000000001,0.026000000000000002,0.089,0.11800000000000001,0.179,0.1817432949533686,0.012551556277735187,0,0.00021238524157492306,,
Kazakhstan,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000021000000000000002,0.0007874000000000001,0.001239,0.046171000000000004,0.08840310000000001,0.0926455,0.1412636,0.3912209,2.5720424762153997,5.556436626355583,0,0.003005689221118889,,
Russian Federation,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0012,0.004211506849315069,0.0108,0.16,0.3356,0.4683,0.544,0.62446,0.98505,1.8621400000000001,0.8852364710343128,0,0.0021760970815886314,,
Turkmenistan,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001595,0.00045675,0.0009814315068493152,0.00184875,0.0031174999999999996,0.00522,0.006979068493150684,0.006959999999999999,0.00696,0.00696,0.00696,-0.002732240437158473,0,0.000008133457037525037,,
USSR,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uzbekistan,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0003,0.0007,0.006827,0.0155,0.0155,-0.002732240437158473,0,0.000018113302310580182,,
Other CIS,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000007375,0.00008062500000000001,0.00016600000000000002,0.0011238205479452057,0.00420775,0.00812075,0.01044875,0.010767705479452055,0.01014375,0.01584375,0.07144375,0.06875145673531781,-0.04031337625597731,1.503918689221094,0.00008034296258965069,,
Total CIS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000007375,0.00024012500000000002,0.00182275,0.00633775890410959,0.0188439,0.17737725000000001,0.41103975000000004,0.6360498739726028,0.78064925,0.9526143499999999,1.69337465,4.754337227904085,1.799939892496984,2.4363635434779005,0.005555919193256287,,
