Thousand barrels daily,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2020_2,2009-19,2020_3,z,aa
Total S. & Cent. America,325.04520709530453,368.0965052961636,367.25603399903616,379.9600578592563,415.48064125876095,435.1294481270954,476.8387318922082,448.96297701972384,437.52212651872907,452.56227315662767,450.56579393776536,419.0741109595025,399.2881739846873,398.3506394386311,407.36218884087987,410.7845847042456,372.96726804929386,403.52006804566895,367.2675892681606,390.51004491974436,366.320297753461,-0.061943981930745795,-0.014638961256871141,0.03129372315912295,,
Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,124.16995509420966,188.24536768725474,203.3104294308348,222.8397403550266,234.45673401669399,272.3724480041587,287.70488701760604,286.5562124845552,291.1506993084972,292.29062432354414,267.9657376675844,281.12936377476143,305.87837709159834,305.32760983029215,324.0069691508704,337.8612164777221,349.0236604092673,351.4501199529743,335.28185986963933,299.38746086672563,288.1419185018784,-0.03756183486205933,0.0024018793175766273,0.024615161877284096,,
Romania,7.7650273224043715,7.214246575342465,8.326575342465754,7.595616438356164,7.701639344262295,7.055342465753426,6.96,6.451506849315069,5.60983606557377,3.55945205479452,3.7819178082191782,4.671780821917808,3.8666666666666667,2.796712328767123,2.8284931506849316,3.2098630136986297,3.6765027322404373,3.0509589041095886,2.8920547945205475,4.036164383561644,3.898360655737705,-0.034142248612366144,0.01264814112313628,0.000333026097334024,,
United Kingdom,231.24649508196723,223.96161397260272,227.61526219178086,217.46455534246576,205.5110617486339,188.18632767123287,171.15751424657535,156.17295342465752,163.89116775956285,141.5916816438356,124.5548783561644,85.86542657534247,61.785146994535516,54.977898082191786,62.40500794520548,60.29773835616439,81.53321767759562,91.95165949315069,89.58954940821918,98.82065032999233,81.9749636090164,-0.1704672724245696,-0.03532505984784573,0.007002892913365735,,
Other Europe,28.798633879781423,33.284383561643835,34.188767123287676,31.19178082191781,31.94915300546448,29.27172602739726,28.03769863013699,26.21076712328767,26.87912568306011,25.414273972602736,22.697397260273974,20.072958904109587,18.74571038251366,16.97958904109589,15.183287671232879,14.43667494005603,16.293809947057117,18.64056152008073,18.72790042373028,16.632173986042552,15.263344415608506,-0.08230009928844817,-0.04151100420873366,0.0013039050185143205,,
Total Europe,391.9801113783626,452.7056117968437,473.44103408836907,479.0916929577663,479.61858811505465,496.88584416854223,493.86009989431835,475.3914398818155,487.53082881669394,462.856031994777,418.9999310922419,391.73953007613136,390.27590113531414,380.08180928234685,404.4237579179937,415.8054927876411,450.52719076616046,465.0932998703153,446.4913644961093,418.87644956632215,389.27858718224104,-0.07066012523436171,-0.009934330578816986,0.033254985906498176,,
Azerbaijan,,,,,,,,19.97035616438356,21.31636612021858,12.420301369863015,13.458986301369862,13.278849315068495,10.423797814207651,11.392849315068492,12.154,10.823150684931509,11.126284153005464,11.34654794520548,12.33019178082192,13.17950684931507,14.177870749188653,0.07575123343294643,0.005950712630908628,0.001211176025275943,,
Kazakhstan,,,,,0.12353634257344806,0.2255817936521768,1.9838789448539242,1.7449128173385773,1.77956291344689,0.37587670932402256,0.12024987455191746,0.10017337375716255,1.7397281783345737,16.56834141108811,9.003962056086559,22.80627751219175,17.6902374094597,24.96471047784451,3.857228821917808,15.521289424657533,14.468660192358124,-0.0678184140183079,0.45073549866581253,0.0012360173578145656,,
Russian Federation,109.90737704918033,117.72739726027397,131.92178082191782,141.45602739726027,144.42669945355192,154.7101698630137,177.81033342465753,188.67050932944392,180.3643554856191,224.94484557092377,228.2759127258519,246.7658016172491,260.437454665892,278.4813489806488,448.0630223838798,470.21020774259455,479.21166213119096,475.51685729674153,479.1325414629515,492.7288658245954,474.9476072200463,-0.036087308533856,0.08156642229558608,0.04057345177589622,,
Turkmenistan,2.53551912568306,2.7013698630136984,2.8602739726027395,4.131506849315069,5.704918032786885,7.30958904109589,7.30958904109589,7.945205479452055,10.300546448087431,10.487671232876712,10.487671232876712,10.487671232876712,13.628415300546449,16.843835616438355,16.843835616438355,16.843835616438355,19.9672131147541,23.2,23.867397260273968,25.52,26.813114754098358,0.050670640834575176,0.09299999645236467,0.0022905697426388967,,
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,
Other CIS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,
