Terawatt-hours,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2020_2,2009-19,2020_3,oo,pp
Russian Federation,113.33705410224914,117.99506828570772,122.54533846123866,124.10807582475881,125.8288675219151,128.49379329835472,123.9734326850642,100.05208157557769,82.88559580699697,73.27043955868723,67.79186578291304,56.507878685407405,51.79229110882252,52.94331031238774,40.90207266028448,33.091,30.01998961931734,27.415037403017667,27.119130711739267,23.918919256457716,21.25445262513165,24.23687220373619,17.31984791730171,16.095041855316726,16.048168818936535,9.312085299990125,27.47237523169491,28.101205281689758,8.705777227469422,10.730216904726134,10.102107317272068,10.968449007054605,6.946062042882166,7.948117024089138,12.011549353519987,10.744117330590841,-0.10796172055700193,-0.028556929794274377,0.014173764386631269,,
Other CIS,30.910989850731887,35.84790129781011,36.80229141443481,36.09423751534997,36.69209091849063,36.463,37.6382,30.5073,23.218,23.482,25.072000000000003,22.208000000000002,20.997999999999998,21.067,21.168,19.881,12.617,11.792,12.999040722221014,11.433523499998948,9.10937713888829,10.436006055554818,6.268730055555021,3.6734955555553253,7.186766249999774,1.9204433333331004,1.6608849722220327,2.0684383055553934,0.6908743333331944,0.8758743333331943,2.3827743333331943,3.6967934760324397,2.038725994832041,0.862429,0.8189620286979385,0.836028956888361,0.018050526825131863,-0.19522769082440117,0.0011028991112744207,,
Total CIS,152.54687810154937,162.60661922201658,168.37816780731208,169.08744601636388,171.4975154338668,173.68779329835473,169.11061485187474,137.85973146731632,112.83857228779624,101.52079431295336,97.72414083575033,82.96179785618892,76.55708473034294,77.6447765385481,65.08242814463395,55.65894953198913,44.968383856163335,42.27735474329106,42.71221004272551,36.533396708125935,32.99802076428497,41.24705016256701,30.741933579788206,22.849423508447085,24.11916923275973,11.852532557342307,29.676253544658717,30.885633385259876,9.931661390807125,12.623376247574374,13.723859900012188,16.585204718611735,9.766772802882267,8.873546327899728,12.830511382217926,11.580146287479202,-0.09991845223490803,-0.06116739885064171,0.01527666349790569,,
Iran,19.191362648408727,19.27768349289534,23.6326643702148,18.619976327697618,18.274426909852306,19.886968789580976,22.11104338799418,20.731696878953336,23.773345838713272,26.76460502476001,29.339361164514603,31.739650608933445,32.053633463546646,23.029913050132876,27.342440015299594,33.48725729558768,33.47415444083547,31.626214065896278,31.706260890047904,35.688569933153836,37.40267014824913,49.11074013940838,45.70159543124554,67.39665546546682,65.06631853854131,49.48420920824795,83.59950406888413,81.19172285078557,103.36656692138968,63.55803708417528,56.27918224454351,39.70397996379101,28.87276637012411,85.93265570391425,82.46761591554656,82.0625747450578,-0.007630338874218823,0.02398293833420828,0.10825790184597729,,
Saudi Arabia,21.90145565263607,24.844583472195865,31.929883820919585,35.51444767499483,36.89579593344862,39.15190352460071,42.24003603515675,49.57638088160986,54.793015613263115,55.567935297107574,60.11966246286025,62.648478266426146,66.19376106639292,72.56708122655964,76.0977428674364,74.84496721056249,69.43834736803316,68.39923914356771,75.2246401819437,74.66568824228897,83.12307298667109,91.76326971623166,101.72492566294201,103.49155208083624,123.21808629513887,139.16346402034222,139.12152371594752,145.82866849095666,145.94693476826697,168.77721217845738,183.6571741896747,178.46748476881803,160.87081828379704,143.74010884557998,136.59532619868304,132.84087273405325,-0.030143100671191858,0.0103599855276022,0.1752452223958912,,
United Arab Emirates,0.0009970821325648413,0.0010687824207492793,0.00113600144092219,0.0012368299711815558,0.0012950864553314117,0.0014183213256484146,0.0014407276657060514,0.001550518731988472,0.0018059510086455327,0.0019717579250720456,0.001738731988472622,0.002005367435158501,0.00263050432276657,0.0027313328530259363,0.0028187175792507204,0.002764942363112392,0.002706685878962536,0.002901621037463977,0.0030405403458213256,0.002742536023054755,0.0029038616714697407,0.003040540345821326,0.003177219020172911,0.003295972622478386,0.0032242723342939482,0.0032377161383285303,0.00311,0.00335,0.00313,0.004070000000000001,0.00336,0.0034,0.00331,0.003217767,0.003217767,0.0030499999999999998,-0.05472749684278977,-0.0002019447347751946,0.000004023595428927437,,
Other Middle East,48.572755061177325,51.40429428108674,52.620212198815295,54.48223827696794,53.248779233155076,53.8686558,41.81001079999999,49.4191118,51.337453000000004,56.48596679999999,58.430124000000006,58.100266,63.376629799999996,75.2191428,82.4770698,86.7578284,91.51752499999999,101.70712320305176,98.47454139389649,98.9151782,93.8416288933428,91.66654038826137,100.00754407720913,103.32665384171511,102.92061654055831,103.17329125183252,107.85277838517673,122.35268983959959,122.67100451755056,129.44463923222926,125.06354275116277,119.78607571887385,130.17002273394,128.34986811071127,144.84065096490764,142.5619707417845,-0.01842158114182524,0.03475803847766756,0.1880694078083709,,
Total Middle East,89.66657044435469,95.52763002859871,108.18389639139062,108.61789910963154,108.42029716291134,112.90894643550733,106.16253095081666,119.72874007929519,129.90562040298502,138.82047887979266,147.89088635936332,152.49040024279475,161.62665483426235,170.8188684095455,185.92007140031527,195.09281784851333,194.4327334947476,201.73547803355325,205.4084830062339,209.27217891146586,214.37027588993448,232.54359078424721,247.43724239041688,274.21815736064065,291.2082456465728,291.82420219656103,330.57691617000836,349.37643118134184,371.9876362072072,361.78395849486196,365.00325918538095,337.9609404514829,319.91691738786113,358.0258504272055,363.90681084613726,357.4684682208955,-0.02037618480369452,0.022536105044609567,0.47157655564566825,,
Egypt,11.869,13.200000000000001,14.969000000000001,16.728,17.4125,15.5535,12.9535,12.2425,10.472,8.5305,9.01,10.5725,12.3335,16.063,15.0515,16.87194286536687,17.64775978221416,14.577297616237903,14.935810844525497,10.468054265234661,15.002601132104774,15.210614640894212,15.774240940911003,19.03325140914487,23.28123971545073,22.10796155332035,19.118090491566914,23.600674364935923,29.89246534931064,35.10107823849,39.77513754548963,36.59636351459002,27.63393430635394,23.772251930510812,27.41785604307332,25.77504444730547,-0.06248611167061535,0.016489130304107036,0.03400273803887863,,
South Africa,0.042,0.042,0.042,0.051000000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.153,0.14300000000000002,0.049,0.197,0.709,1.9040000000000001,3.621,3.709,3.988172043010753,4.232258064516129,0.03118279569892473,0.12688172043010754,1.29247311827957,1.4279569892473116,0.10180664284480323,0.38714718189206954,0.0018837774474231047,,
