Thousand barrels daily*,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2020_2,2009-19,2020_3,tt,uu
Finland,250.21798150273227,222.53132942465754,189.67871123287674,205.28225293150686,207.03775259562838,202.52289953424653,182.01793745205478,196.71075175342466,187.8695622677596,169.0156621369863,190.50445079452055,193.95937098630134,169.96125073770492,166.0073096438356,178.25381175342466,186.0818300273973,192.4916279508197,178.52889761643834,226.41046583561644,223.02292139726026,213.95711237704919,198.87609400000002,222.735063260274,221.01496328767126,220.01273379781424,200.45670306849317,208.33601126027395,217.77911972602735,222.24292178622952,219.69917808219176,211.08391780821918,225.16153424657531,215.4138797814208,226.84843835616437,225.34227397260275,196.96613698630136,225.78803278688528,225.8443287671233,232.67227397260274,239.78136986301368,219.17901639344262,-0.08592141033034018,0.008785196400878492,0.0029025790246550317,,
France,2226.2372318121907,1857.8638082191783,1563.5994520547947,1445.3153669801477,1460.9130601092895,1432.3020540002274,1394.8688767123288,1306.6478572479666,1388.1939013538467,1412.4608767123289,1436.5795890410957,1521.2461095890412,1459.8315846994535,1557.0727397260275,1536.9102191780826,1581.6332602739724,1670.4188797814206,1780.085479452055,1840.773863013699,1660.2751232876712,1706.2077049180327,1738.6559178082193,1617.4598904109591,1726.5865205479452,1735.748005464481,1710.9424931506849,1654.893095890411,1653.7684931506853,1675.6259836065576,1448.5485753424657,1313.8573150684933,1313.395424657534,1137.611994535519,1117.4534794520548,1095.804876712329,1151.5530410958904,1121.6301912568306,1149.3641606378426,1085.019955265411,978.0027397260274,661.972420614378,-0.32313848036885906,-0.03851901257598367,0.008766474522024075,,
Germany,2423,2112,1997,1816,1809,1771,1790.9999999999998,1747,1883,1805,1839,1854,2019,2063,2157,2070.0000000000005,2090.9999999999995,2038,2176,2136,2139,2138,2145.0000000000005,2190.9999999999995,2237.57262295082,2300.2945753424656,2244.767315068493,2192.89501369863,2151.4751639344263,2026.3132328767122,1915.3992876712327,1876.4599178082192,1901.0535245901642,1856.9400273972603,1832.9016438356164,1875.4959726027398,1886.9743169398907,1869.7323835616437,1775.2657534246578,1762.9262506849318,1700.9275013661204,-0.03516809015392652,-0.01382779838533632,0.0225253154666128,,
Greece,285.7498290369429,319.9896441420466,303.32142649611313,282.69700695717086,254.20680006996503,243.75763448950295,299.5861414295345,303.14069029403043,282.6856511538153,281.3715826060668,289.40446575342463,257.6344383561644,268.8267486338798,224.71972602739726,281.3113424657534,298.46153424657535,359.49043715846994,365.55613698630134,371.6410410958904,322.66057534246573,388.8905464480874,383.409205479452,370.5967671232877,384.47356164383564,373.34934426229506,373.5890136986302,378.8907123287671,384.9555342465753,359.6306284153005,345.61452054794523,393.10890410958905,331.15534246575345,410.09948087431695,399.4548767123288,415.60095890410963,435.68315068493155,464.35349726775956,482.59609203767127,488.5348511344178,462.42925632876705,445.45835238648493,-0.03669945988498735,0.029544996267585333,0.0058991873002724364,,
Hungary,195.99999999999997,188.99999999999997,174.00000000000003,168,180.00000000000003,180,188,187.00000000000003,173.00000000000003,166,163.48912328767122,153.7291780821918,149.3637704918033,154.97427397260276,141.43887671232878,150.73693150684932,135.92543715846995,141.01715068493152,144.00939726027397,140.21386301369864,136.20581967213116,137.40235616438358,121.19602739726028,128.1645479452055,127.59407103825139,141.21797260273974,138.86835616438358,142.32249315068492,139.53035519125686,126.99978082191781,128.30512328767125,132.46213698630137,121.94636612021858,119.62961643835618,130.91580821917807,129.85145205479452,132.80117486338796,130.87564383561644,141.31838356164383,136.69947945205482,134.50349726775957,-0.016064305387976652,0.0073871085684806825,0.0017812244818698093,,
Ireland,41,15,10,24.000000000000004,23.000000000000004,26,27.999999999999996,31.000000000000004,27.000000000000004,27,39,36,39,38,47,45,41.99999999999999,53.00000000000001,62.99999999999999,55.99999999999999,64.00000000000001,68,64,64.54416438356165,60.16207650273224,66.37164383561644,62.89742465753425,67.31550684931506,61.604043715847,54.86454794520548,60.105999999999995,59.24246575342466,61.44382513661203,57.013342465753425,55.26619178082192,67.6167397260274,64.10745901639343,64.18268493150686,60.88920547945206,50.807945205479456,56.79748633879781,0.1178859154625369,-0.007652036848920907,0.0007521668598247139,,
Italy,1836.5054644808743,1760.5053424657535,1616.3754520547946,1468.048383561644,1378.1601639344262,1318.9782739726027,1502.8106575342465,1407.259589041096,1403.8151639344262,1454.2719999999997,1555.5464931506851,1556.4100273972604,1617.3665027322404,1631.3969315068493,1591.4132876712329,1575.95,1603.387431693989,1687.8881369863016,1818.1211506849318,1735.523095890411,1752.3106010928964,1752.5929589041093,1736.6075342465754,1794.8258082191778,1836.9260382513662,1889.8346575342466,1847.3407397260278,1863.0249315068493,1741.2555191256831,1613.5639452054793,1672.5252602739724,1569.5839452054795,1474.791994535519,1258.852191780822,1197.8023287671233,1347.354410958904,1293.484644808743,1398.851426369863,1346.3269244434932,1354.8701109863016,1115.09769740696,-0.1769707750101559,-0.0173221926791276,0.014767194598248044,,
Lithuania,,,,,,,,,,,191.52386301369864,235.28295890410953,80.95043715846994,103.0015616438356,74.56517808219178,63.038,73.8607650273224,100.55153424657533,129.26906849315068,90.61084931506846,95.69054644808743,133.08468493150687,131.69901369863013,143.7483287671233,173.95732240437158,186.7161863013699,167.73851506849317,118.38853698630136,195.24035792349733,174.49014794520548,189.80081095890412,189.3369123287671,180.56834153005465,191.76886575342465,160.47277808219178,170.42149589041097,186.7267431693989,197.20310684931505,194.58037260273974,191.18246575342462,167.05304509546474,-0.1262114732272599,0.009177861520512698,0.002212276853311738,,
Netherlands,1011.9806010928962,818.2288219178083,794.8933150684932,876.9893150684933,958.9482513661202,856.8669589041097,1007.2223287671231,1039.5546575342466,1088.7453278688527,1089.3183287671234,994.4500547945206,1071.1037808219178,1106.7699180327868,1123.096575342466,1121.6305753424658,1197.7621643835616,1221.0658469945354,1219.4509315068492,1245.316794520548,1172.2778630136988,1173.5810655737705,1179.7082739726027,1074.3370136986302,1134.9852328767122,1170.917431693989,1178.42301369863,1142.3754794520548,1131.1896986301372,1120.4686065573771,1104.1389863013699,1155.7502191780823,1114.5415616438356,1109.9342349726776,1065.0389589041094,1089.6396438356164,1157.0756438356166,1172.3393715846996,1179.9492602739726,1192.2395616438357,1217.241890410959,1134.3074863387978,-0.0681330512246513,0.009799879439010395,0.015021589071492297,,
Norway,143.19535519125682,137.52284931506847,128.7268493150685,136.45849315068492,140.2513387978142,150.63652054794522,149.7127397260274,182.52704109589044,165.90633879781421,199.73747945205477,255.8872876712329,242.23139726027395,270.76939890710383,270.4870410958904,281.85356164383563,250.70608219178084,279.9018579234973,285.7093424657534,284.02243835616446,287.9585479452055,285.30923497267764,267.61528767123286,251.56961643835618,279.40353424657536,265.28191256830604,288.64134246575344,307.3780273972603,305.3898904109589,278.68019125683065,277.71663013698634,258.9598630136986,288.6582717534247,287.1517486338798,291.5456876810959,274.3566384657534,293.3863468747945,230.13396174863388,280.77106482769693,304.6282575984589,264.5422102739726,234.73439939994924,-0.112676955572243,-0.004848254494308812,0.0031085783451105654,,
