Billion cubic feet per day,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2020_2,2009-19,2020_3,ddd,eee
Ukraine,,,,,,,,,,,,,,,,3.926420035995851,3.6352349680278753,3.259807679138347,2.958685271496446,2.8202830482432883,2.5730504433648185,2.234250207049878,1.9176663796736222,1.758098523580232,1.6665308921437616,1.5546352465283946,1.5673726543199071,1.595016571991878,1.5348566381381168,1.5470809169348858,1.5233576450340651,1.5631510362519863,1.7104833552332674,1.7702770185612822,1.8686289108219678,1.903507922301347,1.9315276175209066,1.9324432938352714,1.958211325986721,1.9676968319383126,1.8797003381278643,1.8909631567945506,1.8711857993281993,1.9503905495968192,1.956250878008754,1.8221958655857613,1.8354806776876105,1.8771364444476433,1.9046067338785848,1.8771364444476433,1.8308234879084024,-0.024672131147540854,-0.004700546703695019,0.004923781664514622,,
United Kingdom,1.0594055269625293,1.7605373207494142,2.533382028880119,2.7581676342969215,3.3264095791891974,3.4638003543799827,3.658120161209382,3.8326512643516426,3.670167825059673,3.7060627122716796,3.5135863176056614,3.5153359604712033,3.5729478170622615,3.6841206965778195,3.59168845669587,4.018314474068921,4.22468194474861,4.422947748095182,4.247701538766794,4.171120921824111,4.60579787887735,5.1281303755486265,5.200637408241012,6.131161800651547,6.545697112529397,7.164071752264082,8.496820681416127,8.693296292289999,9.133175728016317,10.036785058223696,10.947452737077128,10.721499597567028,10.496335244708305,10.430510325234893,9.736922174421457,8.934031409975585,8.10286899916657,7.304120646548659,7.021497101939477,5.92180913976586,5.602059977294683,4.458599824533973,3.781600673895149,3.577944188903695,3.621592504465129,3.934071116002496,4.027240600843944,4.0524444223442755,3.939313358701416,3.825132110135768,3.8088735490495704,-0.004250457400704177,-0.04276360325068851,0.010243511658619975,,
Other Europe,1.4133472718340643,1.4772688964049,1.5460967547279316,1.671728635880593,1.7086616942516522,1.6985333063453192,1.74335201298957,1.886579044244518,2.0002150570301938,1.9349077762448907,1.8546148287464872,1.7781132960968185,1.830819076652829,1.80794927656537,1.8167841853063187,1.8424864811382955,1.6921892057874672,1.7151191274913655,1.6483688385820447,1.7005931876982574,1.5742338452039257,1.5884919791598597,1.5411505363070541,1.5987512334962841,1.4898071193342197,1.5428762539048142,1.4298065919487812,1.3029515593971632,1.1938074266134238,1.1248818728834344,1.076939897083106,1.049812070514658,1.0462831978097098,1.0038339414965356,1.0467758834009824,0.9865988429611098,1.045386898631276,0.9676225086304194,0.9113460102507775,0.8950881586815985,0.9045024921784544,0.894934174250922,0.8076915978073858,0.6924431783404785,0.6126319050715812,0.5879390969589765,0.8373690458622339,0.8692995033111395,0.8172308073534269,0.7161785669278407,0.6085496318176845,-0.15028226210656814,-0.022052477510021595,0.0016366217381852538,,
Total Europe,10.152325036042045,12.402051011998012,14.896101058524966,16.804222496135345,18.664976466057215,19.411689476821664,20.595832230359722,21.254739494897187,21.740020101072858,22.464397045335367,22.05280639858743,21.74771344290068,20.5346041759686,20.98454764163898,21.242643627376744,25.90387642638759,24.996544014156704,25.15027649094443,23.689148797012788,23.958065189364856,23.5298369515595,24.32221700647486,23.91768301739267,24.947836076988654,24.963245667247204,25.761900225988104,28.940595081318136,28.59304629080028,28.493375774453103,29.272446917771823,29.904091742088514,30.370015849695196,31.225694597331497,31.555869996965562,32.556039996361996,31.694222115865568,30.99676313740046,29.632310686258702,30.9184436185177,29.37107467520869,30.005310316087094,27.555882447233213,27.741444079330137,27.09313336347385,25.743983910994217,25.23718683123713,25.08055485836437,25.415070259124953,24.325695426355544,22.75671050465001,21.089356085158578,-0.07326869228971966,-0.025192269221088637,0.05671731081359102,,
Azerbaijan,,,,,,,,,,,,,,,,1.3271745905760977,1.2828411110046143,1.1790819034968885,1.1194190705658436,1.047024730305237,0.9338328675695354,0.8112083496058591,0.7431437527285852,0.6414205555023071,0.6036899345904069,0.622555245046357,0.5528425107323919,0.5279457131097667,0.49266758255713977,0.5279457131097667,0.49640121305680296,0.4879512549431523,0.45257879783824556,0.4511638995540493,0.4383607452804059,0.540689230322761,0.6379682036888682,1.0217546469494916,1.536755432462093,1.5396640148966927,1.5726783081946059,1.5433144524699192,1.6219441644204478,1.6879830857013733,1.77870545680773,1.8174040379623555,1.7635659996773874,1.7181916057341369,1.8428076984616502,2.352848873646367,2.4935959753345607,0.059819864873033035,0.043318257408187844,0.006706229313283771,,
Kazakhstan,,,,,,,,,,,,,,,,0.3742268248285131,0.3994679303154802,0.43287124110937425,0.4879838366340629,0.4602386353737763,0.48791468446070896,0.5408386980306651,0.5549225782278524,0.4585513223439408,0.3078248840080432,0.40576448869510956,0.44625827729192963,0.5565457989994572,0.5451392885579281,0.682188888757681,0.7894954645425691,0.7963157241374764,0.9677426125711096,1.1383807164582749,1.5118401395668233,1.8601894908229089,1.9466500716047903,2.217116389326014,2.4613910021101844,2.562549012466906,2.686699302618882,2.837357620043004,2.8636033781622263,3.011684036527792,3.0680947599338557,3.0857288097548894,3.09684742250623,3.333863980092054,3.3020318864934923,3.2936482788886243,3.0578880429449518,-0.07158027086705965,0.025416978199845897,0.00822382560494228,,
Russian Federation,,,,,,,,,,,,,,,,41.108320608404206,44.754524189488144,48.42919983367476,52.33418996371738,54.79092643317456,58.01182857166258,57.21105179690038,57.143469543292625,55.013364426164074,54.03463725701025,52.361903549729185,53.292496595809865,50.653579763569795,52.370801069448774,52.67331673991449,51.819543809445506,51.73907716935858,52.97583241038022,55.20910985999484,56.21178253986939,57.03310140250877,58.51409355983289,58.20757400549335,58.997970340582725,51.877700526589635,57.8954134236516,59.6796241554993,58.07187345918001,59.45404533804878,57.195739165462975,56.54598889042091,56.8580893775393,61.49210230749607,64.73835347966518,65.69928560937984,61.606693950167816,-0.062292787832501584,0.023901060799849105,0.1656838641663616,,
Turkmenistan,,,,,,,,,,,,,,,,7.617511259199973,7.755778382669044,8.067108329553044,8.063330539294324,8.23193006613869,7.666922068799408,7.367061883429142,4.853378007941578,5.697343522035075,3.128044604530209,2.8216657194779793,3.064704827058402,1.5114070834035513,1.1621910290127124,1.991928374245346,4.094631388636514,4.482071652754955,4.673907671966989,5.168397604984419,5.079980425457412,5.503645017199624,5.475707732848357,5.959953994936986,5.9436699676284155,3.2239626141362256,3.8824675729063456,5.4482740704699895,5.689076926365079,5.704663438492107,6.144188069387165,6.373107147978341,6.100005436295141,5.677193149061165,5.951896043370578,6.111195961158566,5.68907692636508,-0.06907306482665299,0.06604029624928387,0.015300094653063043,,
USSR,18.141227875272385,19.465997123988256,20.235388091170062,21.656380039540608,23.88342208338672,26.510781808200733,29.334275140238677,31.710420926732148,34.110768990422244,37.2637289579833,39.776155814260214,42.643730987720026,45.888063841718065,49.095737567422354,53.68684265922897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uzbekistan,,,,,,,,,,,,,,,,3.1673243713875117,3.5345105734477573,3.6443917311715217,3.6435661213798816,3.763429652038933,3.561072511974849,3.658853007204285,3.7110789360379917,3.931707151034993,4.123543170247028,4.193386381125195,4.268297995503156,4.388947371584066,4.786588052183767,4.8555000202502265,4.913743406050305,4.97935531420751,5.102279365353086,5.136735349386316,5.191424237350445,5.284802956448032,5.475707732848357,5.6992060076584945,5.887948061681898,5.652643867073048,5.528788573115765,5.480363946906901,5.454245893731513,5.408658250405315,5.4468392056853805,5.1870224612185964,5.125840047165606,5.166163354777366,5.530364452052785,5.543275488085327,4.542011083746304,-0.18062685256959232,-0.0019518733530700105,0.012215197719427072,,
