Exajoules (input-equivalent),1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2020_2,2009-19,2020_3,iii,jjj
Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000014915094339622638,0.000013387499999999993,0.0001140372670807453,0.00025499999999999986,0.00032852760736196303,0.0004851219512195119,0.0004636363636363633,0.00045162650602409605,0.0004626646706586823,0.00046661357142857096,0.00047095934911242567,0.00046575,0.00045953684210526315,0.0005163208521097911,0.000531210448979592,0.02602684386180898,0.07309444929584785,0.00008543447835847127,,
Czech Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00221,0.0030900000000000003,0.00405,0.0029200000000000003,0.004940000000000001,0.00587,0.006830000000000001,0.00517,0.005106623376623376,0.004876258064516128,0.004805769230769229,0.005660327579617833,0.006277957974683543,0.008779457547169809,0.011353737937499995,0.0138415203726708,0.017585744444444433,0.020145744662576674,0.0252387400609756,0.031169521636363617,0.03682570825301202,0.042703243652694574,0.04363855982142853,0.043152789940828364,0.044681102999999986,0.043181601578947355,0.044844676771814834,0.04522260897959185,0.005672315760987701,0.09813318031355567,0.0072731438464776485,,
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00033000000000000005,0.00033000000000000005,0.00036,0.00051,0.00061,0.0008,0.00126,0.0021000000000000007,0.0035499999999999998,0.005210000000000001,0.007279999999999999,0.005733997093736998,0.0064684045548524345,0.008321831899572807,0.009756674041627444,0.010781569760154167,0.01318908974607903,0.012996055596681481,0.015017438898594762,0.018548748012837415,0.02445402471329376,0.02836595385630999,0.030737985330381416,0.029541021978167305,0.02969217262608175,0.029845180385103656,0.03135798836882651,0.04312094325153372,0.040815782012195094,0.041226596969696945,0.03975698343373491,0.03941218413173649,0.03825571726190473,0.04448563017751475,0.05719300000000001,0.05404729970760234,0.054944940962265015,0.04687536907686418,-0.14919747879844547,0.05768891217518601,0.0075389569475440826,,
Estonia,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.00006,0.00005,0.00008,0.00012,0.00012,0.00013000000000000002,0.00010928571428571427,0.0002665161290322581,0.00025499999999999996,0.0003021019108280254,0.0003195569620253164,0.0003656603773584904,0.0003442499999999999,0.00036111801242236,0.002965555555555554,0.006964785276073615,0.007304817073170727,0.009281999999999992,0.0061476506024096345,0.006779640718562868,0.00709446428571428,0.008012130177514783,0.015155081999999993,0.011112631578947367,0.011553035641130685,0.011937585931194549,0.030462464238200537,0.1456685857093094,0.001919919739625102,,
Finland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05156,0.04998999999999999,0.0495,0.05958,0.06465,0.06608000000000001,0.058890000000000005,0.07891,0.09333000000000001,0.08363,0.08588526315789474,0.08158466165413533,0.0881716400679117,0.0911330769230769,0.1010671940998994,0.09179490339773481,0.1035072095332671,0.09493649999999997,0.0987492710035959,0.08257824561403504,0.10306577978689047,0.10432773427471109,0.10293898564593292,0.11007365250475577,0.10725815947053254,0.1030736842105262,0.10340722516350037,0.10650315789473684,0.11475235457063711,0.11768857457038744,0.09977345649838884,-0.1545411116651838,0.036064671538204696,0.016046546573651743,,
France,0,0.0039,0.00605,0.009260000000000001,0.01067,0.013702457999999999,0.013918224,0.015151953000000001,0.015500864000000001,0.015770592,0.014158849,0.013329,0.013745814000000002,0.014183880999999999,0.014840102000000004,0.014710235000000002,0.014921525,0.0152734,0.015587000000000002,0.016223,0.016521499999999998,0.016628,0.017506,0.0177325,0.0184145,0.019129999999999998,0.02102,0.02134,0.019739999999999997,0.02157,0.02329,0.02423,0.026750000000000006,0.02653,0.028530000000000003,0.029860000000000005,0.0331235064935065,0.0349136129032258,0.036455192307692307,0.0368564331210191,0.037494683544303783,0.036960566037735836,0.04031549999999998,0.04215577639751551,0.043236666666666645,0.046153435582822054,0.051124390243902404,0.05885493013347275,0.07198253286346643,0.0762285733328058,0.08054587624815021,0.08723626855887828,0.09300439326968575,0.09439544000144053,0.09577575026658436,0.09410320641992573,-0.020147651437178782,0.08278027545399103,0.015134601301215682,,
Germany,0,0,0,0,0,0.009200201613000001,0.010010282260000001,0.0101874874,0.010531048390000002,0.0107625,0.01124710181,0.012776852320000002,0.012465839210000001,0.01317465978,0.01443317792,0.0196625378,0.01804237651,0.01798813004,0.015402381550000002,0.01642944808,0.01644029738,0.015955695560000004,0.014458492940000001,0.01637881804,0.01749267893,0.01435,0.014710000000000003,0.015580000000000002,0.01635,0.01875,0.020100000000000003,0.020980000000000002,0.02273,0.032560000000000006,0.03585,0.047310000000000005,0.051801428571428575,0.0596996129032258,0.08670980769230768,0.10204417834394902,0.13899953164556958,0.1799472452830188,0.2329750124999999,0.2642775652173912,0.2918786666666665,0.3186877361963188,0.3443414268292681,0.4008451636363634,0.4202246385542165,0.4432877245508977,0.459537321428571,0.4626530854972185,0.459724096251,0.4570183566150467,0.4494329538394154,0.45132540237409785,0.0014670019507174725,0.044110001654031006,0.07258658107314367,,
Greece,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00001,0.00001,0.00001,0.00001,0,0,0,0.00001,0,0.0007848701298701297,0.001243741935483871,0.0010298076923076925,0.0011986624203821654,0.0011813924050632907,0.0010969811320754713,0.0017594999999999991,0.0018150931677018624,0.002058888888888888,0.001783435582822085,0.0019311585365853646,0.0018916363636363625,0.0019908433734939744,0.0020155688622754474,0.002103749999999998,0.0024805917159763293,0.0027902520000000004,0.0028101,0.003583821188037689,0.0033122529068558165,-0.07830138218076987,0.05699112866745648,0.0005327090230098774,,
Hungary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00017,0.00024,0.00046,0.00039000000000000005,0.00045,0.0005600000000000001,0.0005,0.00053,0.0006,0.00065,0.00065,0.0006954545454545455,0.0004145806451612903,0.0015790384615384614,0.007065286624203819,0.016055316455696196,0.012163018867924523,0.014946187499999996,0.018417018633540363,0.022052777777777765,0.021560797546012256,0.017343109756097548,0.015346363636363625,0.016885301204819264,0.019477724550898187,0.019680535714285696,0.018749289940828383,0.019394999999999996,0.020659473684210526,0.019986038508807865,0.018802416326530614,-0.06179288126241844,-0.009792202589882226,0.0030239891437031205,,
Iceland,0,0,0,0,0.000019039999999999997,0.00012091000000000003,0.00012033000000000001,0.00021664000000000007,0.00024200000000000003,0.00005751,0.00018347000000000006,0.00019012000000000003,0.00016126,0.00018284999999999997,0.00045630000000000003,0.00044672000000000006,0.00123133,0.0015896800000000006,0.00171714,0.00173233,0.0017123299999999998,0.0021233899999999997,0.0023413600000000002,0.0024560800000000007,0.0025750799999999996,0.0028291000000000006,0.0026702499999999994,0.0022976900000000002,0.0025427200000000005,0.00258365,0.0028817700000000005,0.003431342880000001,0.0037307241000000004,0.0065265806700000005,0.011356729999999999,0.013226630000000003,0.014414418116883114,0.01411962982846491,0.013776652318772014,0.014446150610109515,0.016065288792341762,0.025332547009539613,0.034239991263572356,0.03837294183457011,0.04300137542777775,0.041913763991226975,0.04386120978841461,0.048306318349090875,0.048342395453313224,0.047992204445928104,0.04556287369821425,0.04587537137272186,0.046526388003,0.05377219894736841,0.05364796776770176,0.05293984481481838,-0.015895613069927372,0.0223676354819764,0.008514305459955643,,
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00027004860000000004,0.0008101457999999999,0.0008501530000000002,0.0009101638000000001,0.0009501710000000002,0.0009638747649350647,0.0007996923058064513,0.0008436133615384613,0.0010624205006369422,0.0012616248997139236,0.0012360842853181128,0.0016259868093453473,0.001985403133699723,0.002373903381492351,0.0029572761057177527,0.0031355370492421836,0.004073755297926358,0.004432867061600389,0.004912942748290024,0.004337200882938372,0.006165266272189344,0.0065684969999999995,0.00759041947368421,0.007595844588283489,0.008286034008195985,0.08788357568048744,0.12334020583520178,0.0013326413185407303,,
Italy,0.026760000000000006,0.03351,0.03475,0.03617,0.03812,0.04228,0.04209,0.03806999999999999,0.03845,0.04245,0.03986000000000001,0.03812,0.03730000000000001,0.038110000000000005,0.03825,0.0396,0.03469,0.035210000000000005,0.03393,0.03472,0.03212,0.03501,0.036930000000000004,0.037869999999999994,0.03197,0.03271,0.03291999999999999,0.03556,0.03783,0.03564,0.03654,0.04139,0.0447,0.05009000000000001,0.0553,0.060989999999999996,0.06296844155844156,0.07276877419354838,0.08546423076923076,0.09410961783439489,0.09681607594936706,0.10233679245283016,0.10353318749999996,0.10915267080745336,0.12182105555555547,0.1390704294478527,0.15380884756097551,0.16763792727272714,0.20967728313252998,0.2258234191616765,0.23296708928571408,0.23354861538461513,0.2302146,0.22599263157894733,0.22854240065546905,0.22785592334734828,-0.005727753239583189,0.06493829058779022,0.036646026051374576,,
Latvia,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000029805194805194806,0.00009870967741935484,0.00023538461538461536,0.00037031847133757944,0.00040670886075949356,0.00041377358490566024,0.0004016249999999999,0.0004276397515527948,0.0004533333333333331,0.0006195092024539875,0.0011195121951219505,0.002670545454545453,0.004626867469879514,0.0061291616766467015,0.007003392857142851,0.007450828402366857,0.00837576,0.008443765789473683,0.008267373699303566,0.007896300427954616,-0.047493663279698506,0.33688789681002396,0.0012699605388409698,,
Lithuania,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000019870129870129866,0.00003948387096774193,0.00006865384615384615,0.00005847133757961783,0.00006778481012658226,0.00024056603773584898,0.0005163749999999998,0.0006557142857142855,0.000963333333333333,0.0013798159509202444,0.0014646951219512187,0.002021454545454544,0.003290421686746985,0.003662838323353291,0.004066339285714282,0.003913721893491121,0.004532400000000001,0.004205263157894737,0.004753147070872592,0.005431082743813651,0.13950686548588642,0.1730606491551534,0.0008734800341949601,,
