Exajoules,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2020_2,2009-19,2020_3,ss,tt
Poland,4.312166739437582,5.031742182640544,5.124589636463174,5.133878076185932,5.170694224481004,5.257753429134931,5.315066304510778,5.314288442312714,4.905202603569925,4.1850064625639165,4.0082529446155135,3.9008372635165554,3.7727606293188094,3.7699523105636272,3.8606718958348623,3.826936602566225,3.8939585507522594,3.3640342046182456,3.2548062966440963,3.0100982842698,3.0168564396782465,3.0049445009225857,2.990593152696081,2.9023061105481283,2.9043951184031984,2.849015297734794,2.6163220087521557,2.5501989523547874,2.3625112238080654,2.3190593620097193,2.3328600592502955,2.4207955835274664,2.39315467178132,2.262249219794959,2.217874272364525,2.1803871074005317,2.084189991250503,1.9791429043626714,1.867756145052953,1.6839315333052598,-0.10088336107230633,-0.023224789051105366,0.010550509897678362,,
Romania,0.38867069232,0.40120848360000005,0.46536282000000007,0.4583490926400001,0.47190511368,0.49052716272,0.52746478704,0.5807099973600001,0.586630844316,0.345990043558851,0.29434912273015157,0.3076138645688669,0.31925731322453704,0.32574602075472,0.33023711563282465,0.33764017442498634,0.27645034266164936,0.21564121819654822,0.1945433040554518,0.23460532919010685,0.23867284661334004,0.25534949883656016,0.2738242981080001,0.2637356592240004,0.24260919202799988,0.2712923308080002,0.2871455234039998,0.291536806716,0.2748752686439997,0.24716786360399992,0.27892867719599956,0.26569985457599976,0.19496403604800033,0.1862751281399997,0.19728025754399992,0.17732927631599985,0.1870755224641205,0.16821808776000002,0.16445386148400004,0.11394198832519793,-0.30904224204999364,-0.050071668029415095,0.0007138924901694506,,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,0.30112324715073463,0.31343745019367214,0.3105239253151296,0.3034583773685368,0.32721234053577386,0.30653642110383006,0.3233165601557434,0.23962865412929155,0.30317966885235154,0.303961389135374,0.30398741207280006,0.27819442373709136,0.28831503062159997,0.2941633630410713,0.017496858810877702,-0.007393255819520217,0.001843052055214745,,
Spain,0.5048025310145521,0.54214893485046,0.5507312745889441,0.5453718987818881,0.5407671583382401,0.55408122315954,0.481230931755384,0.45585881230276803,0.48767816652786006,0.476583443665056,0.436934535420384,0.44388442295640007,0.43672487060844,0.41315369563958393,0.40754318371988396,0.40247701098220806,0.40327236402231603,0.38677624177096803,0.35947880039952,0.349220907697176,0.329208385826412,0.321713688637656,0.299105064096696,0.28981028783574003,0.27741714831860403,0.26138167614144003,0.24555570243465602,0.183130611359076,0.15952434744743998,0.137986138281456,0.11087478620619268,0.10300601256035041,0.07379222935987007,0.06815669549219285,0.05216244853739614,0.02871436492814032,0.04721944215600002,0.03221577657197264,0.0661577426183072,0.07585546679566048,0.14345212560152287,-0.08425328349090255,0.0004752650790081433,,
Turkey,0.29027084882319365,0.3126317317498512,0.32906113694964,0.36887973827077797,0.44529169917402,0.47564267729153764,0.5111709544435392,0.4640302271504088,0.5346414524137968,0.49080983378093657,0.460714599722088,0.50732705401668,0.4835532913472053,0.5068900810584936,0.5058871780009896,0.5147924666312574,0.5492438165255952,0.5838444147599411,0.5561998752240025,0.5228551980459666,0.514199760265481,0.47563293830012304,0.45120963966332417,0.44096273058594937,0.469507689156132,0.5509829582177976,0.6195207058665697,0.6981071866855129,0.7285869006759684,0.7336946788719769,0.7481392201243672,0.7124677699378572,0.6469148008668724,0.6849186120000009,0.535671375588,0.6472708314981481,0.6316382283397379,0.6928028124014289,0.7263825631996537,0.5968389210773603,-0.18058576320874098,-0.0003029624036522405,0.0037394364435866076,,
Ukraine,,,,,3.9023479750932646,3.996877992963489,3.95247787590056,3.929927431587849,3.6941727865004186,3.6344862919999996,3.0908614330000006,2.934138735,2.499529204,2.056889839000001,1.7909666439999998,1.3549106740000005,1.4058058310000001,1.438987915,1.519241338,1.52170609,1.51027929,1.503873206,1.4593010430000002,1.4500555130000006,1.4518562190000002,1.477944988,1.4569026360893211,1.4549157977906386,1.3502156728777193,1.3458443101844597,1.5206426673484916,1.6367208293806226,1.6001147121939474,1.0912869348388345,0.717804903077859,0.7624095647048341,0.57032815986462,0.5859388256572934,0.5840495051893793,0.5390402897218612,-0.07958572472256753,-0.08038795380787933,0.0033773047178438658,,
United Kingdom,3.266038943999998,3.184856892000002,3.0436361280000024,1.2861430919999997,2.368556496,2.7462058560000004,2.6455970520000007,2.650370004,2.5490075760000006,2.3631555239999984,2.40971274,2.156788151999998,1.7412063839999996,1.2436470720000004,1.3712188680000001,1.3035767574175052,1.268743629783897,1.0784000046809434,0.9721441572571142,0.8185812750450827,0.836052230112719,0.7874357731202019,0.7383767291370574,0.6528766526595273,0.5323027262805514,0.4780458707683344,0.4478445906157613,0.4733261647300899,0.46216702528853076,0.4783492086243664,0.4828220386124229,0.4430822532491832,0.33382602386730476,0.3051794719441785,0.2254212482113086,0.12017069745024951,0.08662386824811032,0.07378849863299458,0.06314372737547665,0.048771187017163334,-0.2297266184714254,-0.18049213517739193,0.0003055711477390723,,
Other Europe,1.43334639447156,1.5112201688703775,1.5284433657620198,1.5628175727231024,1.8459190193217827,1.8702531129333213,1.743542796072756,1.5892034701297468,1.627846960622331,1.5822727444661608,1.4047151369767352,1.339242454212092,1.1797294939648264,1.0618172268432051,1.068766868828828,1.0480513662695246,1.097201668887642,0.9884246503217466,0.9293958777592567,0.9112826678159359,0.9220682270053268,0.9541588671526848,1.0280382335769034,0.9222535708038928,0.9155322112169791,0.9985292019554995,0.634851781968204,0.6399897633877281,0.6474429080780723,0.6601205159156975,0.6593607121402467,0.5873592329846035,0.6861208393566566,0.658133910037003,0.5987868585880842,0.5631227618356212,0.5685344936231472,0.8193046192276363,0.5061455451008103,0.463923489464021,-0.08592312344819442,-0.02432001937161754,0.0029066676824730186,,
Total Europe,18.85812018401789,19.720028677623652,19.465280178016194,17.885137418490054,23.493053549995018,23.943835652570534,23.57506475738838,23.269624299414062,22.355588474418298,20.5494910712211,18.65277303320684,17.691728924717637,16.07236341861738,14.611629382127663,14.4715805058211,13.728017840740698,13.733609195893836,12.576931129037684,12.061432640116141,11.621856206295831,11.533810550339233,11.43330763544047,11.346096549826813,10.992961215536184,10.754581110348001,10.71582189868676,10.51238201425181,10.270832154336633,9.712563444921006,9.59982250428856,9.940375446484532,9.96411348927668,9.435338553414647,8.603665224723624,7.895807475827064,7.559188711737054,7.253380063709002,7.279915742107036,6.479259146846465,5.532327748319513,-0.14848102635017535,-0.03967298061411739,0.03466226358459947,,
Kazakhstan,,,,,2.39781301704,2.51881823592,2.6019345895200003,2.61005865624,2.5187185900799998,2.3895290480544,2.367022159404,2.29497264864,2.0227823580888,1.8887516694648,1.5038411254776003,1.3866412639967998,1.3170222325008003,1.2691371310128003,1.0597905996048,1.3580349948648,1.433660050864246,1.3335561337203692,1.5302315993731201,1.5686418292725601,1.55981019502728,1.7344467686044802,1.7668985055170399,2.0072706334315487,1.8178447547589838,1.9886425886427403,2.08298447084448,2.16175927864176,2.1510217066917603,2.0471912396409606,1.9336154839626531,1.8543134458396804,2.02126289384376,2.1318433642346397,2.07199478319624,2.0424932079148803,-0.01693158597751332,0.013172017473249475,0.012797043335692645,,
