Terawatt-hours,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2020_2,2009-19,2020_3,iii,jjj
Trinidad & Tobago,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Venezuela,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Central America,0,0,0,0,0.051000000000000004,0.045,0.042,0.073,0.046,0.026000000000000002,0.025,0.018000000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Other Caribbean,0,0.012,0.038,0.018000000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Other South America,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Total S. & Cent. America,0,0.012,0.038,0.018000000000000002,0.051000000000000004,0.045,0.042,0.073,0.046,1.062,2.542,2.59,1.637,2.896,2.692,2.34,2.816,1.87,3.4050000000000002,6.284,9.147,5.855,7.438,6.406,6.869,9.518,9.198,8.84,8.192,8.29,9.585,9.886000000000001,11.13,10.718,11.083,12.223,21.338,19.657,20.924,19.48,16.728,21.4751,19.60376,21.36258,21.14,21.733155800000002,22.059376,22.4404,21.65669,20.89246248,21.773152640000003,24.149343667077318,21.827196437942998,22.545887022022395,24.57182430221726,25.958217771939566,0.053535682221630854,0.015157065899828792,0.009613789763034888,,
Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Belgium,0,0.006,0.094,0.061,0.022,0.057,0,0.011,0.076,0.148,6.784,10.036,11.939,12.513,11.407,12.549,12.859,15.664,24.106,27.743000000000002,34.601,39.394,41.967,43.102000000000004,41.217,42.722,42.861000000000004,43.456,41.927,40.624,41.356,43.336,47.408,46.165,49.017,48.157000000000004,46.349000000000004,47.36,47.379,47.312,47.595,46.645,48.227000000000004,45.568,47.222,47.944,48.234,40.295,42.644,33.703,26.103,43.523,42.22680000000015,28.597,43.52360000000015,34.35574848959824,-0.2127976471540498,-0.00812248945857541,0.012723868257540322,,
Bulgaria,0,0,0,0,0,0,0,0,0,0.928,2.5540000000000003,4.989,5.884,5.91,6.18,6.165,9.119,10.746,12.318,12.735,13.131,12.07,12.436,16.03,14.566,14.665000000000001,13.184000000000001,11.552,13.973,15.335,17.261,18.082,17.751,16.899,15.814,18.178,19.553,20.222,17.28,16.815,18.653,19.493000000000002,14.643,15.765,15.256,15.249,16.314,15.785,14.171222,15.866651000000001,15.379100000000001,15.775843000000002,15.545499,16.125281,16.5553,16.634135639940187,0.002016706547605107,0.008206835345589525,0.0061605571051591475,,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Czech Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,1.239,2.3970000000000002,6.149,10.701,11.816,12.418000000000001,12.585,12.132,12.25,12.627,12.977,12.23,12.85,12.494,13.178,13.357000000000001,13.59,14.7493,18.738200000000003,25.871900000000004,26.3247,24.7276,26.0465,26.1721,26.551000000000002,27.2078,27.988200000000003,28.2826,30.3242,30.7453,30.324900000000003,26.8408,24.104200000000002,28.3396,29.9213,30.2462,30.0433,-0.009422192510982752,0.010642923225465228,0.011126725745401782,,
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Estonia,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Finland,0,0,0,0,0,0,0,0,0,0,0,0,2.642105263157895,3.241052631578947,6.6947368421052635,6.973684210526315,14.563157894736841,16.658947368421053,17.596842105263157,18.73578947368421,18.926315789473684,18.945263157894736,19.509473684210523,19.417894736842104,18.957894736842107,19.082105263157892,19.37578947368421,19.126315789473686,19.789473684210527,19.29263157894737,19.082105263157892,19.662105263157894,21.106315789473687,22.08,23.221052631578946,22.710526315789473,23.004105263157896,22.520842105263156,22.97884210526316,22.962,23.532947368421052,23.161684210526314,23.685473684210525,23.21021052631579,23.79031578947368,23.041052631578946,23.43736842105263,23.223999999999997,23.866842105263157,23.837894736842106,23.501052631578947,23.45263157894737,22.709473684210526,23.032631578947367,24.121052631578944,23.53473684210526,-0.026973049604799848,0.001381594932049257,0.008716238307120337,,
France,0.897,1.395,2.076,3.085,3.6,5.711,9.329,14.591000000000001,14.751,14.71,18.248,15.778,17.941,30.452,39.96,61.251000000000005,105.32600000000001,108.919,144.261,191.234,224.1,254.155,265.52,275.521,303.931,314.081,331.34000000000003,338.445,368.188,359.981,377.231,397.34000000000003,395.483,387.99,394.244,415.16200000000003,421.076,436.76,441.07,448.241,451.529,450.19100000000003,439.73,439.447,409.736,428.521,442.38800000000003,425.406,423.685,436.479,437.427808,403.195482,398.359129,412.94181199999997,399.011587,353.832867,-0.11564946475404769,-0.00264874519737357,0.13104423518116268,,
Germany,0.117,0.265,1.225,1.766,4.937,6.494,6.216,9.522,12.106,14.459,24.138,29.533,41.255,43.873,52.064,55.589,65.533,74.426,78.063,104.31700000000001,138.641,130.489,141.725,156.82,161.671,152.5,147.4,158.8,153.5,151.2,154.1,161.613,170.328,161.6,170.004,169.606,171.305,164.842,165.06,167.065,163.039,167.356,140.534,148.777,134.932,140.556,107.971227,99.46,97.29,97.129,91.786311,84.634,76.3244,76.00500000000001,75.071236,64.372,-0.1448639500410085,-0.056947521369133725,0.02384057642412796,,
