Million tonnes of carbon dioxide,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2020_2,2009-19,2020_3,yy,zz
Venezuela,8.447481899999989,6.005785499999991,5.572581299999992,4.509261899999994,4.588026299999994,4.410806399999994,3.9382199999999945,3.524706899999995,3.4262513999999946,3.4459424999999952,3.1899581999999955,5.454434699999993,7.30539809999999,8.132424299999988,7.482617999999989,6.793429499999991,7.12817819999999,6.87219389999999,6.53744519999999,6.104240999999991,7.029722699999989,7.58107349999999,12.799214999999982,8.664083999999988,7.28570699999999,5.434743599999992,6.53744519999999,8.545937399999987,8.664083999999988,10.731649499999985,13.941298799999982,10.239371999999985,14.177591999999981,18.11581199999997,17.328167999999977,13.193036999999983,18.312722999999977,22.25094299999997,19.714185981026407,21.13563040024715,19.98444839832517,20.526674457492607,16.07518675591988,18.71056791533352,21.155834639074236,18.895132875750402,-0.10929976759988647,0.020158732350843644,0.0628805572536034,,
Other S. & Cent. America,0.5316596999999993,0.5119685999999992,0.6104240999999991,0.6104240999999991,0.6891884999999989,0.6891884999999989,0.6498062999999992,0.6301151999999991,0.6498062999999992,0.7876439999999989,1.9100366999999971,1.8509633999999973,1.2602303999999982,1.6737434999999976,1.4374502999999978,1.5162146999999977,1.260230399999998,1.220848199999998,1.201157099999998,1.2799214999999982,1.8509633999999973,1.929727799999997,1.8706544999999974,1.9691099999999973,1.9691099999999973,1.9494188999999973,1.9494188999999973,1.9691099999999973,2.0281832999999967,1.9297277999999973,1.8706544999999974,1.8115811999999976,1.8903455999999974,2.106947699999997,1.5949790999999975,1.1223926999999982,1.1814659999999984,1.1223926999999985,2.0710398142349575,2.58082510284321,2.692668385614717,2.8610729908787924,2.5560103210804983,2.2553823569086053,2.2522464023245705,3.0550111463352767,0.3527223833949924,0.03510901393850219,0.01016668178841282,,
Total S. & Cent. America,21.286079099999967,20.340906299999972,20.26214189999997,18.942838199999972,24.613874999999965,21.99495869999997,20.02584869999997,20.81349269999997,18.549016199999972,20.69534609999997,25.303063499999965,23.90499539999997,23.727775499999964,25.73626769999996,24.082215299999966,22.19186969999997,21.581445599999967,20.734728299999972,21.87681209999997,22.70383829999997,22.802293799999966,23.314262399999965,29.064063599999958,24.160979699999967,22.526618399999965,16.678361699999975,18.371796299999975,19.49418899999997,18.923147099999973,20.242450799999972,25.539356699999967,21.286079099999974,25.086461399999962,29.477576699999954,31.013482499999956,24.456346199999967,28.23703739999996,31.60421549999996,29.331566839866948,31.836540583992285,30.063780880850565,30.1887213065903,24.351534040297466,26.748961340862813,30.295631089209184,28.184537067207067,-0.07222496694116065,-0.002339111569504615,0.09379449238990535,,
Denmark,,,,,,,,0.19691099999999973,0.23629319999999965,0.17721989999999974,0.17721989999999974,0.6104240999999991,0.6301151999999991,0.728570699999999,0.7088795999999989,0.1378376999999998,0.19691099999999973,0.4725863999999993,0.41351309999999936,0.41351309999999936,0.31505759999999955,0.35443979999999947,0.4922774999999993,0.37413089999999943,0.8073350999999988,0.5119685999999992,0.5710418999999991,0.45289529999999933,0.4725863999999993,0.5513507999999993,0.39382199999999945,0.37413089999999943,0.35443979999999947,0.2756753999999996,0.17721989999999974,0.17721989999999974,0.15752879999999977,0.1378376999999998,0.20644669720077946,0.24260453086065864,0.20845135125788092,0.2708660020020665,0.22060272716587814,0.2135813139618042,0.13775202643113676,0.11540948707633558,-0.16448299461895532,-0.024878906806433565,0.000384067839450127,,
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.058821094422089916,0.07870447604447989,0.05717504842334991,0.054761670320603036,0.030135851716782194,0.054370876685543384,0.04184761928935038,0.03276915713514674,-0.21908045251102282,,0.00010905151474395698,,
Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09568691576741159,0.10912856118885889,0.08693297939231465,0.10751756195768561,0.07320283183899252,0.06130285947772122,0.078198558285875,0.05929774965492842,-0.2437746265180134,,0.00019733523795283117,,
Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.057613742318902685,0.04085918352837401,0.08334534462688119,0.0519817055290262,0.035631595445067714,0.03794243944188936,0.03995844385206826,0.03674205693785762,-0.08300561103429849,,0.00012227281120955646,,
Norway,5.572581299999992,5.4741257999999915,0.5513507999999993,0.29536649999999953,0.5907329999999991,0.9648638999999986,0.4725863999999993,0.5710418999999991,0.6891884999999989,0.5513507999999993,0.5907329999999991,0.31505759999999955,0.6498062999999992,0.35443979999999947,2.815827299999996,0.9648638999999986,0.7088795999999989,0.5907329999999991,0.669497399999999,0.728570699999999,0.8073350999999988,0.8467172999999988,0.8073350999999988,0.9057905999999987,1.2996125999999983,1.358685899999998,1.0830104999999985,1.1617748999999982,1.2208481999999983,1.1814659999999981,1.1814659999999981,1.1814659999999981,1.1814659999999981,0.9845549999999986,0.9845549999999986,1.1814659999999981,1.2799214999999982,1.338994799999998,0.8933949594831454,0.7325793835987373,0.7561353021996298,0.8018869136670911,0.4693164707349836,0.4012726770527481,0.30657726277460357,0.2988577346920433,-0.02784315833793327,-0.11012297129800297,0.0009945598700236147,,
Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.057270940923669675,0.06666534905980812,0.0731094789725984,0.1943651609948683,0.09297261032688074,0.11560195176223519,0.0981022018657578,0.11671086689644093,0.18643600788614756,,0.0003883986630979374,,
Romania,0.19691099999999973,0.19691099999999973,0.1378376999999998,0.1378376999999998,0.11814659999999982,0.1378376999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07268191316884029,0.12004782252320897,0.09980094446865596,0.06449049652610028,0.037191390024649953,0.03776144907021273,0.03240755093116565,0.03145570246623861,-0.032023185256695785,,0.00010468050756176959,,
