Exajoules,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2020_2,2009-19,2020_3,ddd,eee
Netherlands,1.0050000000000001,1.3890000000000005,1.852,2.252,2.6700000000000004,2.892,3.09,3.1000000000000005,2.838,2.976000000000001,2.878,2.672000000000001,2.2850000000000006,2.4330000000000003,2.4630000000000005,2.579,2.358,2.3620000000000005,2.0850000000000004,2.279,2.2830000000000004,2.5812000000000004,2.5921999999999996,2.642400000000001,2.5066,2.5482000000000005,2.8839000000000006,2.5542000000000002,2.4364,2.2656000000000005,2.2090000000000005,2.3273,2.2867,2.185800000000001,2.5782,2.352,2.3221000000000007,2.232100000000001,2.5526999999999997,2.358,2.7096,2.5019000000000005,2.4625000000000004,2.6066000000000003,2.173900000000001,1.6514000000000006,1.5943000000000003,1.3655000000000004,1.1637,1.0024000000000002,0.719,-0.2846812458841951,-0.08198510935916015,0.005182659482926819,,
Norway,0,0,0,0,0,0,0,0.09485957700000001,0.50739261885,0.73852927425,0.8964055664100001,0.8915035890600002,0.8560921220100001,0.84367719756,0.9276435193500001,0.93561341742,0.9321850881900001,1.0058311567800002,1.0122155361,1.02679912863,0.9103807842300001,0.89421513876,0.9230366360700001,0.88624148904,0.9590506538400002,0.993779928,1.3362285033900003,1.5344149527900004,1.57907177172,1.7318613981600004,1.77920918631,1.9307237519700002,2.3436698326200003,2.6068586562000005,2.8290610608300004,3.06715602654,3.1681182160800003,3.2267664742500006,3.5758374979500003,3.72471211683,3.8230338236400003,3.618248043240001,4.09905086058,3.885494365620001,3.869681017950001,4.18071159693,4.172073512130002,4.454252008920001,4.36632719616,4.1133523290300005,4.01235330186,-0.027219098232684313,0.009974293259017442,0.02892164240436365,,
Poland,0.1842957,0.19004490000000002,0.2010267,0.2039319,0.1974069,0.20317590000000002,0.22115700000000005,0.2327796,0.24960690000000002,0.22394879999999998,0.1902069,0.16905240000000002,0.15580080000000002,0.1523205,0.1673082,0.17302320000000002,0.1570833,0.15781320000000001,0.15661800000000003,0.1450215,0.0995589,0.11129400000000002,0.10717380000000003,0.13694760000000003,0.12976290000000001,0.13268880000000002,0.13147289999999998,0.13415040000000003,0.1360125,0.1298826,0.1387242,0.1462041,0.1494333,0.1511973,0.1643562,0.16263000000000002,0.1624626,0.16314699996,0.154487,0.15407,0.15461699999999998,0.16118500000000002,0.16356900000000005,0.16006700000000004,0.156014,0.154197,0.14874500000000004,0.14543999999999999,0.143327,0.143467,0.14139758706954403,-0.017117142866053037,-0.007104840531681145,0.0010192149450472087,,
Romania,0.7827428178000001,0.8365012443000001,0.8556731262,0.9058923864,0.9349772886000001,1.0156400883,1.1078429184,1.1732252418,1.1812428792000003,1.1286921303,1.1654424306000002,1.2266985222,1.2402848952,1.2307912074,1.2220019982,1.1680255188,1.1820312243000004,1.1234085408,1.1001272004000002,0.9862029468000001,0.9592299,0.8397665999999999,0.7373637,0.7017129000000001,0.6206346,0.6048108000000001,0.5762718000000001,0.49856219999999996,0.46680840000000007,0.4686012,0.4592133,0.45134640000000004,0.44375760000000003,0.4366215,0.4344831,0.40617450000000005,0.40019040000000006,0.3865563000000001,0.3765006,0.3742344000000001,0.3608442,0.362862,0.3635271,0.3600684,0.36699479999999995,0.3678201,0.3258999000000001,0.3604104370000001,0.358475384,0.34641311899999994,0.3134138731202301,-0.09773177192367055,-0.007695267717143683,0.002259134049523482,,
Ukraine,,,,,,,,,,,,,,,,1.460955752212389,1.3526106194690262,1.2129203539823006,1.1038938053097345,1.0493805309734512,0.9573893805309734,0.8313274336283185,0.7154867256637168,0.6541592920353981,0.6200884955752213,0.578453982300885,0.5847911504424779,0.593479203539823,0.5710946902654866,0.5756431415929203,0.5683690265486725,0.5816225663716813,0.6364424778761062,0.6586907079646016,0.6971907079646017,0.7082637168141592,0.7186893805309734,0.7190300884955751,0.7306141592920352,0.7321473451327433,0.6994053097345132,0.7035960176991151,0.6981446902654865,0.7257079646017698,0.7278884955752211,0.6780088495575222,0.6848230088495577,0.6984513274336283,0.7086725663716814,0.6984513274336283,0.6830853982300884,-0.024672131147540965,-0.004700546703695019,0.004923781664514618,,
United Kingdom,0.39418722,0.6550667280000001,0.9452119680000002,1.0262684160000002,1.2377018160000002,1.2888226440000001,1.3648549320000005,1.4260659480000004,1.3656085560000004,1.378964448,1.3109289480000001,1.3079981880000002,1.329434604,1.3708001880000003,1.3400690760000002,1.4951481480000002,1.5719340600000005,1.645705476,1.5848294040000004,1.5520048920000007,1.7137409760000002,1.9080922320000004,1.94037246,2.2813035840000007,2.435545296000001,2.66563224,3.1701877200000004,3.23463132,3.3983031599999998,3.7345212,4.08452544,3.98929212,3.9055121999999995,3.8810198395642916,3.6328730786868855,3.324204863257729,3.0149431200000003,2.717742110013982,2.619740338556167,2.2034069322515992,2.084433573850101,1.6589710221397567,1.4109258589564677,1.3312936710674599,1.3475344851192568,1.463802592143897,1.5025748073281757,1.50784733550375,1.4657531436781877,1.4232681954664592,1.42110144546646,-0.004250457400704066,-0.0427636032506884,0.010243511658619971,,
Other Europe,0.5258830710240001,0.5496672470040003,0.5768530524,0.6220224897840001,0.6357646680479999,0.6319960629480001,0.6504495446520001,0.701964762156,0.74424683718,0.7199470815119999,0.6919620144840002,0.6616064568240001,0.681217403328,0.672707930148,0.6778472949000001,0.6855586509632922,0.6296355283853099,0.6381673718213097,0.6150110548446373,0.6327625106239647,0.5857462957079648,0.5910515107964603,0.575007604380531,0.5948688091238941,0.5543325117345131,0.5740786562389381,0.5334648652389382,0.4848066579999999,0.44419593700000026,0.41854988200000004,0.40180930784829905,0.3906176540206533,0.3893046190346212,0.37350995503552603,0.3905550294132924,0.3670970608177805,0.3889711209808136,0.3600362816494367,0.3400257624227619,0.33304745344989856,0.336550370750999,0.3329901583979974,0.3013520092893617,0.25764661834509356,0.22795016770949128,0.2187623834888362,0.31242474871885123,0.32345192264578293,0.3040780247509479,0.26647816264494023,0.2270515810717817,-0.15028226210656825,-0.022052477510021595,0.0016366217381852532,,
Total Europe,3.777511708824,4.614597419304,5.5577772466000015,6.252572392184,6.944928072647999,7.222767595248,7.684362995052001,7.9085359289560015,8.08910079123,8.358629434062001,8.227964159494002,8.091963356084001,7.640585524538001,7.808002023108,7.925690148450002,9.63840264739568,9.300799310344335,9.358000614383611,8.838488115654373,8.914398569027416,8.75506194646894,9.049893418536179,8.923754876742159,9.282675895036833,9.288409547911735,9.585575658752257,10.797817510372138,10.638998137962828,10.601912392462227,10.891791839332331,11.15730082733984,11.300179029149724,11.61856289459067,11.741415682858925,12.146750187870776,11.792894210903484,11.533381296549086,11.025691177091383,11.535758368458483,10.928489591542801,11.164478150918722,10.25308667934281,10.350410895184577,10.080905422739738,9.578909295192364,9.390338510078243,9.357625634806439,9.456525982333758,9.051187680863368,8.467394422504334,7.868498134849916,-0.07326869228972,-0.025192269221088637,0.05671731081359097,,
Azerbaijan,,,,,,,,,,,,,,,,0.49381964601769907,0.4773238938053096,0.438716814159292,0.41765840707964597,0.38958053097345124,0.3474637168141592,0.30183716814159284,0.2772690265486725,0.2386619469026548,0.2246230088495575,0.23164247787610612,0.2062670973451327,0.19643984070796455,0.18331343362831856,0.19643984070796455,0.18520869026548667,0.18155856637168136,0.1683970619469026,0.16787060176991148,0.16355362831858403,0.20118149203539817,0.2373773840707964,0.3801779522123893,0.5733677787610618,0.5728834353982301,0.5851675061946902,0.5742417026548672,0.6051519345132741,0.6280705008849555,0.6618267900000001,0.67622589,0.65799144,0.63931059,0.6856781706,0.8754560298,0.9303676794,0.059819864873033035,0.043318257408187844,0.006706229313283768,,
Kazakhstan,,,,,,,,,,,,,,,,0.13924359272650474,0.14863538930336573,0.1610642070558965,0.18206814342208302,0.17124716040961271,0.1815449591019046,0.2012371064896926,0.2070431763843553,0.1706193392253986,0.11453653222090919,0.15097823421031098,0.16650021974848184,0.20708145816388052,0.20283728487384792,0.25383116732011424,0.29456298073497883,0.2962958692881552,0.3600809703331246,0.42357257773506707,0.56407181283,0.6921456471565428,0.7243161947991554,0.8249522243202067,0.9183519132132254,0.953481972322958,0.9996762355127249,1.0557336958561359,1.0684184831928676,1.1205976631829093,1.1415871574527574,1.148148494824882,1.1554424928627127,1.2404754749000886,1.2286312809978979,1.2255118797004467,1.1409066386538418,-0.07158027086705976,0.025416978199845897,0.008223825604942274,,
