Exajoules (input-equivalent),1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2020_2,2009-19,2020_3,iii,jjj
Trinidad & Tobago,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Venezuela,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000011474999999999991,0,0,0,0,0,0,0,0,,
Central America,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00022590362999999999,0.0007571247,0.0006420843131,0.0009965608566999999,0.001749790818,0.0017825911047467534,0.002510328914941935,0.0022579646189423075,0.0024892615496751587,0.001959108005563291,0.002618923341849056,0.002298793396893749,0.0018823485950496884,0.003979761976333331,0.0048985605986134936,0.006920051290293288,0.010471287081818176,0.012433360849107823,0.019184126444412558,0.02855390414658413,0.029870956790880452,0.02888617210147241,0.039686498691621705,0.039224837981467975,0.032209996169309106,-0.18108034683353347,0.2571016777476376,0.0022791316305366795,,
Other Caribbean,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00001717171717171717,0.0000777777777777778,0.0000777777777777778,0.00007365622222222223,0.0000802152797979798,0.0000912294888888889,0.00011434834646464648,0.00039549713939393945,0.0004776562897284535,0.0006013331480938416,0.0006344754087412587,0.0009288801870295307,0.0010328503332566162,0.001181441517667238,0.001229329500066116,0.0013206418806312105,0.0018252717838471645,0.0026430290521846345,0.003267791525427819,0.006202391643338327,0.009285750381758755,0.009711823467754406,0.01042916431357178,0.010534087806846532,0.011882128306281912,0.012628345429085,0.01653093829884759,0.020035565276210972,0.20869263034965702,0.2465135289855125,0.0014176869291342813,,
Other South America,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000010280000000000002,0.00001021324675324675,0.000010147354838709678,0.000010082307692307691,0.000010018089171974522,0.000009954683544303794,0.000009892075471698111,0.00004664587408804892,0.00011890285804914386,0.0004469016675673588,0.0007062123299276899,0.0010967207917576293,0.001106264181712063,0.0013884012661501864,0.006846919610888636,0.018973730356517504,0.027494113073141136,0.034575095303416355,0.042930562875951234,0.04305369773217263,0.04891998456066043,0.13315059961045317,0.5789917039532728,0.0034615056640026516,,
Total S. & Cent. America,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00001717171717171717,0.0000777777777777778,0.0000777777777777778,0.00041973985222222224,0.0010292599797979798,0.001113723801988889,0.0014847192031646464,0.0025211479573939394,0.003189066680189493,0.004529458772713196,0.004345763489222028,0.0052956953672779385,0.005154561677111046,0.007445896752401196,0.011106461007566668,0.015874306463769163,0.01962487189887673,0.03237524836200371,0.04034310544288969,0.07236572999083453,0.09398357311468343,0.17023935747547111,0.2865142371273173,0.4089989073481488,0.5051859903420973,0.5883698831908989,0.7021405556406785,0.7586550819726244,0.07753675215277744,0.430084576529832,0.053681310140568504,,
Austria,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00001,0.00005,0.0002,0.00045,0.00051,0.0006700000000000001,0.0017088311688311685,0.0020038064516129037,0.003589615384615384,0.009004585987261147,0.012891477454554039,0.016866498522165985,0.019480580869158895,0.01911319152350715,0.018454823810133133,0.01937293261438052,0.018063668481814052,0.02282972363116004,0.029062917413122263,0.03523368319050951,0.04408169610520831,0.047392322826567995,0.059143600224000004,0.05395647401736843,0.06665605300254063,0.060343057226903515,-0.09718348484341421,0.13703273733028576,0.004269785369927001,,
Belgium,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0.00006,0.00008,0.00007000000000000001,0.00007000000000000001,0.00008,0.00009,0.00008,0.00009,0.00009,0.00008,0.00008,0.00010999999999999999,0.00013000000000000004,0.00016,0.0003675974025974025,0.0005626451612903226,0.0008630769230769228,0.0013838216560509552,0.0021981645569620245,0.0035218867924528287,0.004695187499999999,0.006053478260869561,0.00940666666666666,0.012127361963190177,0.02156926829268291,0.02550927272727271,0.03377981927710841,0.04228388622754488,0.05076321428571423,0.04922888165680486,0.0586233000000002,0.0667894210526318,0.0866976878328557,0.11573537000141941,0.33128294454643825,0.24869730976493187,0.008189263393748451,,
Bulgaria,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000009745222929936305,0.00004841772151898733,0.0001924528301886792,0.0004494374999999998,0.001159378881987577,0.0022383333333333318,0.006392208588957053,0.008032499999999995,0.011321999999999992,0.01266397590361445,0.012194191616766454,0.013223571428571416,0.012900887573964483,0.013536575999999998,0.01179373210526316,0.011740237607537892,0.013120301958216684,0.1144965354242713,0.18025327019264914,0.0009283731372702422,,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00001949044585987261,0.00009683544303797466,0.0001828301886792452,0.00033468749999999986,0.00038012422360248426,0.0005099999999999997,0.0013047239263803674,0.001875182926829267,0.003050727272727271,0.004765120481927707,0.006688023952095804,0.007249285714285708,0.00917999999999999,0.010835999999999998,0.011948315789473684,0.013080068824252354,0.01538557740430611,0.1730473680019078,0.383260531152688,0.0010886606732861536,,
Cyprus,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000034595541401273886,0.0000034376582278481005,0.000003416037735849056,0.000003404249999999999,0.0000033831055900621104,0.000003362222222222221,0.0002909815950920244,0.001063536585365853,0.0017154545454545443,0.002129096385542167,0.00168483233532934,0.002020483392857141,0.0020523818343195247,0.0019030499999999999,0.001973878947368421,0.0021266589102826704,0.002131440848979592,-0.0004898153507529868,0.905930862460556,0.00015081759811434156,,
Czech Republic,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000001987012987012987,0.000015793548387096773,0.000038249999999999995,0.0000964777070063694,0.00020606582278481008,0.0004751179245283017,0.0011962496249999996,0.0023250393167701857,0.0027206327777777764,0.0031491060736196295,0.003701853658536584,0.003869509090909088,0.00440842771084337,0.004365538922155685,0.005214749999999995,0.004499467455621297,0.0053193419999999995,0.005451899999999999,0.006240065546907006,0.006209149387755103,-0.007673164300849078,0.08655552019452206,0.0004393502158141876,,
