Exajoules (input-equivalent),1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2020_2,2009-19,2020_3,iii,jjj
Trinidad & Tobago,0,0,0,0,0,0,0.00035000000000000005,0.00035000000000000005,0.00029,0.00025,0.00023,0.00018999999999999998,0.00023,0.00029,0.00029,0.0002600000000000001,0.00018999999999999998,0.00018,0.00016,0.00013000000000000004,0.00017,0.0002600000000000001,0.00031,0.00027,0.0002600000000000001,0.00031,0.00025,0.0003,0.00028000000000000003,0.00032,0.00033000000000000005,0.00017,0.00018,0.00018,0.00018,0.00020127,0.00029442564935064933,0.0002661706451612903,0.00013238423076923075,0.00024533598726114643,0.00023568778481012647,0.00027603509433962254,0.00020923706249999986,0.00021980683229813654,0.0002128305555555554,0.000037583558282208565,0.00003735439024390241,0.000037127999999999974,0.00003690433734939755,0.000041117604790419134,0.00004691089285714282,0.000046633313609467414,0.000046359,0.00004178412933000608,0.000041630070680284636,0.00004148610612244899,-0.006180978565705542,-0.15055098525339705,0.0000013082318819439578,,
Venezuela,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000023090797546012255,0.000027801219512195103,0.000048403636363636323,0.00004928551278283864,0.00006182120636775225,0.00009148013937282223,0.00009085401039746617,0.00009007280024698978,0.0000845727752106956,0.00011206707025096556,0.00011165539529902324,-0.00639567302330768,0,0.0000035209654887855472,,
Central America,0,0,0,0,0,0,0.0010700000000000002,0.00141,0.00117,0.0015600000000000002,0.00338,0.00724,0.006990000000000001,0.007520000000000001,0.00642,0.006821052631578947,0.011091052631578948,0.011981052631578948,0.010261052631578949,0.012371052631578948,0.009369900000000002,0.0086075,0.009105160000000001,0.00883962,0.01171867,0.012207556315789474,0.013350639157894736,0.018216531736842106,0.017220100210526317,0.016930572210526317,0.017508388947368423,0.01762015658487905,0.019265448341578947,0.016785293609942107,0.025133575170384212,0.02980596943494737,0.03211707843765585,0.03534445531563463,0.03703836376817308,0.03874319182897451,0.04065707687879113,0.043952327744364764,0.04777772060195623,0.04862922096144718,0.05398578778738314,0.0614861898955239,0.06298940612977402,0.07426894522051491,0.08075086364587913,0.09263401782671853,0.10726641318919877,0.11984014993095622,0.12115334841312497,0.14168335720769842,0.15383952673806955,0.1448751399341694,-0.060844054307994666,0.1103984559282194,0.00456852413199642,,
Other Caribbean,0.03250750159478717,0.03315543732063761,0.03378137551883261,0.03439368023724118,0.035006332435644306,0.03562742226591526,0.0459604,0.04617840000000001,0.04818440000000001,0.049396800000000005,0.047827600000000005,0.049916800000000004,0.0547296,0.055224800000000004,0.056547200000000006,0.06089200000000001,0.05585280000000001,0.059593200000000006,0.0629612,0.061585600000000004,0.0632512,0.0654292,0.0663988,0.06932079999999999,0.06952679999999999,0.07312242105263157,0.07121802105263159,0.060447600000000004,0.04726597171717172,0.04786257777777778,0.04836737777777778,0.04917216716959065,0.05040861527979798,0.049275586328888885,0.049699359098001064,0.05124500135934794,0.04897296588189746,0.046344964787625516,0.0447022545521428,0.04490813938615611,0.040185258941201396,0.030480763982769263,0.020939444992828786,0.021270810014971504,0.021210438613489785,0.02233340814976569,0.02467974114398589,0.029140088818543766,0.033618717440591306,0.03289278531401581,0.03493161586350472,0.03605236746143232,0.03918293428766255,0.040258856762385074,0.05000089994300321,0.05586803349464173,0.11428771597899168,0.08953909219850265,0.0017617547036947291,,
Other South America,0,0,0,0,0,0,0.00056,0.00059,0.00061,0.00066,0.00063,0.0007199999999999999,0.00074,0.00056,0.0007899999999999999,0.00084,0.0010658456,0.0012784384,0.0011100648,0.001302416,0.0013351856,0.0012681001599999999,0.0017585836400000002,0.0017784065600000003,0.00157048376,0.0017505804,0.001865035128421053,0.001989532972631579,0.00208773875368421,0.0016983249726315788,0.0014691985094736843,0.0013084143936842104,0.0012834987368421052,0.0013820977368421052,0.0015308578968421054,0.001102623747723547,0.0010870185637385445,0.0012193650889511512,0.0011897271307057301,0.0011092872817603913,0.0017267263576313347,0.0017360642682007804,0.00276566500694413,0.010745225962333222,0.012774218095913168,0.01574486222766792,0.017471499854760472,0.019900574197724223,0.023135394743987122,0.03485754883769236,0.05410209652643648,0.07140991743512376,0.07791103761913024,0.08876564130266892,0.0885940442234741,0.09342666139561298,0.051666600278670316,0.2136878939707112,0.00294613663428841,,
Total S. & Cent. America,0.03250750159478717,0.03315543732063761,0.03378137551883261,0.03439368023724118,0.035006332435644306,0.045362951608051705,0.06338100909962625,0.06791819280717439,0.06797032901112333,0.06758632537528572,0.06997001041289434,0.07625715713225191,0.09382104934726714,0.11623926043559912,0.13732710469698864,0.1514194232939615,0.14698496025449895,0.18186600364529681,0.2236422173384105,0.2550268885074974,0.28946538178195946,0.3493467270998677,0.3591313474903719,0.37440382847545367,0.39813867932794067,0.3859189152546427,0.3975881658799341,0.40349467112110066,0.4010221937014044,0.42352368672965035,0.4373635737117442,0.4625673929682092,0.46267939541274605,0.4498619927501694,0.4722737035087461,0.43201205382663055,0.42053613881045926,0.4655907928924834,0.46973264487809074,0.5050725292854191,0.5375046555786865,0.5339480129844237,0.6797335725959215,0.8460713418353516,0.9404349161200429,1.119460691722185,1.1112966799006356,1.186974332773922,1.3661004748969696,1.5669527940228323,1.8578923018444458,1.961975626525892,2.1474612553991532,2.4076551627125755,2.6931556357508755,2.7518444649021974,0.019000063623608066,0.11094682128959099,0.08677726110303717,,
Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01287501,0.00905816,0.0104696,0.0110445,0.011690453073189,0.01255312432773762,0.013618154312379798,0.013996443328669545,0.01238019266540155,0.019064630276304447,0.01641776020798582,0.0178825868612827,0.019459085405503618,0.017159833262236832,0.016695400497223407,0.019145790800035586,0.017946642708240337,0.021404405988480618,0.030147275512885412,0.04009930183384312,0.06046374588048033,0.07278992522128691,0.07759305654132226,0.0812841271244657,0.08351041657206931,0.08334048834534603,0.08997549664679355,0.09581800016523036,0.10543607932010009,0.12136028664812987,0.12276823715116528,0.134900385948,0.1320305299601615,0.14519649610303162,0.13982100580688742,-0.039653263382391946,0.05972953630858924,0.004409145968583937,,
Belgium,0,0,0,0,0,0,0,0,0.00116,0.00108,0.0008300000000000001,0.0005700000000000001,0.0024700000000000004,0.0026,0.00315,0.003,0.0029100000000000003,0.00046,0.00021999999999999998,0.00024,0.00053,0.00119,0.0014800000000000002,0.00188,0.0019800000000000004,0.0028900000000000006,0.0030699999999999994,0.00276,0.0025300000000000006,0.00254,0.0033000000000000004,0.0032200000000000006,0.0028300000000000005,0.0036999999999999993,0.00509,0.0058400000000000014,0.006298831168831168,0.0076796129032258055,0.009268269230769227,0.011499363057324838,0.017604683544303792,0.024951509433962252,0.029615062499999987,0.038088447204968935,0.053761191917249866,0.07292462847402745,0.09104863103423416,0.10821265851977392,0.11847395111959574,0.12699365400228607,0.14006542964524546,0.14478097107402385,0.16001815755081228,0.17010826944501325,0.19078825189356868,0.23290352902355552,0.21740819090459929,0.1350324396546687,0.00734443047478491,,
Bulgaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000009745222929936305,0.00004841772151898733,0.0001924528301886792,0.0004494374999999998,0.0013854093273537491,0.002564243287934196,0.00752753324832799,0.010200208248324504,0.02299698390960692,0.03080415322724674,0.030042588738635377,0.03428134787466864,0.0353448382515468,0.036544860716857905,0.0447807777456665,0.048301857856616136,0.0501478821412247,0.035381831859504054,0.34122135852696633,0.001581374208403182,,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.00006,0.00018999999999999998,0.00006,0.00005,0.0001,0.00002,0.00005,0.00002,0.00001,0,0,0,0.00005847133757961783,0.00023240506329113918,0.00028867924528301874,0.0005124360638297871,0.0007274911558919665,0.0010741789729051322,0.0016146330669938643,0.0025328862799999987,0.0051256890909090885,0.0073386638389759,0.009754119281437119,0.011202652857142848,0.013721827455621288,0.01629754,0.019747585263157893,0.02508965643441212,0.028110444715465338,0.11733854526829024,0.3703825087422321,0.0008864408697179487,,
