Billion cubic metres,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2020_2,2009-19,2020_3,iii,jjj
Venezuela,7.518030000000001,7.8832200000000014,8.638020000000001,8.916630000000001,9.17637,8.558100000000001,8.293920000000002,8.243970000000001,10.155390000000002,10.732590000000002,10.438440000000002,12.940380000000001,14.125305000000003,14.253510000000002,15.964020000000001,16.434105000000002,16.522905,17.63013,17.360400000000006,19.203000000000003,19.231305000000003,21.172140000000006,20.631570000000004,21.12108,21.687180000000005,24.381705000000004,24.311220000000002,23.994870000000002,25.895190000000003,27.389805000000003,30.526110000000006,33.00141000000001,34.22130000000001,35.89240500000001,30.425100000000004,30.99564,32.84823000000001,31.54120500000001,27.998640000000005,31.529550000000008,30.435090000000002,34.94502000000001,37.26705612673125,34.899557113395005,34.21684922071476,31.26681662204976,33.326391970158504,34.61283082579351,32.30580050311951,34.026599379957254,37.03823581737276,37.23873394612107,38.60538774256948,31.61909951728959,25.576218649678385,18.7514500965791,-0.26884357369203926,-0.02868603683496318,0.004905190247512853,,
Central America,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18176506283255123,0.4792798846465526,0.3554876012370592,-0.2603146199229899,,0.00009299197159252645,,
Other Caribbean,0.0029250000000000005,0.0029250000000000005,0.0029250000000000005,0.0029250000000000005,0.0029250000000000005,0.004388,0.008740000000000001,0.009378000000000001,0.018043999999999998,0.021646000000000006,0.019520000000000003,0.026172,0.022045000000000002,0.019817,0.030008000000000007,0.030395000000000002,0.021806,0.018992000000000002,0.018841,0.022489000000000002,0.031803,0.03151500000000001,0.04488500000000001,0.046559,0.06016400000000001,0.060864,0.049912,0.040996000000000005,0.04764700000000001,0.042459000000000004,0.044183000000000014,0.048171000000000005,0.06117900000000001,0.166356,0.527232,0.9819596608952705,1.3130510000000002,1.299633989425,1.698954328538218,1.5674772683932614,1.6547918583829306,2.177557800901566,2.4708999730881436,2.508719680363103,2.4356264927081113,2.4632688517641648,2.745923205268296,3.224335928594622,3.592422483936891,3.6788663883841393,3.6758303723816717,3.8269465224579937,3.609056814078494,4.1076732709143915,4.96254703515845,4.663893615175733,-0.06274928912643796,0.07376537309053965,0.0012200275370047816,,
Other South America,0.053886699999999996,0.06781110000000001,0.07117546000000001,0.06604667,0.09638522000000001,0.03215,0.03475,0.050575,0.05902500000000001,0.145925,0.12615,0.154925,0.17097500000000002,0.32832500000000003,0.34504999999999997,0.33815,0.34285000000000004,0.338275,0.3074,0.23650000000000002,0.36401900000000004,0.42100600000000005,0.50009,0.5059050000000002,0.6326720000000001,0.6931480000000001,0.7303640000000002,0.7818096618493763,0.8084265083437838,0.9563352892714576,1.065360143413294,1.0930344968293764,1.0471595178084863,1.1713549682954814,1.2149248184939414,1.1325978105445125,1.035700491928219,1.124685377199454,1.338316515272809,1.4085027656942901,1.69147578877277,1.7901280013432275,1.9936686922718092,2.2191191478158876,2.493156980875753,2.6168948907468326,3.047833591214317,3.0974659407194705,3.302667705681125,3.4994628038596454,3.4335382883300904,3.484032691616789,3.5530965726147543,3.726486364107218,3.7125313707563836,3.064775594376143,-0.1767337201130056,0.040619717909157416,0.0008017143889630087,,
Total S. & Cent. America,14.771013853075225,15.782978860951328,17.015462059336286,17.87523814701328,18.42801046234514,18.80099623893806,19.14858945132744,20.240027929203542,22.972734566371685,24.295543150442477,24.173023911504433,28.25842013716814,30.48644821460177,31.520515376106196,33.918698287610624,36.09067778318584,37.2046814380531,41.286372165929215,42.75577618141594,46.15691634513275,47.13740507079646,50.939965059734526,51.125092637168144,55.460409477876105,57.51216352876107,59.56102432974337,60.515717914005535,62.254320335143454,66.98350315876019,70.39309980069083,77.43447182770576,85.71985154975073,87.49036304905532,93.78664024006446,92.52252072179839,98.33367529927021,103.19049882213885,104.2243215724158,109.59069410425901,122.4231520228051,127.13912373782904,137.51426073200983,141.14225669566932,141.44355457503536,135.84405286072683,147.27887416100035,152.12981119676644,161.78888882845166,167.31067193341428,172.61265296972854,177.84166384186815,174.1845555438613,176.34469905542082,169.18406934500592,163.29953600773882,145.6490326130928,-0.11052359371265585,0.018578329136076377,0.038100318143595824,,
Austria,1.7528646900209428,1.8821034226337727,1.8031683717675755,1.9228969602554535,2.332915692299853,2.829800212180157,3.25066467108687,3.5129752469790936,3.8611199053649727,4.185197003077507,4.180161877970322,4.761011260710999,4.8520337777085825,5.046823852028615,5.004036631704548,4.807397649547166,4.58240978963444,4.435526508126145,4.5257059357985465,5.038988887703619,5.399160455612757,5.242126503535625,5.468577822773515,5.238502929779624,5.62598196009454,6.193490334998172,6.566419150906971,6.448223412747508,6.781245148657365,6.9751494178148175,7.61571602447261,8.106087999459591,7.812571623036492,8.020729149030963,8.192762837782492,7.8205154127923775,8.28819608377996,8.148536942156836,8.962971845299442,9.04923375341829,9.527706433715556,8.953200783920728,8.470895417220209,9.068554873230358,8.831913874174772,9.612812106208867,9.041806702562365,8.624141591253078,8.200461132630002,7.510975575030001,7.968095000729998,8.34219028152,9.06985384839,8.686918911330002,8.900441037090001,8.52751903347,-0.044517033965030484,0.0007732080030773414,0.0022307129839568155,,
Belgium,0.0735,0.13265,0.5055499999999999,1.2299,2.5334999999999996,3.975175,5.481475,6.9113500000000005,8.307224999999999,9.735674999999999,9.619475,10.161150000000001,9.99695,9.91245,10.830525,10.363150000000001,9.558049999999998,7.968625,8.280875,8.54505,8.586400000000001,7.7095,8.50165,8.390600000000001,9.324425,9.569849999999999,10.2078,10.520125,11.0093,11.2576,12.45255,13.842075,13.204474999999999,14.464400000000001,15.446025,15.526275000000002,15.3376,15.832525,16.866575,17.187999999999995,16.893475000000002,17.3889,17.519025,17.40145,17.574065819999998,19.404000000000003,16.524000000000004,16.740000000000002,16.532999999999998,14.463000000000003,15.8499,16.1892,16.411499999999997,16.8741,17.383499999999998,16.998179999999998,-0.024837524937676436,-0.001089686051676586,0.004446552470983523,,
Bulgaria,0.05627249999999999,0.0839475,0.25553250000000005,0.39113999999999993,0.4068225,0.367155,0.28765,0.19380000000000003,0.19525,0.42545,1.129875,1.9760750000000002,2.5215500000000004,2.690025,2.8779500000000002,3.6991500000000004,4.023925,4.4528,4.67895,4.9195,5.365800000000001,5.32855,5.9423,5.77245,5.942325,6.30175,5.321950000000001,4.712125,4.384575,4.3862749999999995,5.293925,5.408425,4.314725000000001,3.61015,3.12785,3.406825,2.863925,2.5393,2.6833,2.619875,3.2664,3.3657000000000004,3.3919000000000006,3.392125,2.426375,2.672275,3.05945,2.8512250000000003,2.7544,2.73615,3.00035,3.1250500000000008,3.21365,3.022925,2.830875,2.92065,0.028893922185618814,0.015538229902920753,0.0007640125868991875,,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,2.5522750000000003,2.3636,2.45005,2.58685,2.4339000000000004,2.2495000000000003,2.520725,2.6129749999999996,2.5118,2.5467500000000003,2.56955,2.6925,2.7567000000000004,2.740175,2.841833333333333,2.748238888888889,2.7179222222222226,3.1229944444444446,3.027038888888889,2.7949888888888887,3.061416666666667,2.9891666666666667,2.8066055555555556,2.653794444444445,2.348571111111111,2.4212311111111107,2.524353333333333,2.8996669444444447,2.6658366666666677,2.7981422222222223,2.90011376322168,0.033610776520334396,0.00011276372365576215,0.0007586405144542937,,
Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Czech Republic,0.42905,0.44902500000000006,0.5393749999999999,0.665125,0.7294,0.8012499999999999,0.9955,1.0810499999999998,1.18725,1.447525,1.6572,1.829625,2.0792999999999995,2.3298999999999994,2.614075,3.0111250000000003,3.0207499999999996,3.199775,3.754174999999999,3.9960250000000004,4.90635,5.1846,5.6556,5.691625,5.873775,6.103075,5.888974999999999,6.745050000000001,6.893175000000001,6.732975000000001,7.6195249999999985,8.768699999999999,8.918875,8.938025,8.98605,8.722674999999999,9.341399999999998,9.02725,9.120474999999999,9.057325,8.9591,8.831275,8.41855,8.342825000000001,7.913349999999999,9.384875,7.919049999999999,7.973650000000001,8.078675,7.189799999999998,7.53945,8.159975,8.374775,7.982825,8.324949999999998,8.462375,0.01373026346471784,0.0050834594763509156,0.002213671961741739,,
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014595000000000002,0.1178025,0.67137,1.1967900000000002,1.5189225000000002,1.8525225000000003,1.9744950000000003,2.1048075000000006,2.42958145314,2.554621123665,2.870731922655,3.2078043619275,3.714420408915,4.37549440995,4.5718910475,4.92979821936,5.169367624807501,5.101935083355,5.3314869957974995,5.381795537783994,5.440917640824302,5.415029317956415,5.200558226772149,5.2982907577716665,4.7489613033260225,4.771609951686668,4.582792283918334,5.1839785273866665,4.347364559255781,4.060289213639592,3.8297824956511484,3.2894382258604664,3.30925261107145,3.3652532645595548,3.216213333365696,3.120985840315611,2.8977778452312215,2.323962241102987,-0.2002103883472518,-0.04480180865930472,0.0006079250864297764,,
Estonia,,,,,,,,,,,,,,,,,,,,,1.048623402163225,0.9530358898721728,1.0325344149459192,1.1120329400196656,1.1120329400196656,1.421525,1.427375,0.8345250000000002,0.4136499999999999,0.594075,0.6774500000000001,0.7470999999999999,0.7259499999999999,0.6890000000000001,0.6697500000000001,0.769925,0.8262500000000002,0.69285,0.790875,0.9008,0.9300250000000002,0.9398750000000001,0.9343,0.8961,0.610725,0.6542,0.585325,0.6343000000000001,0.64535,0.5065500000000001,0.45410000000000006,0.49807499999999993,0.48887925,0.5003572777777777,0.46605538888888887,0.4286496418414075,-0.08277325367756005,-0.026672074959152914,0.000112130423616888,,
Finland,0,0,0,0,0,0,0,0,0,0.4444444444444445,0.7355,0.8618333333333335,0.8765000000000001,0.9543333333333335,0.9509444444444446,0.8945555555555555,0.7118055555555556,0.6723333333333334,0.6520277777777778,0.7467777777777779,0.9475555555555557,1.1472222222222226,1.5172222222222227,1.6320000000000001,2.14,2.5210000000000004,2.6570000000000005,2.759,2.8510000000000004,3.1470000000000007,3.268,3.4189444444444446,3.3638333333333335,3.853638888888889,3.8580000000000014,3.941000000000001,4.276000000000002,4.246,4.700000000000001,4.5280000000000005,4.143,4.428000000000001,4.096000000000001,4.1880555555555565,3.7380000000000004,4.130000000000001,3.6120000000000005,3.1945,2.970666666666667,2.655666666666667,2.2878611111111113,2.0076666666666667,1.8324166666666666,2.1012777777777782,2.0361111111111114,1.9576111111111114,-0.04118079007596598,-0.058942375595304575,0.0005120913252675236,,
France,5.004699520999999,5.279650166000001,6.0339254460000005,7.2156497459999995,8.385049735,9.552925031000003,11.322550482999999,13.388774662,15.703650567000002,16.395925154,18.28700037,19.645325056999997,20.508524590999997,21.877950113,24.237600355000005,25.171975489,25.571699751999997,24.577225430000006,26.180249969000005,26.699200340000004,28.579150298000002,28.741524869,29.081600025,28.936125007000005,28.314774811999996,30.275350000000003,33.166625,33.099000000000004,33.851475,32.31502499999999,34.397825000000005,38.01465,36.446925,38.859475,39.62115000000001,41.59635,43.668400000000005,43.594275,45.726825000000005,46.69252499999999,47.712575,46.08055,44.76092500000001,46.386449999999996,44.731075,49.56445,43.019035075,44.44429502500001,45.1431537,37.908350525,40.751764575,44.529939575,44.76569897500001,42.838384475,43.662042325,40.66228403936971,-0.07124855496209048,-0.002416008968214034,0.01063684344859822,,
Germany,3.0975673611847245,3.7229922215155336,4.798864854598777,7.886973994833319,11.231637378341555,15.973752907239234,21.102473217475616,27.322435769839295,35.23305531704807,44.076491905468586,46.51434835537809,49.228857768080424,52.27913402451425,56.04232368506805,61.947800390838154,61.07291495294629,58.393873868807134,54.186147823594766,56.334346256904915,58.830134310134305,58.149142401721164,57.98007670223667,62.86170099014953,61.8851396770432,63.335794315277425,63.68833333333335,66.91927777777778,66.16269444444444,70.01133333333334,71.29272222222222,77.73736111111111,86.991,83.10336111111111,83.86502777777778,83.61908333333334,82.92458333333332,87.44819444444445,87.31277777777778,88.37197222222223,88.82105555555555,90.28104919473986,92.0068964885499,88.63619585580157,89.50063031029967,84.43012164686618,88.07124999999999,80.86072222222222,81.11005555555556,84.97433333333333,73.89502777777778,76.95361111111112,84.88475000000001,87.73847222222223,85.85072222222223,88.68708333333333,86.54552319309602,-0.026813637668324786,0.004931120883837181,0.02263943610473727,,
Greece,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08435000000000001,0.0804,0.08845,0.083125,0.11387499999999999,0.13,0.155925,0.15725,0.16065000000000002,0.15869999999999998,0.14665,0.10815000000000001,0.055325,0.051025,0.057325,0.198875,0.8145165600000001,1.4603706,1.9601875800000002,1.9344768300000001,2.0805138899999998,2.35201941,2.5854730200000002,2.60325,3.0693,3.8867811896700006,4.0526802491543865,3.4031442826563696,3.729560929037774,4.59898813197959,4.226817807561981,3.730692595351268,2.8442690406131512,3.07138797,3.9977999999999994,4.8213,4.72059,5.1824699999999995,5.70231,0.0973010780637007,0.042955175235478205,0.0014916667914337922,,
