Exajoules,Oil,Natural Gas,Coal,Nuclear energy,Hydro electric,Renew- ables,Total,Oil_2,Natural Gas_2,Coal_2,Nuclear energy_2,Hydro electric_2,Renew- ables_2,Total_2,p,q
Finland,0.3896288380000001,0.07330000000000002,0.14779693540800004,0.21502421354492332,0.11020514030100266,0.18928967695929083,1.125244804213217,0.3537972354243114,0.07047400000000002,0.13271532484349224,0.20902688721804505,0.14002477015048445,0.1902569332981573,1.0962951509344905,,
France,3.1440290827781894,1.5718335236999998,0.26795837951441204,3.556940652650553,0.4994522879475625,0.6321240102940708,9.672337936884787,2.6778959178176405,1.4638422254173098,0.19361888290803667,3.14261354527347,0.5444726804897958,0.6815825131275439,8.704025765033796,,
Germany,4.66105227499304,3.192735,2.2471840000000003,0.6692134761818926,0.18000200015285536,2.101032223186873,13.051218974514661,4.208902744161044,3.115638834951457,1.8439999999999999,0.5717284571428571,0.16549146122448977,2.205269793179159,12.111031290659007,,
Greece,0.6380012710919999,0.18656892,0.216885074148,0,0.035457969029086434,0.11590193996190087,1.1928151742309872,0.5120625132420074,0.20528316000000002,0.11452775746349518,0,0.030550645879748633,0.1378847195926901,1.0003087961779413,,
Hungary,0.3530829006751234,0.3543840000000001,0.07686483318,0.14519741089717328,0.00195224907824662,0.04823404694797215,0.9797154407785157,0.32799528763722585,0.36640800000000007,0.07194835617793108,0.14260349387755103,0.0021671183673469385,0.05685138655462185,0.9679736426146768,,
Italy,2.552587280307865,2.5484621299164463,0.27912390768,0,0.4132394264645637,0.6534962801879558,6.446909024556831,2.1335210870208394,2.4358198614855304,0.2067069349513553,0,0.4147434736899985,0.6721606020048778,5.862951959152602,,
Netherlands,1.6424421439522852,1.3327,0.26880000000000004,0.034852976845555106,0.0006612864891437936,0.233123022818517,3.512579430105501,1.5149154751552125,1.3160999999999998,0.17959999999999998,0.03627349036902372,0.0004118235428571429,0.3252554076140487,3.372556196681142,,
Norway,0.39227653660348505,0.16434882892755,0.03266834436,0,1.1155989184760342,0.0731624624134166,1.7780550907804857,0.37399520357124505,0.15955042670199002,0.03265379929927962,0,1.252064127158978,0.11151376549493112,1.929777322226424,,
Poland,1.3571159707607119,0.7519960000000001,1.857882,0,0.017418697255223266,0.2506568995708316,4.235069567586767,1.2822902830311897,0.776059872,1.669375949297386,0,0.018784653061224493,0.2664236395755102,4.01293439696531,,
Portugal,0.5022532414389146,0.220860791897418,0.05226515628906108,0,0.07860699713232282,0.17750134462908645,1.0314875313868028,0.41095277334015407,0.2157804589118842,0.024200681616711725,0,0.11047862857142858,0.17114723566386533,0.9325597781040439,,
