Billion cubic metres,b,c,Trinidad & ,Other ,f,Other _2,Russian ,i,j,United ,l,m,n,o,p,Other,r,s,t,u,Papua ,Other_2,x,y,z
To ,US,Peru, Tobago, Americas*,Norway, Europe*,Federation,Oman,Qatar,Arab Emirates,Yemen,Algeria,Angola,Egypt,Nigeria,Africa,Australia,Brunei,Indonesia,Malaysia,New Guinea,Asia Pacific*,Total imports,,
Other Middle East & Africa,0.6081870787910267,0,0.7250857867390201,0,0,0,0.30460832617658223,0,0.08791341031778481,0,0,0,0,0,0.20545174147670883,0,0,0,0,0,0,0,1.931246343501123,,
Middle East & Africa,1.3421847234713098,0,0.9106839963756754,0,0,0.1768,0.59929982463481,0.5040833645036142,3.2077267014570254,0,0,0.0943693657209897,0.5461077676801522,0.0851257517845207,1.5045345743326994,0.18719525889615476,0,0,0,0,0,0,9.158111328856952,,
China,4.361856719851041,1.5173980216965188,0.2828569015119932,0.004522408,0,0.5579907113470223,6.923916193386076,1.4464659232604937,11.194346173700316,0.43742072355761374,0,0.16585937190126052,0.45336937729848326,0.17757501916701665,3.3126371633876577,0.7105074333013157,40.57462957317074,0.9719565896524391,7.364897872340429,8.341139494733373,4.131610745559267,1.088,94.01895641682304,,
India,3.277167647496527,0,0.6948566367736486,0,0,0.19040000000000004,0.7224592326528482,1.804705241540123,14.053169572224684,4.771329735638994,0,0.26611900525210086,3.0704992346166873,0.163174625375,4.011678909322784,1.297882711170395,1.4222317073170732,0.09460308902439024,0,0,0,0,35.84027734840525,,
Japan,6.4333394125,0.85383515,0,0,0,0,8.3663059,3.337724425,11.943249999999999,1.4090470875,0,0,0,0.086417925,1.85181735,0,39.6524737125,5.3977794625,3.0334849875,14.809265319062499,4.6588875375,0.195814645,102.0294429140625,,
Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08929578769367087,0,2.580224687733476,0.9733699120439023,0,0,0,0,3.6428903874710494,,
Pakistan,0.9892883629026592,0,0,0,0,0,0.17207254404905062,0.19751264620627138,7.092758320798133,0.4709074745681607,0,0.3555275231092436,0.09120431415639123,0.4350439202333334,0.6399646233281013,0,0,0,0.08734960885106385,0.090271100342719,0,0,10.621900438545127,,
Singapore,0.7591222584346203,0,0.09291722972972971,0,0,0,0.08759505880158228,0.18086542808641973,0.5442493670886076,0,0,0,0.25842804812311776,0.08400716666666667,0,0.10211513157894739,3.1589954268292684,0.09296478109825,0.3659770121119576,0,0,0,5.727236908549167,,
South Korea,7.9845159929166645,2.1871153101265817,0.07842657972972972,0,0,0,2.7666569256329114,5.444441358024691,13.001512658227849,0.2581090668362678,0,0,0.4938301571584658,0.08146987480000001,0.46609578009493663,0.25701071318421054,10.901454173658536,0.43444625243902435,3.7017800787234054,6.711419037125,0.41437744896435935,0.0884,55.27106140764263,,
Taiwan,1.474959812016979,0,0.17533121826739861,0,0,0,3.3174892793143,0.08618374166666667,6.886249521832401,0.26062336905584055,0,0,0,0.172506651,0.537562630753291,0,6.659883510685229,0.2939617131545,1.5969058091687662,0.9827592328124999,2.230843540017799,0,24.67526002974567,,
Thailand,0.742891806980104,0,0.1783250650793919,0,0,0,0,0.20556193042583332,2.968580601744082,0,0,0,0,0.08831356683333334,0.255737457695886,0.08164785709968721,1.0787706759332012,0.190884016559,0.2864521879859575,1.3200587935208439,0.10187437326691637,0,7.499098333124237,,
Other Asia Pacific,0.3757264844219791,0,0,0,0,0,0.09371091043607596,0,4.095613924050633,0,0,0.09074567860399159,0,0,0.7507608485401898,0.07881831347549342,0,0,0,0.5752088839829061,0,0.0544,6.114985043511268,,
Asia Pacific,26.398868497520574,4.558348481823101,1.5027136310918918,0.004522408,0,0.7483907113470223,22.450206044272846,12.703460694210499,71.7797301396667,7.607437457156877,0,0.8782515788665967,4.367331131353145,1.28850874907535,11.915550550816516,2.527982159810049,106.02866346782751,8.449965816471508,16.43684755668158,32.83012186157984,11.537593645308343,1.4266146450000001,345.4411092278799,,
