Million tonnes of carbon dioxide,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2020_2,2009-19,2020_3,iii,jjj
Austria,39.52917921757166,39.81909688389834,40.11202922657738,43.01201982187518,46.052561282902516,50.71292252065707,53.331180299231555,54.510506223025004,57.902046527418406,55.203742254573434,53.272720297936594,58.03526710683487,53.84027823930847,56.618193646637486,59.126919753238695,57.8698176733976,54.49495452853099,51.859650727465535,51.34714396347378,53.19262913669749,54.25089619546562,53.87854531524777,54.858148864051245,53.37493670765771,53.65222663337108,57.95563429030582,62.84358691401444,57.53491930041959,58.01614924498036,58.543818278683794,61.098331058255624,62.93257577315492,63.5088665081225,63.75534379342846,62.99324356720538,63.548746848108856,68.1851307868342,69.29509392523246,75.01608797018739,73.71568060854273,74.73907018701598,72.65942529855384,68.97363952886403,69.78721618300422,63.571864419971156,67.8186274133968,64.6716544736401,62.1955869143921,62.854652512168975,58.63462714028881,60.69098499225025,61.637064970109954,64.45827868318891,62.159467993395324,63.71906422530911,55.27494725762939,-0.13489120592459736,0.0002313077547626552,0.0017282253081537904,,
Belgium,124.71285672724908,118.47594249741687,123.42954984338047,135.0960570908353,144.44474956243377,148.9869088933882,142.06511731131314,149.25974624087883,147.14229904731437,141.36546711216826,126.04934709113078,132.04882913237694,131.60855761311046,136.8100226930434,142.24250041423446,136.06324771320647,129.38558820715028,121.93492088202262,109.25615358025169,113.1889578327264,114.22874550488768,113.72319119127961,115.21475645775863,117.18859417390368,119.75029468728577,126.49766868483798,130.7295905224606,128.0708480755513,126.06543899816454,129.5784552339695,128.92872993010303,137.19224745321813,135.91401478757578,139.85770572572832,133.26341940642544,136.28817499098452,136.33913149391574,134.15200620622326,141.24912839229717,140.10648621688722,136.15502014590254,138.22495740383732,137.7782844236392,139.13469741645915,124.62538538126532,133.52637868767985,120.60549795669843,116.19925972178207,117.33005915775013,108.79619999320053,115.24694413922231,116.89721362474542,118.82186119199251,125.47815539090045,121.62687273102796,88.74177648921014,-0.2723704011141267,-0.002432474989717548,0.002774598468712451,,
Bulgaria,36.7442132336,39.2106661798,45.227863366200005,51.01134377900001,55.747480970400005,62.36257521230001,64.5729362375,66.629984883,68.63704735720002,69.8614355813,75.1336771981,75.9236461918,78.4369300453,82.09527547930001,84.92234223430002,89.13671640190002,85.46549066750003,87.04627668660001,85.9801208271,85.0110349488,84.8766354373,87.8935839522,87.76049695820002,86.55117215399999,86.79207313179998,74.399807559345,59.88349251136216,58.121798187083634,60.26250638680566,56.6927607977345,58.784126503077,56.81397168002486,56.084514411183655,53.773859280261995,45.80028731220497,43.434353251611064,46.368468652000075,44.563602144881294,48.57710429390256,46.666819923489555,48.54666801670436,49.39139297491165,52.73582016463545,50.34472581062055,43.53250461723835,45.58842622828118,50.52092845232232,45.81312303082156,40.66933586443017,43.11726587258599,45.83165560631482,43.0157463633979,45.69810087789533,42.534286909735016,41.19932432275802,35.820465868942364,-0.13293248540280922,-0.005493458999484613,0.0011199619128722121,,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,21.26792329950951,14.793535296504688,14.49081996523098,15.53080156595555,14.448413381081947,15.110146225747055,15.113834037914396,16.60970127582745,18.871448250744372,18.57543534769786,17.466378818842983,18.422280013147535,19.51885971821483,20.851917309150224,20.12262663394656,20.628491308110064,20.66837314158091,21.86724555728856,20.930547701092667,19.609182491334515,18.83982681877295,18.200917184958474,16.621050381228876,16.1106016769658,15.824331879636835,16.243276864181325,16.68752676910257,17.1403094445591,16.314306802125447,16.397898506835453,15.280828947626553,-0.07066883951561564,-0.017725498328118316,0.00047777006812452753,,
Cyprus,1.213839504,1.345540419,1.464236559,1.631066823,1.922657814,2.043686628,2.4020402760000006,2.7420118194999996,2.9187053657000006,2.3959778544000003,2.0835467886,2.1215836624,2.5031303762000006,2.6230971605000004,2.6569444715000006,2.685393982500001,2.5429220300999997,3.0745800172999997,3.2249125899,3.2299133708000003,3.5732236264,3.6989548224,4.588158363400001,4.668476518100001,4.742381477000001,4.9701871047,5.1393256956,6.0391413599,6.2775457407,6.308607690200001,6.742839228100001,6.8465889086,6.873752250000001,7.2251204509999996,7.590814725900001,7.9759322397000005,8.0901362011,7.9455695308,8.493194148099999,8.2773353029,9.316718741899999,9.142110267792274,9.322075272826405,9.482366243084432,9.180957256357221,8.839898304954799,8.702955157536062,8.135052481319999,7.2521347043199995,7.325073791405354,7.49776331481303,8.112640748169602,8.309006428080385,8.230032227202003,8.189192474383002,6.983202216050001,-0.14959595218218968,-0.011366525473612499,0.0002183366497933197,,
Czech Republic,156.20148922656648,156.9696305230791,153.76433253856243,160.3789718960582,167.23533140108316,172.497354441583,180.95130537732047,180.69485517534963,180.6282718240197,181.36599153929123,188.12740521305025,193.70360387981205,199.19127114177647,201.4917056292661,202.56334588322605,195.17716588044976,194.2925685699546,191.79130210383792,191.54025700634503,195.82027950444692,193.92222099313693,191.96584125285432,190.63991903419577,190.93573157570742,184.93231259909396,155.32937361543614,143.21045937170328,136.63615050089453,134.08792482532118,128.639052435936,130.18062826154417,132.8777107837263,127.15932542339985,121.64851543051694,113.92412375646201,124.09675857365725,125.08851071034651,120.78100178101593,123.99704806520715,124.84376970574203,123.42563348392467,125.9692005628441,125.55381114332258,120.32619678509373,113.53145602529075,116.52331515021633,113.07395089789401,109.31067064864062,104.98004339439719,101.97359129454956,102.77306261759861,104.79074169341128,102.66782340964936,101.69547026051889,98.47213256438,85.11850825443534,-0.13796988230416896,-0.014129858523978522,0.0026613134422721367,,
Denmark,47.70917456318001,54.28165635604001,54.01827506112,56.09466989236,63.90701053834,67.5316585589,63.1619109242,66.63602744678,64.98134498652,59.20479521464,56.42351873332,62.48924088648001,63.89860946908,65.71736670258001,66.24235309618,66.17768197565998,58.92065792076344,57.39761354275965,54.39306315425366,55.30668210735461,62.66980577393462,63.59747850785348,60.97783775990994,59.66383549570558,53.984502077729935,55.846339405980004,65.52153281648155,59.99400640277383,63.375456351914046,68.18923400716876,65.38009886916474,79.07781210811504,69.16585485751101,64.86152369517946,61.495231220521234,57.52517807894377,57.67969595743263,56.79137194492855,61.99009642846877,56.010217170844776,53.27899657135005,61.67135852757953,56.83839765461507,54.155557694891996,50.5546539000125,51.260133490538244,46.29977640636624,40.91295627188427,43.36819735286056,40.01792846792932,36.737804372817685,37.90138276180285,35.28830829101941,35.70261002112292,32.1525407281991,26.490375009959834,-0.17835429680390824,-0.04424755973564398,0.0008282474934135424,,
Estonia,,,,,,,,,,,,,,,,,,,,,38.46050944375902,38.481198520982964,38.9602923635588,37.97049801148469,39.1862891375098,38.290204542822295,34.398503731751276,26.143534720568592,20.58337696369771,20.33311448162408,19.00201285082824,20.00349778394624,19.754754300548257,18.296630693606247,16.8550993928104,17.234505911822144,17.735368025329876,17.72929018437804,19.580345618594034,20.036214932811976,19.53008550573284,19.06692717657554,22.06531950145685,21.014167408053545,18.786374433246984,22.90839964058535,23.89583854907797,23.520920922643025,24.579907672755066,24.208121241555155,22.30242186198054,22.403080008781043,24.308614673597468,25.7814614230848,17.960756783225204,14.756700854100762,-0.1806368641964582,-0.004484180280529215,0.00046138269046274886,,
Finland,24.742679525813255,28.084303937812585,28.873022496350192,33.15879541925306,38.85945619593683,43.171360346070905,43.3494258585268,44.833987531000005,50.473107601,46.02163399500001,46.95490668840001,53.263952148,52.499971406,55.48580353469822,57.409149488243735,57.466832139964566,48.495352572106135,46.96549216829569,45.49450980737645,48.250541040027116,53.35850576758939,53.1874010048089,56.01156606214114,55.2550992673757,55.66278201636693,57.48325452097746,56.72075327307344,54.6339980554356,56.31306023430061,62.89838451202883,58.60372309969606,64.82191584619184,62.83743836377335,60.202368795322954,59.86731182917039,58.87475461890254,63.85575892432317,66.67363551925735,74.91885728678717,68.79945235000942,58.211167021906675,68.5698323221088,66.33293781000262,58.58300292664861,56.18536064462703,63.914191754563504,56.577983666330866,50.775728663051744,51.91152048793125,47.57803204687377,44.73744514922775,47.63311838483044,44.95871955697221,46.51929189192039,43.38687324796809,38.9974399513954,-0.10362543650605449,-0.02551868100928112,0.0012192931159768186,,
France,329.4457042845905,330.97658983796265,355.93495291506207,369.27970358583536,404.4060507228776,433.7340256924992,453.56998463878955,477.7859535628057,518.8168970590625,500.4774972914224,457.1122716668781,509.5858039568713,493.0768227323373,497.6554973106876,510.1697182447719,485.03514982202785,441.8281284788897,418.58723742836304,402.80272374672734,387.6941510222605,381.8176671434139,369.9141130047811,362.3738290428567,359.13853572088425,370.49697207380785,367.24124105196324,390.664702417836,379.4431714325452,362.03008404479203,348.742809106821,356.1613617688484,372.5356787536198,361.157744621307,384.86412331789154,384.3630461146961,381.49977765265817,383.40746559350265,380.13045972451073,387.16293623861225,389.1086016310415,389.77074035061884,380.05182522358393,370.46447236958085,369.74678132901363,354.80286358440515,360.3621608681824,333.8448471192429,335.25512081994844,334.6139854940059,301.2003772541424,307.1797509094968,312.76374212578014,317.518442389512,306.5212187278703,298.784435849657,250.91088272535154,-0.16252219378871813,-0.017037193066346545,0.007844974244770679,,
Germany,910.4138464407082,901.0377980138328,892.4161204799782,944.7553929614437,1011.9243712007433,1043.39426866159,1045.121274029082,1067.3267033382544,1116.424395676766,1085.3204695056697,1025.2997072400951,1093.4117731718065,1072.513621774355,1052.7454965399206,1104.1950785402844,1077.8105888566306,1043.9031737893117,1003.3332309115538,1017.950677360307,1038.3350074842213,1045.8139082910973,1037.2673261632472,1031.4312799667077,1017.015361526805,1003.8150947462852,1007.6058813606267,969.7032102652294,923.7157864162161,916.2724362481446,896.9315114191718,889.4009688750132,914.84453762317,887.9933553292258,879.0361843182284,855.9154708836261,854.4283140045346,871.6725539609845,859.0473179795054,861.9914127604876,847.5257667244229,826.3176289056285,843.7771475070751,811.0682051609638,809.368412231094,753.5898547827699,783.1632595460037,763.6899146255529,773.0012643985496,797.5715429827006,751.0808174345497,755.630998269636,770.4571776568,760.9486510936633,734.4361401816848,681.4406973620765,604.8426873257116,-0.114831101206182,-0.010013431512096882,0.018910998409750003,,
Greece,22.5119749582,23.7304746402,25.962036995000002,27.221028712699997,27.841370412000003,29.822265400396997,37.21941393682067,41.860560914598636,48.938185264471116,48.2491528577575,56.1707275233865,63.064124786277794,67.13287913919069,65.2072584666919,54.08328866678226,52.93883975399689,52.59625713497214,52.58444916813751,54.84453182852298,56.88234978161513,60.22770278322292,60.13429325772245,67.06103642097895,71.65326016432837,78.50068611285394,81.52086337745925,81.54722241556433,84.18865960810135,85.37486710608829,86.68822568856376,88.72251196560664,89.8868130358313,93.32999288386337,98.80180224051901,97.27318084433686,102.60269690839313,104.72703839477258,103.74495235177456,107.47809153286194,107.4359813740449,107.77825609055677,108.28781008229655,112.75082804202304,107.76116135600158,102.67789732316623,94.60262912662411,94.48825664643913,88.2276190575495,79.13006101217375,75.59214553558883,73.23138424880538,69.8258221773593,73.97896211822042,72.10750789355659,76.72943421849249,58.23949282514976,-0.24304969638606566,-0.0287109270247633,0.0018209147258946038,,
