Thousand barrels daily,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2020_2,2009-19,2020_3,iii,jjj
Total North America,12936.423389097494,13584.890278202407,14163.208025601447,15101.168112084022,15927.00723440538,16609.50174066104,17191.906098086944,18479.246401115393,19626.74244964394,19069.428937612407,18787.214853894104,20029.26151406933,21047.327127058197,21640.456982149757,21460.226697108235,20071.036732574557,19128.989198502702,18282.107997454405,18107.57911318119,18685.30885515515,18782.275757045707,19430.523100489503,19924.571846469997,20624.73288896354,20839.79865131508,20305.290163304315,20021.153533134588,20398.06375854199,20628.557871580124,21251.47459665598,21255.68975978828,21925.738379988223,22324.886624505474,22741.238872897167,23391.81081338127,23608.116426502478,23598.01588854443,23704.608673507522,24050.718492148397,24874.276617873722,24891.243868814858,24694.406628176228,24730.720707247077,23267.38084100676,22336.373509628364,22747.148084428267,22461.707967785624,22092.59390514387,22464.896466514805,22509.533675118335,22905.698119281707,23024.52055243797,23183.76376128396,23783.51254264784,23710.338336303743,20772.415358102473,-0.12390894370760253,0.005987324904107361,1,,
of which: US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Light distillates,4712.88,4913.373000000001,5048.4580000000005,5344.264999999999,5596.017,5839.047000000001,6063.452,6422.6860000000015,6719.690000000001,6581.896000000002,6713.140000000001,7014.197,7214.992000000001,7655.761014000001,7310.170425000001,6860.563038,6718.966465369863,6626.167561945205,6721.441424945206,6824.998579601094,6878.230136945205,7096.380821917808,7345.12602739726,7516.877049180329,7586.347945205478,7420.253043835617,7296.152613698629,7461.456412568305,7605.164383561642,7749.249315068493,7917.5150684931505,8099.592896174862,8241.405479452056,8489.213698630138,8623.531506849316,8705.625683060107,8776.482191780822,9039.109589041096,9091.002739726027,9287.15300546448,9282.964383561644,9241.77808219178,9148.246575342466,8623.081969945355,8536.909594520546,8424.526887671234,8180.795473972604,8094.108169398907,8263.17371780822,8286.631073972605,8503.36178630137,8612.745021857922,8620.626216438355,8633.033463013697,8579.2512,7407.059155737705,-0.13663104354168998,0.0004948792957557568,0.43120334741534894,,
of which: gasoline,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6613.372,6488.986301369863,6461.1205479452055,6573.320547945205,6681.256830601094,6755.1205479452055,6918.161643835616,7163.504109589041,7331.751366120219,7383.487671232875,7238.6831808219185,7140.086860273971,7265.11488251366,7422.136986301369,7541.295890410959,7722.808219178082,7850.051912568305,7961.389041095891,8184.339726027397,8361.42191780822,8386.204918032785,8518.73698630137,8734.986301369863,8771.008219178082,8896.98087431694,8918.224657534247,8913.48493150685,8854.616438356165,8374.653008196721,8290.569868493149,8168.422778082193,7926.3899945205485,7857.785765027323,7992.836731506851,8055.568060273974,8279.893293150684,8394.070158469944,8392.919367123286,8399.63072328767,8372.158049315069,7222.406150273224,-0.1373304101844932,0.0009797770950372708,0.4204537378344789,,
of which: naphtha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247.19103800000002,229.980164,165.047014,148.120877,143.74174900000003,123.10958899999999,178.21917808219177,181.62191780821917,185.12568306010928,202.86027397260273,181.56986301369864,156.06575342465754,196.3415300546448,183.02739726027394,207.95342465753424,194.70684931506852,249.5409836065574,280.0164383561644,304.87397260273974,262.10958904109594,319.42076502732243,257.74520547945207,304.1232876712329,319.9945205479452,390.172131147541,364.73972602739724,328.2931506849315,293.63013698630135,248.42896174863392,246.33972602739726,256.1041095890411,254.4054794520548,236.32240437158475,270.33698630136985,231.0630136986302,223.46849315068494,218.67486338797818,227.70684931506852,233.4027397260274,207.09315068493152,184.6530054644809,-0.1083577373091914,-0.01720457046498669,0.01074960958087,,
Middle distillates,2994.598,3131.187,3339.723,3625.2790000000005,3732.4959999999996,3770.3090000000007,3920.4280000000003,4192.490000000001,4367.8240000000005,4117.447,4010.5510000000004,4289.543,4565.8820000000005,4663.704,4574.589000000001,4091.9970000000003,3963.0099999999998,3812.080999999999,3863.182999999999,4135.596,4200.264000000001,4602.254328767124,4714.5486438356165,4937.818469945355,4985.845479452056,4938.867,4826.397164383561,4855.17724590164,4955.77187671233,5131.12101369863,5149.08501369863,5345.1725792349725,5502.956397260274,5544.399753424658,5697.484452054795,5851.6036721311475,5882.520235616437,5726.806435616438,5884.9719178082205,6114.190606557378,6191.807621917807,6209.373030136986,6176.189780821917,5781.0034180327875,5219.684063013699,5446.560630136986,5460.049019178082,5219.597852459016,5277.871989041096,5539.180887671234,5559.12898630137,5467.72900273224,5612.62638630137,5845.323002739727,5844.433536986301,4841.179062834618,-0.1716598311543147,0.01136942621809256,0.2818301532956343,,
of which: diesel/gasoil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2866.0520000000006,2828.701,2670.863,2690.2099999999996,2844.8579999999997,2868.020000000001,3196.6602739726036,3235.0054794520543,3392.986338797814,3412.1506849315074,3374.0684931506853,3308.6602739726027,3359.4836065573772,3436.805479452055,3555.3178082191785,3580.621917808219,3705.483606557377,3838.547945205479,3844.41095890411,3951.9424657534255,4058.923497267759,4154.782249315068,4069.8231890410957,4252.5077808219185,4419.909666666667,4443.009402739725,4522.784838356165,4521.66405479452,4228.219909836066,3808.9461178082197,3994.9828630136985,4022.4649232876704,3816.188896174863,3838.276728767123,4060.2556273972614,4004.500684931507,3844.8326038251366,3925.272304109589,4132.8923041095895,4094.2769342465754,3755.6394999930876,-0.08270994847001067,0.007249913035193956,0.21863526266397673,,
of which: jet/kerosene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1225.945,1134.3089999999997,1141.2179999999998,1172.9729999999997,1290.738,1332.244,1405.5940547945204,1479.5431643835618,1544.8321311475415,1573.6947945205482,1564.7985068493153,1517.7368904109587,1495.6936393442622,1518.9663972602739,1575.8032054794523,1568.463095890411,1639.6889726775958,1664.4084520547945,1699.9887945205483,1745.5419863013697,1792.6801748633882,1727.73798630137,1656.9832465753427,1632.4641369863018,1694.2809398907107,1748.7982191780823,1686.5881917808215,1654.5257260273972,1552.7835081967216,1410.7379452054795,1451.5777671232875,1437.584095890411,1403.408956284153,1439.5952602739726,1478.925260273973,1554.628301369863,1622.8963989071037,1687.3540821917807,1712.4306986301367,1750.156602739726,1085.53956284153,-0.37974718311366695,0.02179331327989109,0.06319489063165759,,
Fuel oil,1608.249,1716.2470000000003,1785.986,1825.79,1977.874,2203.5289999999995,2296.0140000000006,2529.0900000000006,2822.403,2638.948,2461.841,2800.951,3071.0329999999994,3022.5559999999996,2826.1840000000007,2508.268,2087.753,1716.463,1420.834,1369.3970000000002,1202.301,1424.1041095890412,1263.6739726027397,1381.5792349726776,1365.5616438356165,1223.6958904109588,1147.2383561643835,1079.3688524590161,1061.5041095890408,1003.090410958904,835.0876712328766,831.0054644808743,777.4684931506849,869.2246575342465,814.0438356164383,893.2540983606558,793.8301369863013,686.4191780821918,763.2356164383561,858.7021857923496,913.9287671232877,683.3178082191781,717.8547945205478,618.4016393442623,507.6958904109589,532.413698630137,458.99726027397264,367.2814207650273,317.3424657534247,256.0602739726028,258.24383561643833,325.4754098360655,341.03287671232874,316.85753424657537,274.9616438356164,216.9197430520311,-0.2110908997121257,-0.059482573691223894,0.012628023802409802,,
Others,2196.7090000000007,2323.5659999999993,2386.177999999999,2597.5320000000006,2830.4080000000017,2884.300999999997,2932.5989999999997,3222.717999999998,3397.762000000002,3314.4189999999976,3136.427,3356.374999999998,3579.5120000000015,3504.6009859999986,3801.5965750000037,3595.0329619999993,3287.965192164384,3141.0082051780837,3225.6761914931476,3395.6226553715824,3445.622178123288,3157.8876712328765,3341.7013698630144,3447.0382513661207,3387.397260273973,3356.909589041096,3387.5369863013702,3572.77868852459,3539.2109589041097,3750.619178082192,3732.712328767123,3968.625683060109,4016.558904109589,3923.7917808219177,4290.169863013698,4143.035519125683,4081.6547945205475,4172.673972602739,4109.071232876713,4238.2786885245905,4142.780821917808,4178.380821917808,4165.852054794521,3825.7978142076504,3766.180821917808,3918.2931506849313,3896.8082191780827,3904.8715846994537,4152.846575342466,4049.1972602739725,4203.671232876713,4216.35519125683,4303.2520547945205,4651.534246575344,4776.728767123288,4712.489661326465,-0.013448346960572843,0.024054196051317644,0.2743384754866069,,
of which: ethane and LPG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1590.148,1582.2260000000003,1599.6480000000004,1537.1839999999997,1701.5439999999999,1721.4510000000002,1487.9150684931506,1589.7589041095894,1630.0628415300548,1635.509589041096,1532.172602739726,1666.3835616438355,1725.9918032786886,1710.690410958904,1852.8191780821917,1876.7917808219177,1993.5464480874316,2024.775342465753,1938.5698630136985,2181.271232876713,2215.8060109289618,2027.0767123287674,2150.2575342465752,2057.342465753425,2120.6967213114754,2015.8109589041096,2041.2739726027398,2074.6876712328767,1942.3497267759567,2040.3424657534247,2161.805479452055,2212.0794520547947,2239.03825136612,2441.3671232876713,2384.0904109589046,2446.3698630136987,2467.6693989071036,2527.304109589041,2874.5369863013702,2935.32602739726,2983.835365115646,0.01652604762320009,0.037039569365795666,0.1737045392134476,,
Total US,11512.436,12084.373,12560.345000000001,13392.866,14136.795,14697.186,15212.493,16366.984,17307.679000000004,16652.71,16321.959000000003,17461.066,18431.419000000005,18846.622,18512.540000000005,17055.860999999997,16057.694657534246,15295.71976712329,15231.134616438354,15725.614234972676,15726.417315068495,16280.626931506851,16665.05001369863,17283.313005464483,17325.152328767123,16939.72552328767,16657.325120547943,16968.78119945355,17161.651328767122,17634.07991780822,17634.40008219178,18244.39662295082,18538.389273972603,18826.62989041096,19425.229657534248,19593.518972677593,19534.48735890411,19625.009175342464,19848.281506849315,20498.3244863388,20531.481594520545,20312.849742465754,20208.14320547945,18848.284841530054,18030.470369863015,18321.79436712329,17996.64997260274,17585.859027322404,18011.234747945207,18131.069495890417,18524.40584109589,18622.304625683057,18877.537534246574,19446.748246575342,19475.375147945208,17177.64762295082,-0.11798116891405896,0.007738562043819508,1,,
