Million tonnes,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2020_2,2009-19,2020_3,iii,jjj
Cyprus,0.394,0.45,0.487,0.5419999999999999,0.64,0.6739999999999999,0.805,0.907,0.9740000000000001,0.8680000000000001,0.718,0.73,0.8330000000000001,0.8490000000000002,0.8610000000000001,0.8680000000000001,0.8320000000000001,0.9980000000000001,1.0519999999999998,1.0630000000000002,1.051,1.1360000000000001,1.34,1.4349999999999998,1.481,1.565,1.628,1.8639999999999999,1.9629999999999999,1.9389999999999998,2.057,2.1009999999999995,2.146,2.344,2.4570000000000003,2.5589999999999997,2.569,2.542,2.7019999999999995,2.63,2.954,2.9139999999999993,2.9620016348139635,3.0279996580172757,2.9560004372149558,2.853,2.8,2.602,2.314,2.335,2.38276,2.594491,2.652071724896805,2.616021,2.595507,2.214134,-0.14926661590513424,-0.012921321342306502,0.0005526027204975464,,
Czech Republic,3.9970000000000003,4.418,4.9159999999999995,5.42,5.819000000000001,6.984,7.6850000000000005,8.419,9.469999999999999,9.719,10.725000000000001,11.336,11.851999999999999,12.260999999999997,12.461,11.6,11.431,10.427,10.207,10.818,10.623000000000001,10.178,10.27,9.856000000000002,9.379999999999999,8.447,7.095,6.778065452461915,6.868851063032884,7.049080477037765,7.987081261002304,8.344181017338302,7.932551936593871,8.221339112356697,8.14828852117069,7.8693292911977,8.322905196688083,8.07176781099935,8.631512425139755,9.51000881620184,9.932000214551751,9.8000185940909,9.724,9.767000000000001,9.423,8.902000000000001,9.017656505584718,8.900831901550292,8.478068634033203,8.975363498687743,8.736783046722412,8.188261917114257,9.561324347972871,9.624,9.749,8.551875753251467,-0.12519130449226812,0.003406911015788383,0.002134373893632348,,
Denmark,10.405000000000001,11.863,12.553,13.637,16.421000000000003,18.276999999999997,18.029,19.088,17.601,15.955,15.745000000000003,16.741,16.729,16.657000000000004,15.908999999999997,13.589000000000002,12.825000000000003,11.04,10.442,10.321,10.639999999999999,10.506000000000002,9.644999999999996,9.582999999999998,9.229999999999999,9.030000000000001,9.157000000000002,9.070999999999998,9.520999999999999,10.147,10.581000000000001,11.524999999999999,11.109,10.714,10.646000000000003,10.343,9.924000000000001,9.583,9.228,9.057999999999998,9.148723276913564,9.329429461099682,9.393607632965875,9.197442853337746,8.247627325070987,8.326626945845804,8.07741004654914,7.494033256422,7.460318047819762,7.5016470312119505,7.578466527067067,7.436921507486284,7.3707552586233644,7.468078874842807,7.359629960074061,6.107898566227818,-0.17234829035917842,-0.011326952278618685,0.0015244069980500528,,
Estonia,,,,,,,,,,,,,,,,,,,,,3.423635321152227,3.3877435202685464,3.4219710784974477,3.4529716921345344,3.562664283528261,3.505583238034119,3.086208864465392,1.659,1.759,1.5990000000000002,1.2530000000000001,1.3549999999999998,1.3279999999999998,1.333,1.2429999999999999,1.1139999999999999,1.2870000000000001,1.444,1.354,1.3760000000000001,1.4009999999999998,1.466,1.564,1.489852334262848,1.3379336231151822,1.379092058643341,1.3418910979576113,1.5937174797058107,1.5785182666778563,1.457079845428467,1.4495286140441894,1.4095430965423585,1.4721582431793216,1.452160152069092,1.2933649999999999,1.1922585712446778,-0.08069181231533673,-0.0033821677655344606,0.00029756344015598277,,
Finland,5.721,6.923,7.248999999999999,8.224,9.562999999999999,10.763,11.138,11.865,13.271999999999998,11.561,11.943000000000001,12.826,12.507000000000001,12.545000000000002,13.302,12.794,12.251,11.313999999999998,10.504,10.648,10.754,11.250000000000002,11.184000000000001,11.033000000000001,11.010999999999997,11.166998433589939,11.10399924981594,10.99199948000908,10.480000057458877,10.897999969005587,9.83400099992752,10.246000586032867,10.094000358104706,10.521000435352326,10.633000047206881,10.54655857181549,10.335657811164856,10.60963298511505,10.931703790664676,10.16205499172211,10.549244142269899,10.218017268807985,10.308495945486449,9.93945046311493,9.362454771911622,9.718903928617861,9.350969587964313,9.038609152001635,9.401041597527756,8.87924555592047,8.88958376162417,9.411164925273594,9.127590899769473,9.109746798777158,8.918,8.09903370575929,-0.09431428589745394,-0.0048517731255277585,0.00202135374787791,,
France,53.887,57.66300000000001,66.219,71.782,82.953,94.27199999999999,102.768,114.123,127.269,121.007,110.37799999999999,119.45200000000001,114.582,118.961,118.34299999999999,109.89100000000002,99.00399999999999,91.50399999999999,89.4,85.888,84.29999999999998,86.03999999999999,86.60000000000002,86,88.39999999999999,89.40000000000002,94.64500000000001,94.43463666225648,91.04128463856854,88.10986643134406,88.86144503262877,90.72573587224852,91.3087940203572,94.66610255737791,96.12537576593506,94.55775692271908,95.0707765885721,92.47392245269056,92.71845807854952,93.6485536185186,92.38043928868888,92.15666832737712,89.75179403063244,88.1114940884596,84.64813961138384,81.62578563098714,79.89510013328054,77.02812154927038,75.93974431334802,73.39088323565682,73.31931399549067,72.861705315,73.19088390200001,73.004849828,72.322638809,61.42133033598623,-0.1530520248949262,-0.015613419533877293,0.015329512233787326,,
Germany,86.27400000000002,96.47200000000001,100.073,112.36600000000003,126.325,138.74900000000002,144.03899999999996,152.236,162.23000000000002,146.97899999999998,142.61699999999993,154.035,152.47099999999998,158.11800000000005,163.16099999999997,147.31699999999998,133.44799999999998,125.93900000000001,123.09600000000002,122.471,126.33799999999997,133.263,129.486,129.37000000000003,121.609,127.27700000000002,133.14199999999997,134.333001724846,136.31200150473592,135.10801545253867,135.11002351148542,137.30106056705029,136.362136640404,136.4911681732184,132.26601780334153,129.53001760532385,131.23901737375076,126.88104809373908,124.34000119589878,122.91473484612963,120.3922968468222,120.3169212085411,108.84754659624538,115.62875829908755,110.56342282600866,111.99900000000002,108.445,107.69,110.00799999999998,106.90600000000002,106.687,109.021,111.30479040404042,106.00124644025972,106.55064049614812,96.18916946532605,-0.09971111313625569,-0.0036900697750926748,0.024006856282835047,,
Greece,4.4350000000000005,4.839,5.689,5.815,6.190000000000001,6.707000000000001,7.405000000000001,8.586,10,9.39,9.943000000000001,10.573999999999998,10.764,11.701999999999998,12.383000000000001,12.4,11.92,11.901,11.414,11.688999999999998,11.977999999999998,12.159,13.205,13.661000000000001,14.961,15.715000976562502,16.038000244140623,16.372000000000003,16.716000732421872,17.106999755859377,17.848999267578126,18.519999755859374,18.713,19.5840009765625,19.11400073242188,19.913999267578124,20.207000488281253,20.32499926757813,21.30100073242188,20.918000488281255,21.021999999999995,21.995999755859373,22.333999511718748,21.329999755859372,19.974999267578127,18.15600122070313,17.2570009765625,15.088999755859374,14.00600048828125,13.88,14.436000000000002,14.436000244140626,14.778743458374024,14.563019,15.008128,12.038198445912673,-0.20007963729199185,-0.028184156019722018,0.0030044889835487277,,
Hungary,3.7760000000000002,4.144,4.3790000000000004,4.578999999999999,5.114999999999999,5.932,6.679,7.259,8.155000000000001,8.932,10.049000000000001,10.506,11.178,12.366,11.629,11.279,10.774999999999997,10.197,9.669000000000002,10.137,10.325,9.53,10.001000000000001,9.241000000000001,8.93,9.007000320434571,7.72899990081787,8.247999740600587,7.4749997749328605,7.790000133514406,7.436000782012938,6.84399905014038,6.983999546051025,7.433000495910644,7.028999092102051,6.802001344680786,6.540999956130982,6.34599959564209,5.970999397277832,6.363001431465149,7.341000170707702,7.736999879837036,7.6920002522468565,7.286999700546265,6.915000345230103,6.4799993705749515,6.315991205851237,5.93218175760905,5.821183176676432,6.4522448139277255,6.905573252806325,6.955572322020193,7.453429688783831,8.001859704201113,8.091288042600384,7.5254183184581755,-0.07247683845772046,0.01583353451604852,0.0018781910379688216,,
Iceland,0.46900000000000003,0.506,0.49,0.523,0.47900000000000004,0.48900000000000005,0.533,0.5710000000000001,0.661,0.6180000000000001,0.5790000000000001,0.5820000000000001,0.609,0.642,0.625,0.583,0.5690000000000001,0.5190000000000001,0.504,0.526,0.522,0.53,0.5720000000000001,0.598,0.639,0.652,0.612,0.661,0.686,0.695,0.699,0.78,0.766,0.7840000000000001,0.781,0.796,0.748,0.778,0.7853534303149998,0.8214189677909999,0.838759545071,0.8526785476370001,0.853194455053,0.7897885580569999,0.731657750067,0.7005593859189999,0.6908754682789999,0.6836316932360001,0.7164236056990002,0.7554709923370001,0.816904358574,0.897636425881,1.0025185396560001,1.089006929189,0.918886755078,0.6953956486475232,-0.2452871295575516,0.023046564822797988,0.00017355658115758904,,
