Million tonnes ,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2020_2,2009-19,2020_3,ss,tt
Czech Republic,117.71999999999998,118.78999999999999,123.04000000000002,124.93,122.8,123.06,122.14999999999999,119.79999999999998,114.06,101.35400000000001,96.185,86.565,85.181,76.944,74.33200000000001,76.22300000000001,73.515,67.529,59.132999999999996,65.162,66.10600000000001,63.356,63.906000000000006,61.8,62.025999999999996,62.903,62.626,60.2,56.417,55.367000000000004,58.08000000000001,55.184999999999995,49.131,47.077,46.531000000000006,45.543,44.906774,43.765592999999996,41.026758,31.72027544953088,-0.2289517970133086,-0.031352591043930955,0.0040973753725724975,,
Germany,492.79999999999995,499.7,476.5,501.8,521.6,513.2180000000001,502.84999999999997,498.32500000000005,482.74899999999997,427.43300000000005,346.38199999999995,307.906,280.67,259.664,246.68400000000003,235.75900000000001,223.56199999999998,207.293,201.09499999999997,201.57200000000003,203.015,208.416,205.228,208.03600000000003,203.072,197.40600000000003,201.94,192.48399999999998,183.623,182.303,188.561,196.202,190.56100000000004,185.79500000000002,184.288,175.396,175.122,168.842,131.30000000000004,107.4,-0.18426079682369267,-0.03298376645513956,0.01387308618156386,,
Greece,27.32,27.400000000000002,30.590000000000003,32.5,35.89,38.1,44.612,48.32299999999999,51.866,51.895999999999994,52.695,55.050999999999995,54.81700000000001,56.672,57.662,59.781,58.844,60.884,62.051,63.88700000000001,66.34400000000001,70.468,68.299,70.041,69.398,64.787,66.308,65.72,64.893,56.52,58.666000000000004,62.956,53.924,50.845,46.246,32.638,37.731348,36.488800000000005,27.37545,13.998212974615393,-0.4900552688237749,-0.08268954901557246,0.0018081789104722973,,
Hungary,25.942181,26.078701000000002,25.212983000000005,25.047585,24.042514,23.128697,22.844350000000002,20.874782000000003,20.029843,17.577931,16.974206000000002,15.943,14.434000000000001,13.906363,14.451924,15.471000000000004,16.172,15.068000000000001,14.917,14.275999999999998,14.070262,12.763971000000002,13.358823,11.250257999999999,9.57,9.952,9.817999999999998,9.404,8.986,9.113,9.554999999999998,9.290000000000001,9.558,9.551,9.261000000000001,9.216000000000001,7.972,7.898000000000001,6.847,6.124970862701535,-0.1078960172872726,-0.026819515362649482,0.0007911754994210981,,
Poland,198.64000000000001,226.96000000000004,233.62,241.97,249.39,259.34000000000003,266.21,266.51,249.45,215.32,209.79,198.38,198.57999999999998,200.7,200.71999999999997,201.72,200.92999999999998,178.55,172.73000000000002,162.82,163.54,161.92,163.79000000000002,161.28400000000002,159.54,156.065,145.85,144.013,135.17200000000003,133.238,139.28900000000002,144.09300000000002,142.906,137.148,135.814,131.029,127.07600000000002,122.42786799999999,112.40916000000001,100.697281,-0.10663728990644639,-0.018271279939649387,0.013007281727766787,,
Romania,39.564,41.433,48.759,47.799,49.81899999999999,51.432,55.69899999999999,62.917,66.462,38.183,32.414,38.37,39.777,40.566,41.126999999999995,41.87100000000001,33.807,26.235,22.893,29.294,33.303,30.428,33.082,31.799999999999997,31.112000000000002,34.931999999999995,35.781,35.871,33.96999999999999,31.13,35.51299999999999,33.947,24.722,23.567,25.497000000000003,22.987000000000002,25.759221,23.652908000000004,21.653156,15.002364767653736,-0.30904415504222327,-0.04403373715792669,0.0019378873309955078,,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,37.658,39.187000000000005,38.814,37.864,40.778000000000006,38.172000000000004,40.254,29.82,37.788000000000004,38.545527,39.884959,37.67547709710642,38.988519999999994,39.78421098502597,0.017620339397654616,0.00044872440001397784,0.005139011058294086,,
Spain,35.676,39.30499999999999,39.953,39.592000000000006,39.663,38.323,34.634,31.909,36.578,35.952,33.519999999999996,33.299,31.564999999999998,29.490999999999993,28.464,27.37,26.467,26.075000000000003,24.258000000000003,23.486,22.683999999999997,22.035,20.548000000000002,20.496000000000002,19.354,18.399,17.18,10.203,9.445,8.43,6.621,6.181,4.368,3.899,3.064,1.741802,2.9770000000000003,2.1580000000000004,3.839763293831699,4.202224693824594,0.09140665319714514,-0.08607564894217357,0.0005428102917292775,,
Turkey,21.005999999999997,22.672,25.245,29.972,39.997,46.41700000000001,46.988,39.218,52.215999999999994,47.428000000000004,46.108000000000004,51.431,48.56,54.372,55.07299999999999,56.36359747,59.92941562,67.38287578,67.03721270000003,63.26813386,62.09636164,53.98393646,48.562766,46.377239,60.766000000000005,64.255,75.365,79.402,79.49799999999999,73.39900000000002,75.9783,71.461,60.39249726,65.249,58.414,73.003948,74.09812353,83.93620328,87.089072,70.798545182987,-0.1892770824915203,0.00916166818805686,0.009145198499561653,,
Ukraine,,,,,170.947,175.088,173.143,172.15515093360992,161.82763796680493,159.213,135.23,126.375,108.717,88.59800000000001,77.875,57.989000000000004,59.34499999999999,60.214999999999996,63.464,62.88999999999999,62.097,62.242000000000004,60.685,60.281000000000006,61.386,62.393,59.147000000000006,59.822,55.426,55.387,63.19100000000001,66.151,64.894,45.687,30.408,32.17,24.685000000000006,26.794000000000004,26.069999999999997,24.060940430883985,-0.07958572472256742,-0.07265197927117162,0.0031080027952246534,,
United Kingdom,127.46900000000001,124.711,119.25400000000002,51.181999999999995,94.11100000000002,108.09900000000002,104.53299999999999,104.06599999999999,99.82,92.762,94.20199999999998,84.49299999999998,68.199,49.785,53.037,50.197,48.495000000000005,41.17700000000001,37.077,31.197582666666666,31.929856,29.989155,28.278729,25.096057,20.498293,18.517162,17.007227000000004,18.0532425714286,17.8736338209229,18.346630369367602,18.55197821065712,16.966667060472485,12.76744561296463,11.647611787657707,8.598017523225451,4.177796429720877,3.041064485671997,2.5808760561207325,2.166397294019699,1.6732900000000002,-0.2297266184714254,-0.1902470761563978,0.00021614242436451575,,
Other Europe,101.8528251526272,109.24011886701142,110.52825409212747,117.07318748131716,146.32628880000001,150.65199460000002,145.2188799,139.40875729698166,146.0568069532747,141.3185283309571,125.45411748206112,120.24277451036784,106.25962001729148,95.89366760333237,99.32356627851854,96.338686870922,103.27951221219513,95.03273188871039,89.25227548631162,90.6158712948207,91.77556320434357,94.96627897205114,101.35218905251337,93.13841306085064,97.75420780504831,103.7082665948452,60.330065543245674,64.07673043717847,65.9603402678589,68.5297928091217,70.42921702926623,63.179899820490945,72.28448163508475,67.90570771403902,62.2425498547834,58.993348417967205,62.54342320705573,94.25333801435146,55.78830390477571,50.7907933596796,-0.09206738411183535,-0.01660945793775659,0.0065607546881642125,,
Total Europe,1217.2300061526273,1268.4998198670114,1265.092237092127,1244.2257724813169,1525.4658028000001,1562.0776915999998,1555.7022299,1537.6566902305915,1515.4152879200797,1360.1124127470957,1219.995771386335,1150.768635439556,1068.2608067503495,997.6213623871283,981.9770837264685,952.6584802813659,934.0539390298062,875.5524076534442,839.2052923889416,834.9005665717862,843.5723231803665,836.5863981065054,834.3897620100084,816.084978361096,819.171305199683,818.9952935048825,817.734737257735,807.4985054618153,777.3773444431963,759.0655303829138,802.3454509735361,797.2149825013195,754.3972520437599,709.517650513591,684.0643245606728,656.7303731158362,660.1157332227277,681.3443178724377,569.9981353037997,478.54722844525696,-0.16273459017151393,-0.030552811380348044,0.06181496221759383,,
Kazakhstan,,,,,130.8,137.5,142.10000000000005,143.1,138.39999999999998,131.443,130.382,126.53599999999999,111.88,104.625,83.271,76.83099999999999,72.647,69.77300000000001,58.37799999999999,74.872,79.07669984917044,73.73025985778926,84.90620000000001,86.8746,86.5858,96.15910000000001,97.8286,111.071892,100.85405099999998,110.92956399999998,116.44950000000001,120.5273,119.57370000000002,113.98510000000002,107.31819779575629,103.07400000000001,112.29359999999998,118.48329999999999,115.00120000000001,113.17480000000002,-0.018570421569751527,0.013213347931724018,0.014619029366678339,,
Russian Federation,,,,,409.25200000000007,423.948,424.087,440,422.8,405.1941176470589,362.2358823529412,349.0041764705882,311.86205882352937,278.30417647058823,269.5747647058824,262.35344102867276,250.3853657624503,235.45765418443096,255.20315394820153,262.2104546683877,274.3250430677743,258.90771404036064,279.006206955775,284.6584422498927,300.1355517389438,311.3705882352941,315.70051524259344,330.2122799484758,302.54865330747685,322.93663003663005,337.3999999999999,358.3,355.2310000000001,357.39699248120303,372.4823529411765,386.6134705882353,412.5403406554394,441.5764705882352,440.90578315143375,399.77058823529416,-0.09577434884404601,0.038376993192342335,0.05163921623317239,,
USSR,778.147,777.977,774.775,761.9110000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uzbekistan,,,,,5.3,6,5,5.5,6.200000000000001,6.499999999999999,5.948,4.68,3.8070000000000004,3.8450000000000006,3.0540000000000003,2.8369999999999997,2.9459999999999997,2.9519999999999995,2.956,2.501,2.711,2.7364,1.9130000000000003,2.699,3.0023000000000004,3.1222999999999996,3.2733000000000003,3.602,3.6542,3.6294,3.8448040000000003,3.75294,4.09002,4.39682,3.48797,3.8672500000000003,4.03863,4.17443,4.0479400000000005,4.133051099999999,0.018236093088271232,0.01028562901206831,0.0005338749916490437,,
Other CIS,,,,,8.932,9.498999999999999,8.650999999999998,9.336061184176979,8.950618736809899,7.632,7.6739999999999995,6.545999999999999,4.817000000000001,4.436,3.6419,3.2771,3.307,2.4833000000000003,3.5264999999999995,2.4491000000000005,2.4962,2.6664999999999996,2.2662,2.5617,2.7408,2.5509999999999997,3.079,3.0513000000000003,3.0012000000000003,3.1267,3.7711000000000006,4.2549,4.1914,4.123131,3.9711908,4.574640105882352,5.675131657142858,7.666860343710021,7.8755480417582415,7.730158241758241,-0.021142712869108737,0.10128211110356711,0.000998520963547842,,
Total CIS,778.147,777.977,774.775,761.9110000000001,554.2840000000001,576.947,579.838,597.936061184177,576.3506187368099,550.7691176470589,506.2398823529412,486.7661764705882,432.3660588235294,391.21017647058824,359.5416647058824,345.29854102867273,329.2853657624503,310.665954184431,320.06365394820153,342.03255466838766,358.6089429169447,338.0408738981499,368.091606955775,376.7937422498927,392.4644517389438,413.20298823529413,419.88141524259345,447.9374719484758,410.0581043074768,440.62229403663,461.4654039999999,486.83514,483.08612000000016,479.902043481203,487.25971153693274,498.1293606941177,534.5477023125823,571.9010609319453,567.830471193192,524.8085975770524,-0.07829057992395583,0.03308802972033886,0.06779064155504762,,
Total Middle East,0.903,1.0150000000000001,1.0150000000000001,1.038,1.106,1.061,1.083,1.151,0.858,1.1380000000000001,1.194,1.032,1.5330000000000001,1.493,1.554,1.441,1.448,1.701,1.5350000000000001,1.5380000000000003,1.5290000000000001,1.4900000000000002,1.58,1.663,1.985,2.103,2.0940000000000003,2.017,1.596,1.521,1.58,1.464,1.525886075949367,1.4705545991924356,1.6260979999999998,1.7580711035156247,1.9703739648437502,2.06059026,2.11362294,2.11362294,-0.002732240437158473,0.028488553692881835,0.0002730211657537279,,
South Africa,130.42,144.18,145.61,162.91,173.52,176.72000000000003,176.55,181.36,176.28,174.78,178.39,184.045893,188.21401600000002,195.80544,206.2107,206.362033,220.072251,222.976756,223.51416899999998,224.19928099999998,223.56027600000002,220.212491,238.751013,242.82169399999995,244.98599500000003,244.77483300000003,247.66636300000005,252.21335200000004,247.820755,254.52194200000005,252.75685000000001,258.5758,256.28213494,261.398523,252.17647287500003,249.71868,252.343008,250.03662937,258.36023556238285,248.3392701726238,-0.04141306018927071,0.00417360032966374,0.03207851114871025,,
Zimbabwe,2.87,2.77,3.33,3.11,3.11,4.05,4.83,5.07,5.110000000000001,5.499999999999999,5.620000000000001,5.55,5.29,5.47,5.54,5.170000000000001,5.300000000000001,5.47,4.98,4.41,4.511447,3.938175,2.824362,3.797669,3.370826,2.107115,2.080221,1.50908,1.667346,2.668183,2.5620540000000003,1.5936,3.1142,5.7826,4.336193000000001,2.7017189999999998,2.928,3.3477640000000006,2.627011,3.280062332751568,0.24517956483989756,0.046510562191698135,0.00042369262032741057,,
Other Africa,2.673185,2.2541849999999997,2.0830439999999997,2.320985,2.370718,2.4438880000000003,2.3331139999999997,2.338316,2.251434,2.3469189999999998,2.2415420000000004,2.312525,2.1573100000000003,2.2644729999999997,2.292971,2.008022,1.82184,2.2372129999999997,2.072466,1.878886,1.829916,2.0119620000000005,1.7330949999999998,1.8630380000000002,1.6864489999999999,1.6415269999999997,1.3869529999999999,1.413142,1.3087370999999997,1.7593600999999999,2.02923041,7.080748559999998,8.28408239,9.422926129999999,9.66504293,12.617153988242304,23.141937667975174,29.121020044773758,21.246477646425994,15.843162237564641,-0.2563532096010981,0.3214278410362357,0.0020464949265384764,,
Total Africa,135.96318499999998,149.204185,151.02304400000003,168.340985,179.00071799999998,183.213888,183.71311400000002,188.768316,183.64143400000003,182.626919,186.251542,191.908418,195.66132599999995,203.53991300000004,214.04367100000002,213.540055,227.19409100000001,230.68396900000002,230.56663499999993,230.48816699999998,229.901639,226.162628,243.30847000000003,248.48240099999995,250.04327000000004,248.52347500000005,251.13353700000005,255.13557400000005,250.79683810000003,258.94948510000006,257.34813441,267.25014856,267.68041732999995,276.60404912999996,266.177708805,265.03755298824234,278.41294566797524,282.50541341477384,282.23372420880884,267.46249474294,-0.0549261125788062,0.011879237842191248,0.03454869869557614,,
Australia,128.519,131.581,135.072,141.555,168.5635,180.32600000000002,190.074,189.5125,204.5395,213.14249999999998,221.12149999999997,231.8315,230.84849999999997,236.387,248.13449999999997,256.9845,281.02049999999997,290.749,305.832,313.9175,335.482,343.2475,351.05400000000003,363.15015,378.76253599999995,385.7935729999999,396.51370401,408.04650205999997,422.5198079579492,434.4018897149999,423.24158732999996,448.207695865,472.7847767399999,505.27041049999997,503.7454886400001,502.127447901,487.22620368,501.960227142616,504.1268668312179,476.719320991867,-0.056950064625204244,0.01781600769074987,0.06157884752827538,,
China,621.6,666.3,714.5,789.2,872.3000000000001,893.9999999999999,928.1,979.9,1054.2,1079.883,1087.406,1116.38,1150.67,1239.901,1360.731,1396.6994,1387.5313,1332.0286,1363.9973,1384.1845,1471.5265,1550.4003,1834.8986999999997,2122.6108,2365.146,2569.7312,2759.8913000000002,2903.4056,3115.3541999999998,3428.4472999999994,3764.4352000000013,3945.1280999999994,3974.3220000000006,3873.919,3746.5415999999996,3410.604,3523.5617999999995,3697.7358,3846.332,3902,0.011701225430931883,0.021301415240327026,0.504029630171901,,
India,130.1,134.95000000000002,142.9,152.53000000000003,157.45000000000002,169.18,185.36,196.98,215.29,223.34000000000006,239.89999999999998,253.8,263.19,270.85999999999996,289.02000000000004,310.96,319.39000000000004,320.918,314.415,334.79699999999997,341.87999999999994,358.10699999999997,375.35200000000003,407.98771821702417,429.02299999999997,449.67100000000005,479.33600000000007,515.781,556.085,572.7397431768754,563.743489535995,605.616,608.5350000000001,646.232,674.1529999999999,689.81,711.6809999999999,760.407,753.937,756.4938614670273,0.0006498399047465409,0.030906760527731558,0.09771791932920018,,
Indonesia,0.4,0.59,0.65,1.47,2,2.59,3.03,4.49,8.7,10.73,13.840000000000002,22.359999999999996,27.58,32.87,41.84000000000001,50.349999999999994,54.82,62.230000000000004,73.68,77.040185,92.54046,103.32909299999999,114.27799999999999,132.352025,152.72243799999998,193.76131099999998,216.94669899999997,240.249968,256.181,275.164196,353.270937,385.8991,474.600921,458.096707,461.56608,456.197775,461.24818400000004,557.77294,616.159594,562.53,-0.0895329095745846,0.09172845468034652,0.07266319524874411,,
Japan,17.69,17.61,17.06,16.65,16.38,16.01,13.05,11.23,10.19,8.26,8.05,7.6,7.220000000000001,6.93,6.26,6.4799999999999995,4.27,3.66,3.9099999999999997,3.13,3.2,1.3694480000000002,1.3379210000000001,1.338514,1.1135709999999999,1.359869,1.423328,1.2277500000000001,1.2806710000000001,0.9170100000000001,1.271521,1.321062,1.2036300000000002,1.3075150000000002,1.170817,1.340424,1.3885180000000001,1.040705,0.7583480000000001,0.7720120000000001,0.015236642802022748,-0.05105050931344424,0.00009972243025327262,,
Mongolia,4.3,4.921,4.974,5.431,6.523000000000001,7.065,7.764999999999999,8.605999999999998,8.045,7.157000000000001,7.036999999999999,6.2474,5.616999999999999,5.158,5.018999999999999,5.11,4.924,5.057,4.964,5.1850000000000005,5.140999999999999,5.5443999999999996,5.6661,6.865,7.5171,8.074100000000001,9.2376,10.0719,14.442099999999998,25.161900000000003,32.994,31.138999999999996,33.3405,24.4493,24.1461,35.0965,49.48030000000001,54.572300000000006,57.1288,43.0793,-0.24798705741175164,0.14742015812247322,0.005564644707089795,,
New Zealand,2.1968940000000003,2.2443839999999997,2.473531,2.526647,2.3900099999999997,2.5179469999999995,2.220996,2.438071,2.7130159999999997,2.5785599999999995,2.6890249999999996,3.0180589999999996,3.3368079999999996,3.033235,3.576821,3.610552,3.5674120699999996,3.12637,3.50573,3.4574169999999995,3.911396,4.458938999999999,5.1798910000000005,5.155393999999999,5.267160999999999,5.6735310000000005,4.834779,4.831606999999999,4.513225767,5.341909159999999,4.958983,4.92217188,4.62546298,3.98444722,3.3906479999999997,2.866622,2.9185629999999994,3.2307979999999996,3.033983,2.8186819999999995,-0.07350150509738895,-0.03893533863623844,0.0003640951424992809,,
Pakistan,1.56,1.7699999999999998,1.8200000000000003,2.31,2.1899999999999995,2.05,2.41,2.6999999999999997,2.72,2.8199999999999994,2.83,2.98,3.15,3.02,3.17,3.460000000000001,3.14,3.32,3.31,3.23,3.26,3.49,3.339,3.394,3.487,4.0055000000000005,3.6935,3.9775000000000005,3.5095,3.367,3.227,3.04,2.9865,3.3825000000000003,3.325,4.099,4.170999999999999,4.3994735,6.773231,7.740648,0.13970698600484632,0.0679601903041922,0.0009998759479064238,,
South Korea,19.865000000000002,20.116,19.861,21.37,22.543,24.253,24.274,24.294999999999998,20.785,17.216999999999995,15.058000000000003,11.969,9.407,7.398000000000001,5.72,4.9510000000000005,4.5120000000000005,4.361,4.197,4.15,3.8170000000000006,3.318,3.298,3.191,2.832,2.824,2.8859999999999997,2.773,2.5189999999999997,2.084,2.084,2.094,1.815,1.7480000000000002,1.7639999999999998,1.7259999999999998,1.485,1.2,1.084,1.0190000000000001,-0.06253150646260552,-0.08086329116405921,0.00013162639496288244,,
Thailand,1.686044,1.9637639999999998,1.8660830000000002,2.3372260000000002,5.14615,5.538084,6.931257,7.295058999999999,9.009922,12.438472999999998,14.646014999999997,15.408560999999999,15.557927,17.104871,18.430798,21.690393999999994,23.438556,19.996195,18.261308,17.785747,19.606994999999998,19.601983999999998,18.843394999999997,20.059844,20.878176,19.070608,18.239176,18.095385,17.5661,18.258062,21.327106,18.066429,18.110763,17.9817215,15.150549,16.978600999999998,16.258637,14.85195,14.077964999999999,13.250573999999999,-0.06134372077912975,-0.02189280628310708,0.0017116047956907759,,
Vietnam,6,6.3,6.3,5,5.6,6.099999999999999,6.3,6.099999999999999,5.1,5.1,5.2,5.2,6.5,6.04,8.35,9.823,11.388,11.672,9.629,11.609,13.396999999999998,16.409,19.314,27.349000000000004,34.093,38.778,42.483000000000004,39.777,44.078,44.834999999999994,46.611,42.083,41.064,41.086,41.664,38.735,38.409,42.384,46.387,48.6174,0.04521882367410046,0.005118902622327504,0.0062800128503125024,,
Other Asia Pacific,48.505301986892405,51.04723704344713,51.91555603979335,53.1373720081649,55.3248049917616,54.8008999853682,53.56316400164323,52.55103652896661,51.865071707588626,48.319862351550924,46.781434450662275,41.2906473807843,38.40047565403183,35.73464078706323,33.29182385479049,29.54910473401088,29.012406722223233,26.424496999607484,29.77021098416296,32.29556600096174,32.91856800261418,32.01225500115267,33.04085200219224,35.47584062342556,39.176716818587074,39.56394166069222,36.75966993345599,39.070487613999994,34.442242413500004,37.013840574999996,38.709279695,39.593642925,39.83866920799999,40.368390033000004,44.933408166666666,61.41625116666667,54.12752112639603,52.536899342898536,68.74338521635417,64.31619214623268,-0.06695801140110924,0.07155372307786845,0.008307859185425573,,
Total Asia Pacific,982.4222399868925,1039.3933850434473,1099.3921700397934,1193.5172450081648,1316.4104649917615,1364.430930985368,1423.0784170016434,1486.0976665289668,1593.1575097075888,1630.9863953515512,1664.5589744506622,1718.0851673807845,1761.4777106540319,1864.436746787063,2023.5439428547904,2099.667950734011,2127.0141747922235,2083.542661999608,2135.471548984163,2190.781915000962,2326.6809190026142,2441.2879190011527,2765.6018590021918,3128.9292858404497,3440.0186988185874,3718.306633660692,3972.2447559434563,4187.307699673999,4472.49084713845,4847.731850626876,5255.8741035609955,5527.110201669998,5673.227222927999,5617.825991252999,5521.550690806667,5220.997621067666,5351.955726806395,5692.092092985514,5918.542173047571,5879.356990605128,-0.00933490000430559,0.02841056275047671,0.7594490337322614,,
