"Data Source","World Development Indicators",

"Last Updated Date","2020-12-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Bahrain","BHR","Electricity production from natural gas sources (% of total)","EG.ELC.NGAS.ZS","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","97.5572664195419","98.8355502370323","99.978093235191","100","100","100","100","99.972989658898","99.974314754339","99.9684033141413","","","","","",
"Bahamas, The","BHS","Electricity production from natural gas sources (% of total)","EG.ELC.NGAS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","Electricity production from natural gas sources (% of total)","EG.ELC.NGAS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.41485830993107","0.315346881569727","0.320680628272251","0.369265729299815","0.217752564322961","0.185643564356436","0.191950860579692","","","","","",
"Belarus","BLR","Electricity production from natural gas sources (% of total)","EG.ELC.NGAS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52.1353033446339","51.8781463792436","68.9799175422264","71.9500134855704","72.006879638182","71.831607673168","80.3818273769386","86.5180181908892","86.638004427039","87.8488459797858","93.3297574805563","94.0709412281052","94.753553069247","95.8012543658692","95.024030759372","96.8314976906431","94.973436861463","99.0386125860065","96.889979456745","81.7026599947327","97.1457228829345","98.2577639751553","96.7141790317868","98.4130510680166","98.0048941989348","97.8669092189426","","","","","",
"Belize","BLZ","Electricity production from natural gas sources (% of total)","EG.ELC.NGAS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bermuda","BMU","Electricity production from natural gas sources (% of total)","EG.ELC.NGAS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Electricity production from natural gas sources (% of total)","EG.ELC.NGAS.ZS","","","","","","","","","","","","2.88461538461538","3.44218887908208","4.35525192143467","5.89159465828751","7.57238307349666","8.98328690807799","13.5849056603774","15.1656013945381","18.1119648737651","19.6417541692403","20.1442841287458","20.2941176470588","21.6846898121799","20.9534368070953","23.4797297297297","26.9314472252448","31.9912948857454","32.3574730354391","36.7843511450382","38.9441800086543","38.1810193321617","40.4228855721393","39.6831384383252","49.8229461756374","54.4551175886055","52.9647930821495","52.3905529953917","54.7978436657682","50.7343468178305","47.7061855670103","43.9698492462312","44.8374760994264","51.5697137580794","50.0331638293168","57.4346405228758","56.4716981132075","56.5399372166027","56.9365652398143","58.813919294233","64.1139147115243","64.2105263157895","65.6702780315886","65.9888406695598","69.994288977727","66.3461538461538","","","","","",
"Brazil","BRA","Electricity production from natural gas sources (% of total)","EG.ELC.NGAS.ZS","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.146305779078274","0.1591453086267","0.16133569407443","0.15398291900816","0.18420172203614","0.20319229610923","0.334388453642225","0.382165191472229","0.410569762671407","0.792612244410187","1.16591671204609","3.02001777734484","3.58896175843504","3.59829719025413","4.9719578890859","4.66760786337595","4.35401598237217","3.48109725551335","6.21465144352761","2.86020153565276","7.07229347836625","4.71926086539528","8.46144937606763","12.0823819462927","13.7263798757642","13.6662471718485","","","","","",
"Barbados","BRB","Electricity production from natural gas sources (% of total)","EG.ELC.NGAS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brunei Darussalam","BRN","Electricity production from natural gas sources (% of total)","EG.ELC.NGAS.ZS","","","","","","","","","","","","98.4","98.4","100","98.4","98.4","98.4","98.4","98.4","98.4","98.8338192419825","99.154334038055","99.294532627866","99.4134897360704","99.4666666666667","99.4778067885117","99.0990990990991","99.3282149712092","99.3613138686131","99.0282685512367","99.061433447099","99.0543735224586","99.1471215351812","99.0956072351421","99.158147925436","99.2370295015259","99.2463495054169","99.2106356460324","99.1214057507987","99.0961380443714","99.0955564294141","99.0694067468011","99.0744168826361","99.2165465371357","99.1115196078431","99.1115196078431","99.0600363856883","99.0279823269514","99.0359333917616","98.9756367663344","98.9978902953586","98.9530201342282","99.0076335877863","99.0458882326215","99.0013315579228","98.9523809523809","","","","","",
