"Data Source","WDI Database Archives",

"Last Updated Date","2019-05-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Barbados","BRB","Electricity production from nuclear sources (kWh)","EG.ELC.NUCL.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brunei","BRN","Electricity production from nuclear sources (kWh)","EG.ELC.NUCL.KH","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","",
"Bhutan","BTN","Electricity production from nuclear sources (kWh)","EG.ELC.NUCL.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Botswana","BWA","Electricity production from nuclear sources (kWh)","EG.ELC.NUCL.KH","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","",
"Sub-Saharan Africa (IFC classification)","CAA","Electricity production from nuclear sources (kWh)","EG.ELC.NUCL.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Central African Republic","CAF","Electricity production from nuclear sources (kWh)","EG.ELC.NUCL.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Canada","CAN","Electricity production from nuclear sources (kWh)","EG.ELC.NUCL.KH","0","0","0","3069000000","4983000000","4224000000","5676000000","5049000000","30294000000","17457000000","34221000000","140811000000","237963000000","503382000000","484968000000","414810000000","574728000000","869286000000","1029666000000","1163943000000","1255056000000","1322211000000","1265121000000","1604130000000","1722930000000","1997193000000","2351811000000","2549613000000","2734611000000","2635776000000","2407911000000","2802690000000","2659206000000","3099921000000","3558522000000","3228852000000","3061311000000","2723424000000","2359863000000","2425203000000","2402367000000","2530935000000","2492358000000","2471436000000","2982771000000","2853240000000","2742992000000","2430792000000","2160873000000","2075104000000","1811213000000","1302284000000","1060873000000","","","","","","","",
"East Asia and the Pacific (IFC classification)","CEA","Electricity production from nuclear sources (kWh)","EG.ELC.NUCL.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Central Europe and the Baltics","CEB","Electricity production from nuclear sources (kWh)","EG.ELC.NUCL.KH","0","0","0","0","0","0","0","0","0","0","0","0","21000000","1624000000","9898000000","19187000000","38017000000","41986000000","41503000000","58289000000","74816000000","99764000000","116102000000","147987000000","174853000000","219730000000","261513000000","319452000000","369355000000","371224000000","522704000000","508781000000","471975000000","476686000000","470897000000","500885000000","534352000000","544103000000","555261000000","532980000000","567546000000","613172000000","672343000000","683382000000","687330000000","677026000000","677901000000","658441000000","708610000000","702198000000","636034000000","655585000000","","","","","","","","",
"Europe and Central Asia (IFC classification)","CEU","Electricity production from nuclear sources (kWh)","EG.ELC.NUCL.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","Electricity production from nuclear sources (kWh)","EG.ELC.NUCL.KH","0","0","0","0","0","0","0","0","0","17655000000","58278000000","45903000000","126720000000","208230000000","233211000000","256113000000","261987000000","267762000000","277035000000","389565000000","473418000000","505890000000","499389000000","518430000000","608520000000","744414000000","745173000000","759099000000","752136000000","753588000000","779988000000","757449000000","773784000000","770583000000","803979000000","821535000000","829686000000","838497000000","852390000000","852390000000","872718000000","884763000000","898722000000","907071000000","889614000000","723571000000","778932000000","726050000000","637100000000","636778000000","529048000000","373940000000","279840000000","","","","","","","",
"Channel Islands","CHI","Electricity production from nuclear sources (kWh)","EG.ELC.NUCL.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
